Year,UNIT_MEASURE,TYPE_OF_EDUCATION,SEX,Value
2016,NUMBER,masters_of_science,_T,36
2016,NUMBER,masters_of_science,F,20
2016,NUMBER,masters_of_science,M,16
2016,NUMBER,masters,_T,261
2016,NUMBER,masters,F,105
2016,NUMBER,masters,M,156
2016,NUMBER,specialists,_T,87
2016,NUMBER,specialists,F,31
2016,NUMBER,specialists,M,56
2016,NUMBER,doctors,_T,64
2016,NUMBER,doctors,F,34
2016,NUMBER,doctors,M,30
2017,NUMBER,masters_of_science,_T,39
2017,NUMBER,masters_of_science,F,17
2017,NUMBER,masters_of_science,M,22
2017,NUMBER,masters,_T,332
2017,NUMBER,masters,F,136
2017,NUMBER,masters,M,196
2017,NUMBER,specialists,_T,95
2017,NUMBER,specialists,F,35
2017,NUMBER,specialists,M,60
2017,NUMBER,doctors,_T,42
2017,NUMBER,doctors,F,26
2017,NUMBER,doctors,M,16
2018,NUMBER,masters_of_science,_T,41
2018,NUMBER,masters_of_science,F,21
2018,NUMBER,masters_of_science,M,20
2018,NUMBER,masters,_T,378
2018,NUMBER,masters,F,152
2018,NUMBER,masters,M,226
2018,NUMBER,specialists,_T,111
2018,NUMBER,specialists,F,35
2018,NUMBER,specialists,M,76
2018,NUMBER,doctors,_T,43
2018,NUMBER,doctors,F,28
2018,NUMBER,doctors,M,15
2019,NUMBER,masters_of_science,_T,42
2019,NUMBER,masters_of_science,F,22
2019,NUMBER,masters_of_science,M,20
2019,NUMBER,masters,_T,383
2019,NUMBER,masters,F,182
2019,NUMBER,masters,M,201
2019,NUMBER,specialists,_T,109
2019,NUMBER,specialists,F,48
2019,NUMBER,specialists,M,61
2019,NUMBER,doctors,_T,54
2019,NUMBER,doctors,F,37
2019,NUMBER,doctors,M,17
2020,NUMBER,masters_of_science,_T,72
2020,NUMBER,masters_of_science,F,43
2020,NUMBER,masters_of_science,M,29
2020,NUMBER,masters,_T,420
2020,NUMBER,masters,F,200
2020,NUMBER,masters,M,220
2020,NUMBER,specialists,_T,101
2020,NUMBER,specialists,F,32
2020,NUMBER,specialists,M,69
2020,NUMBER,doctors,_T,47
2020,NUMBER,doctors,F,27
2020,NUMBER,doctors,M,20
