Year,UNIT_MEASURE,Пол,Value
2004,% од укупно,T,16.1
2007,% од укупно,T,17.3
2011,% од укупно,T,14.8
2015,% од укупно,T,13.9
2007,% од укупно,M,15.4
2011,% од укупно,M,13.5
2015,% од укупно,M,12.1
2007,% од укупно,Ж,24.0
2011,% од укупно,Ж,18.7
2015,% од укупно,Ж,18.6
