Indicator,Disaggregation combinations using this value
#1-8-3,100
#2-1-4,7
#2-2-1,21
#2-2-2,27
#2-2-3,18
#2-3-1,6
#2-3-2,2
#2-4-1,9
#2-4-2,21
#2-5-1,24
