Value,en,bs,sr,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,Укупно,189,1
bosnian,bosnian,bosnian,bosnian,189,1
croatian,croatian,croatian,croatian,189,1
other_language,other_language,other_language,other_language,189,1
serbian,serbian,serbian,serbian,189,1
unknown_language,unknown_language,unknown_language,unknown_language,189,1
