Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
5+,Five and more members of household,5+,5+,5+,63,1
_T,Total,Ukupno,Укупно,Ukupno,63,1
average_number,Average number of memebers in the household,average_number,average_number,average_number,63,1
four_members,Four members of household,four_members,four_members,four_members,63,1
one_member,One member of household,one_member,one_member,one_member,63,1
three_members,three_members,three_members,three_members,three_members,63,1
two_members,Two members of household,two_members,two_members,two_members,63,1
