Indicator,Disaggregation combinations using this value
#1-8-3,60
#2-1-3,60
#2-1-5,7
#2-2-1,18
#2-2-2,18
#2-2-3,16
#2-3-1,7
#2-3-2,3
#2-4-1,12
#2-4-2,24
#2-5-1,27
