Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,Укупно,189,1
communication,Communication,Komunikacija,communication,189,1
dressing,Dressing,Odijevanje i održavanje lične higijene,dressing,189,1
eyesight,Eyesight,Vid,eyesight,189,1
hearing,Hearing,Sluh,hearing,189,1
memory,Memory,Pamćenje ili koncentracija,memory,189,1
multiple_disabilities,Multiple disabilities,Višestruke poteškoće,multiple_disabilities,189,1
walking,Walking,Hod ili penjanje uz stepenice,walking,189,1
