Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,_T,Ukupno,1,1
adult_beneficiaries,Adult beneficiaries,Odrasli korisnici,adult_beneficiaries,Odrasli korisnici,1,1
adult_users,adult_users,adult_users,adult_users,adult_users,3,1
minor_beneficiaries,Minor beneficiaries,Maloljetni korisnici,minor_beneficiaries,Malodobni korisnici,1,1
total,Total,Ukupno,total,Ukupno,3,1
underage_users,underage_users,underage_users,underage_users,underage_users,3,1
