Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,Укупно,189,1
bosniaks,Bosniak,Bošnjaci,Бошњаци,189,1
croats,Croat,Hrvati,Хрвати,189,1
does_not_declare_ethnicity/nationality,Does not declare ethnicity/nationality,Ne izjašnjava se,Не изјашњава се,189,1
other_ethnicity/nationality,Other ethnicity/nationality,Ostali,Остали,189,1
serbs,Serb,Srbi,Срби,189,1
unknown_ethnicity/nationality,Unknown ethnicity/nationality,Nepoznato,Непознато,189,1
