Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,_T,Ukupno,63,1
agricultural_households,Number of agricultural households,agricultural_households,agricultural_households,agricultural_households,63,1
agricultural_selling,Number of agricultural households that are selling their products,agricultural_selling,agricultural_selling,agricultural_selling,63,1
