Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
masters,Masters,masters,Мастери,3,1
masters_of_science,Masters of science,masters_of_science,Mагистри наука,3,1
specialists,Specialists,specialists,Специјалисти,3,1
