Indicator,Disaggregation combinations using this value
#1-7-2,102
#3-6-1,3
#3-6-2,1
#3-6-3,1
#3-6-4,1
#3-7-1,21
#7-1-1,15
#7-1-2,15
#7-1-3,15
#7-2-1,3
#7-2-2,1
#8-1-1,7
