Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
(0-14+50+)/(15-49),(0-14+50+)/(15-49),(0-14+50+)/(15-49),(0-14+50+)/(15-49),2,1
(0-14+60+)/(15-59),(0-14+60+)/(15-59),(0-14+60+)/(15-59),(0-14+60+)/(15-59),2,1
(0-19+65+)/(20-64),(0-19+65+)/(20-64),(0-19+65+)/(20-64),(0-19+65+)/(20-64),2,1
(65+)/(0-14),(65+)/(0-14),(65+)/(0-14),(65+)/(0-14),3,1
