Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
agricultural_households,Performing agricultural activity,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost,Број домаћинстава која обављају пољопривредну активност,63,1
agricultural_selling,Performing agricultural activity and selling agricultural products in the market,Broj domaćinstava koja obavljaju poljoprivrednu aktivnost i prodaju poljoprivredne proizvode na tržištu,Број домаћинстава која обављају пољопривредну активност и продају пољопривредне производе на тржишту,63,1
