Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Total,Ukupno,Укупно,Ukupno,189,1
agnostic,Agnostic,agnostic,agnostic,agnostic,189,1
atheist,Atheist,atheist,atheist,atheist,189,1
catholic,Catholic Cristian,catholic,catholic,catholic,189,1
does_not_declare,Does not declare about religion,does_not_declare,does_not_declare,does_not_declare,189,1
islam,Islam,islam,islam,islam,189,1
ortodox,Ortodox Cristian,ortodox,ortodox,ortodox,189,1
other,"Religion other than Islam, Catholic Crsitian, Ortodox Cristian",Drugo,Друго,Drugo,189,1
unknown,Unknown computer literacy rate,Nepoznato,Непознато,Nepoznato,189,1
