Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Performing_agricultural_activity,Performing agricultural activity,Obavljanje poljoprivredne djelatnosti,Performing_agricultural_activity,Obavljanje poljoprivredne djelatnosti,1,1
Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,Performing agricultural activity and selling agricultural products in the market,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na pijaci,Performing_agricultural_activity_and_selling_agricultural_products_in_the_market,Obavljanje poljoprivredne djelatnosti i prodaja poljoprivrednih proizvoda na pijaci,1,1
