Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
SOKOLAC,SOKOLAC,SOKOLAC,SOKOLAC,SOKOLAC,184,9
SRBAC,SRBAC,SRBAC,SRBAC,SRBAC,185,9
SREBRENICA,SREBRENICA,SREBRENICA,SREBRENICA,SREBRENICA,184,9
STANARI,STANARI,STANARI,STANARI,STANARI,60,1
TESLIC,TESLIC,TESLIC,TESLIC,TESLIC,185,9
TREBINJE,TREBINJE,TREBINJE,TREBINJE,TREBINJE,125,8
TRNOVO,TRNOVO,TRNOVO,TRNOVO,TRNOVO,181,9
UGLJEVIK,UGLJEVIK,UGLJEVIK,UGLJEVIK,UGLJEVIK,184,9
VISEGRAD,VISEGRAD,VISEGRAD,VISEGRAD,VISEGRAD,183,9
VLASENICA,VLASENICA,VLASENICA,VLASENICA,VLASENICA,185,9
VUKOSAVLJE,VUKOSAVLJE,VUKOSAVLJE,VUKOSAVLJE,VUKOSAVLJE,184,9
ZVORNIK,ZVORNIK,ZVORNIK,ZVORNIK,ZVORNIK,125,8
