Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
adult_facilities,adult_facilities,adult_facilities,Установе за одрасле,adult_facilities,1,1
institutions_for_children_and_youth,institutions_for_children_and_youth,institutions_for_children_and_youth,Установе за дјецу и омладину,institutions_for_children_and_youth,1,1
