Year,Value,UNIT_MEASURE
2003,107.1,Broj dječaka na 100 djevojčica
2004,107.9,Broj dječaka na 100 djevojčica
2005,105.6,Broj dječaka na 100 djevojčica
2006,103.4,Broj dječaka na 100 djevojčica
2007,106.0,Broj dječaka na 100 djevojčica
2008,106.6,Broj dječaka na 100 djevojčica
2009,111.0,Broj dječaka na 100 djevojčica
2010,104.5,Broj dječaka na 100 djevojčica
2011,110.0,Broj dječaka na 100 djevojčica
2012,104.1,Broj dječaka na 100 djevojčica
2013,106.6,Broj dječaka na 100 djevojčica
2014,108.0,Broj dječaka na 100 djevojčica
2015,107.2,Broj dječaka na 100 djevojčica
2016,109.1,Broj dječaka na 100 djevojčica
2017,109.7,Broj dječaka na 100 djevojčica
2018,109.5,Broj dječaka na 100 djevojčica
2019,112.4,Broj dječaka na 100 djevojčica
2020,109.7,Broj dječaka na 100 djevojčica
2021,105.2,Broj dječaka na 100 djevojčica
