Year,Value,UNIT_MEASURE
2019,8.22,Stopa nataliteta na 1.000 stanovnika
2020,8.16,Stopa nataliteta na 1.000 stanovnika
2025,7.87,Stopa nataliteta na 1.000 stanovnika
2030,7.63,Stopa nataliteta na 1.000 stanovnika
2035,7.41,Stopa nataliteta na 1.000 stanovnika
2040,7.27,Stopa nataliteta na 1.000 stanovnika
2045,7.16,Stopa nataliteta na 1.000 stanovnika
2050,7.11,Stopa nataliteta na 1.000 stanovnika
2055,7.09,Stopa nataliteta na 1.000 stanovnika
2060,7.07,Stopa nataliteta na 1.000 stanovnika
2065,7.03,Stopa nataliteta na 1.000 stanovnika
2070,7.01,Stopa nataliteta na 1.000 stanovnika
