Year,Value,UNIT_MEASURE
2000,2834,BAM
2001,3081,BAM
2002,3539,BAM
2003,3850,BAM
2004,4318,BAM
2005,4809,BAM
2006,5535,BAM
2007,6240,BAM
2008,7226,BAM
2009,7023,BAM
2010,7104,BAM
2011,7425,BAM
2012,7363,BAM
2013,7526,BAM
2014,7635,BAM
2015,7937,BAM
2016,8338,BAM
2017,8759,BAM
2018,9322,BAM
2019,9848,BAM
2020,9797,BAM
2021,11080,BAM
2000,1449,EUR
2001,1575,EUR
2002,1809,EUR
2003,1969,EUR
2004,2208,EUR
2005,2459,EUR
2006,2830,EUR
2007,3191,EUR
2008,3695,EUR
2009,3591,EUR
2010,3632,EUR
2011,3796,EUR
2012,3765,EUR
2013,3848,EUR
2014,3904,EUR
2015,4058,EUR
2016,4263,EUR
2017,4478,EUR
2018,4766,EUR
2019,5035,EUR
2020,5009,EUR
2021,5665,EUR
2000,1337,USD
2001,1410,USD
2002,1704,USD
2003,2221,USD
2004,2741,USD
2005,3058,USD
2006,3550,USD
2007,4365,USD
2008,5406,USD
2009,4992,USD
2010,4810,USD
2011,5281,USD
2012,4836,USD
2013,5108,USD
2014,5180,USD
2015,4503,USD
2016,4716,USD
2017,5047,USD
2018,5624,USD
2019,5636,USD
2020,5707,USD
2021,6699,USD
