Year,Value,UNIT_MEASURE
2003,10.9,Stopa smrtnosti na 1.000 stanovnika
2004,11.0,Stopa smrtnosti na 1.000 stanovnika
2005,11.6,Stopa smrtnosti na 1.000 stanovnika
2006,11.2,Stopa smrtnosti na 1.000 stanovnika
2007,12.0,Stopa smrtnosti na 1.000 stanovnika
2008,11.4,Stopa smrtnosti na 1.000 stanovnika
2009,11.7,Stopa smrtnosti na 1.000 stanovnika
2010,11.5,Stopa smrtnosti na 1.000 stanovnika
2011,11.6,Stopa smrtnosti na 1.000 stanovnika
2012,11.8,Stopa smrtnosti na 1.000 stanovnika
2013,11.9,Stopa smrtnosti na 1.000 stanovnika
2014,12.3,Stopa smrtnosti na 1.000 stanovnika
2015,13.0,Stopa smrtnosti na 1.000 stanovnika
2016,12.1,Stopa smrtnosti na 1.000 stanovnika
2017,12.7,Stopa smrtnosti na 1.000 stanovnika
2018,12.9,Stopa smrtnosti na 1.000 stanovnika
2019,13.2,Stopa smrtnosti na 1.000 stanovnika
2020,14.6,Stopa smrtnosti na 1.000 stanovnika
2021,16.8,Stopa smrtnosti na 1.000 stanovnika
2022,14.5,Stopa smrtnosti na 1.000 stanovnika
2023,12.1,Stopa smrtnosti na 1.000 stanovnika
