Year,Value,UNIT_MEASURE
2003,5.7,Stopa nataliteta na 1.000 stanovnika
2004,6.0,Stopa nataliteta na 1.000 stanovnika
2005,5.7,Stopa nataliteta na 1.000 stanovnika
2006,5.8,Stopa nataliteta na 1.000 stanovnika
2007,6.0,Stopa nataliteta na 1.000 stanovnika
2008,5.4,Stopa nataliteta na 1.000 stanovnika
2009,5.2,Stopa nataliteta na 1.000 stanovnika
2010,4.9,Stopa nataliteta na 1.000 stanovnika
2011,4.9,Stopa nataliteta na 1.000 stanovnika
2012,4.5,Stopa nataliteta na 1.000 stanovnika
2013,4.7,Stopa nataliteta na 1.000 stanovnika
2014,5.0,Stopa nataliteta na 1.000 stanovnika
2015,5.1,Stopa nataliteta na 1.000 stanovnika
2016,4.8,Stopa nataliteta na 1.000 stanovnika
2017,5.2,Stopa nataliteta na 1.000 stanovnika
2018,5.2,Stopa nataliteta na 1.000 stanovnika
2019,5.1,Stopa nataliteta na 1.000 stanovnika
2020,3.7,Stopa nataliteta na 1.000 stanovnika
2021,4.9,Stopa nataliteta na 1.000 stanovnika
2022,4.9,Stopa nataliteta na 1.000 stanovnika
