Year,Value,UNIT_MEASURE
2003,3.5,Broj na 1.000 živorođenih
2004,3.3,Broj na 1.000 živorođenih
2005,3.9,Broj na 1.000 živorođenih
2006,2.6,Broj na 1.000 živorođenih
2007,3.9,Broj na 1.000 živorođenih
2008,3.3,Broj na 1.000 živorođenih
2009,3.0,Broj na 1.000 živorođenih
2010,4.0,Broj na 1.000 živorođenih
2011,3.0,Broj na 1.000 živorođenih
2012,3.8,Broj na 1.000 živorođenih
2013,3.9,Broj na 1.000 živorođenih
2014,2.4,Broj na 1.000 živorođenih
2015,1.8,Broj na 1.000 živorođenih
2016,1.6,Broj na 1.000 živorođenih
2017,1.8,Broj na 1.000 živorođenih
2018,1.9,Broj na 1.000 živorođenih
2019,1.4,Broj na 1.000 živorođenih
2020,1.6,Broj na 1.000 živorođenih
