Year,Value,UNIT_MEASURE
2003,6.1,Broj na 1.000 živorođenih
2004,5.7,Broj na 1.000 živorođenih
2005,3.6,Broj na 1.000 živorođenih
2006,4.8,Broj na 1.000 živorođenih
2007,3.8,Broj na 1.000 živorođenih
2008,3.9,Broj na 1.000 živorođenih
2009,4.8,Broj na 1.000 živorođenih
2010,4.3,Broj na 1.000 živorođenih
2011,4.5,Broj na 1.000 živorođenih
2012,3.7,Broj na 1.000 živorođenih
2013,3.5,Broj na 1.000 živorođenih
2014,3.1,Broj na 1.000 živorođenih
2015,2.8,Broj na 1.000 živorođenih
2016,2.4,Broj na 1.000 živorođenih
2017,2.8,Broj na 1.000 živorođenih
2018,1.8,Broj na 1.000 živorođenih
2019,1.6,Broj na 1.000 živorođenih
2020,4.7,Broj na 1.000 živorođenih
2021,1.8,Broj na 1.000 živorođenih
