Year,UNIT_MEASURE,Value
2005,NUMBER,351
2006,NUMBER,331
2007,NUMBER,397
2008,NUMBER,427
2009,NUMBER,403
2010,NUMBER,411
2011,NUMBER,433
2016,NUMBER,449
