Year,UNIT_MEASURE,Pol,Value
2003,Broj,Ukupno,37
2004,Broj,Ukupno,35
2005,Broj,Ukupno,40
2006,Broj,Ukupno,27
2007,Broj,Ukupno,39
2008,Broj,Ukupno,34
2009,Broj,Ukupno,32
2010,Broj,Ukupno,41
2011,Broj,Ukupno,29
2012,Broj,Ukupno,38
2013,Broj,Ukupno,37
2014,Broj,Ukupno,22
2015,Broj,Ukupno,17
2016,Broj,Ukupno,15
2017,Broj,Ukupno,17
2018,Broj,Ukupno,18
2019,Broj,Ukupno,13
2020,Broj,Ukupno,15
2021,Broj,Ukupno,18
2022,Broj,Ukupno,24
2023,Broj,Ukupno,20
2003,Broj,M,17
2004,Broj,M,19
2005,Broj,M,20
2006,Broj,M,20
2007,Broj,M,23
2008,Broj,M,20
2009,Broj,M,21
2010,Broj,M,23
2011,Broj,M,12
2012,Broj,M,24
2013,Broj,M,17
2014,Broj,M,13
2015,Broj,M,8
2016,Broj,M,5
2017,Broj,M,10
2018,Broj,M,11
2019,Broj,M,4
2020,Broj,M,11
2021,Broj,M,9
2022,Broj,M,13
2023,Broj,M,11
2003,Broj,Ž,20
2004,Broj,Ž,16
2005,Broj,Ž,20
2006,Broj,Ž,7
2007,Broj,Ž,16
2008,Broj,Ž,14
2009,Broj,Ž,11
2010,Broj,Ž,18
2011,Broj,Ž,17
2012,Broj,Ž,14
2013,Broj,Ž,20
2014,Broj,Ž,9
2015,Broj,Ž,9
2016,Broj,Ž,10
2017,Broj,Ž,7
2018,Broj,Ž,7
2019,Broj,Ž,9
2020,Broj,Ž,4
2021,Broj,Ž,9
2022,Broj,Ž,11
2023,Broj,Ž,9
