Year,UNIT_MEASURE,Type_of_user,Value
2016,Број,total,114991
2017,Број,total,113231
2018,Број,total,113895
2019,Број,total,111620
2020,Број,total,107536
2016,Број,underage_users,23870
2017,Број,underage_users,20700
2018,Број,underage_users,18358
2019,Број,underage_users,19180
2020,Број,underage_users,17486
2016,Број,adult_users,91121
2017,Број,adult_users,92531
2018,Број,adult_users,95537
2019,Број,adult_users,92440
2020,Број,adult_users,90050
