Year,UNIT_MEASURE,Пол,Value
2003,Број,Оба пола,64
2004,Број,Оба пола,61
2005,Број,Оба пола,37
2006,Број,Оба пола,50
2007,Број,Оба пола,38
2008,Број,Оба пола,40
2009,Број,Оба пола,51
2010,Број,Оба пола,44
2011,Број,Оба пола,43
2012,Број,Оба пола,37
2013,Број,Оба пола,33
2014,Број,Оба пола,29
2015,Број,Оба пола,26
2016,Број,Оба пола,23
2017,Број,Оба пола,26
2018,Број,Оба пола,17
2019,Број,Оба пола,15
2020,Број,Оба пола,43
2003,Број,M,32
2004,Број,M,43
2005,Број,M,20
2006,Број,M,31
2007,Број,M,18
2008,Број,M,20
2009,Број,M,29
2010,Број,M,20
2011,Број,M,26
2012,Број,M,25
2013,Број,M,21
2014,Број,M,11
2015,Број,M,9
2016,Број,M,17
2017,Број,M,13
2018,Број,M,7
2019,Број,M,7
2020,Број,M,21
2003,Број,Ж,32
2004,Број,Ж,18
2005,Број,Ж,17
2006,Број,Ж,19
2007,Број,Ж,20
2008,Број,Ж,20
2009,Број,Ж,22
2010,Број,Ж,24
2011,Број,Ж,17
2012,Број,Ж,12
2013,Број,Ж,12
2014,Број,Ж,18
2015,Број,Ж,17
2016,Број,Ж,6
2017,Број,Ж,13
2018,Број,Ж,10
2019,Број,Ж,8
2020,Број,Ж,22
2018,F,Број,92
2019,F,Број,88
