Year,UNIT_MEASURE,Тип односа зависности,Пол,Value
2013,%,(0-14+60+)/(15-59),Оба пола,63.01
2013,%,(0-19+65+)/(20-64),Оба пола,59.38
2013,%,(0-14+50+)/(15-49),Оба пола,119.79
2013,%,(0-14+60+)/(15-59),M,57.84
2013,%,(0-19+65+)/(20-64),M,55.76
2013,%,(0-14+50+)/(15-49),M,110.36
2013,%,(0-14+60+)/(15-59),Ж,68.28
2013,%,(0-19+65+)/(20-64),Ж,62.99
2013,%,(0-14+50+)/(15-49),Ж,129.62
