Year,UNIT_MEASURE,Value
2003,Број на 1.000 становника,5.7
2004,Број на 1.000 становника,6.0
2005,Број на 1.000 становника,5.7
2006,Број на 1.000 становника,5.8
2007,Број на 1.000 становника,6.0
2008,Број на 1.000 становника,5.4
2009,Број на 1.000 становника,5.2
2010,Број на 1.000 становника,4.9
2011,Број на 1.000 становника,4.9
2012,Број на 1.000 становника,4.5
2013,Број на 1.000 становника,4.7
2014,Број на 1.000 становника,5.0
2015,Број на 1.000 становника,5.1
2016,Број на 1.000 становника,4.8
2017,Број на 1.000 становника,5.2
2018,Број на 1.000 становника,5.2
2019,Број на 1.000 становника,5.1
2020,Број на 1.000 становника,3.7
