Year,UNIT_MEASURE,Teritory,Пол,Витална статистика,Value
2013,Број,Република Српска,Ж,one_child,69805
2013,Број,Град Бања Лука,Ж,one_child,13545
2013,Број,Берковићи,Ж,one_child,72
2013,Број,Град Бијељина,Ж,one_child,6922
2013,Број,Билећа,Ж,one_child,374
2013,Број,Братунац,Ж,one_child,856
2013,Број,Брод,Ж,one_child,987
2013,Број,Вишеград,Ж,one_child,536
2013,Број,Власеница,Ж,one_child,547
2013,Број,Вукосавље,Ж,one_child,236
2013,Број,Гацко,Ж,one_child,325
2013,Број,Град Градишка,Ж,one_child,3293
2013,Број,Град Дервента,Ж,one_child,1633
2013,Број,Град Добој,Ж,one_child,4512
2013,Број,Доњи Жабар,Ж,one_child,205
2013,Број,Град Зворник,Ж,one_child,2647
2013,Број,Источна Илиџа,Ж,one_child,1017
2013,Број,Источни Дрвар,Ж,one_child,4
2013,Број,Источни Мостар,Ж,one_child,8
2013,Број,Источни Стари Град,Ж,one_child,53
2013,Број,Источно Ново Сарајево,Ж,one_child,832
2013,Број,Језеро,Ж,one_child,41
2013,Број,Калиновик,Ж,one_child,62
2013,Број,Кнежево,Ж,one_child,329
2013,Број,Козарска Дубица,Ж,one_child,1478
2013,Број,Костајница,Ж,one_child,460
2013,Број,Котор Варош,Ж,one_child,706
2013,Број,Крупа на Уни,Ж,one_child,58
2013,Број,Купрес,Ж,one_child,13
2013,Број,Лакташи,Ж,one_child,2036
2013,Број,Лопаре,Ж,one_child,737
2013,Број,Љубиње,Ж,one_child,102
2013,Број,Милићи,Ж,one_child,405
2013,Број,Модрича,Ж,one_child,1389
2013,Број,Мркоњић Град,Ж,one_child,720
2013,Број,Невесиње,Ж,one_child,478
2013,Број,Нови Град,Ж,one_child,1568
2013,Број,Ново Горажде,Ж,one_child,147
2013,Број,Осмаци,Ж,one_child,227
2013,Број,Оштра Лука,Ж,one_child,79
2013,Број,Пале,Ж,one_child,1269
2013,Број,Пелагићево,Ж,one_child,240
2013,Број,Петровац,Ж,one_child,23
2013,Број,Петрово,Ж,one_child,407
2013,Број,Град Приједор,Ж,one_child,5181
2013,Број,Прњавор,Ж,one_child,1922
2013,Број,Рибник,Ж,one_child,226
2013,Број,Рогатица,Ж,one_child,505
2013,Број,Рудо,Ж,one_child,299
2013,Број,Соколац,Ж,one_child,646
2013,Број,Србац,Ж,one_child,1066
2013,Број,Сребреница,Ж,one_child,519
2013,Број,Теслић,Ж,one_child,1963
2013,Број,Град Требиње,Ж,one_child,1415
2013,Број,Трново,Ж,one_child,114
2013,Број,Угљевик,Ж,one_child,797
2013,Број,Фоча,Ж,one_child,829
2013,Број,Хан Пијесак,Ж,one_child,200
2013,Број,Чајниче,Ж,one_child,203
2013,Број,Челинац,Ж,one_child,640
2013,Број,Шамац,Ж,one_child,1094
2013,Број,Шековићи,Ж,one_child,241
2013,Број,Шипово,Ж,one_child,367
2013,Број,Република Српска,Ж,two_children,201271
2013,Број,Град Бања Лука,Ж,two_children,32459
2013,Број,Берковићи,Ж,two_children,239
2013,Број,Град Бијељина,Ж,two_children,19232
