Year,UNIT_MEASURE,Teritory,Пол,household_members,Value
2013,Број,Вишеград,M,one_member,1132.0
2013,Број,Власеница,Ж,one_member,768.0
2013,Број,Вукосавље,Оба пола,one_member,348.0
2013,Број,Гацко,M,one_member,522.0
2013,Број,Град Градишка,Ж,one_member,3782.0
2013,Број,Град Дервента,Оба пола,one_member,2270.0
2013,Број,Град Добој,M,one_member,6230.0
2013,Број,Доњи Жабар,Ж,one_member,271.0
2013,Број,Град Зворник,Оба пола,one_member,3323.0
2013,Број,Источна Илиџа,M,one_member,949.0
2013,Број,Источни Дрвар,Ж,one_member,24.0
2013,Број,Источни Мостар,Оба пола,one_member,29.0
2013,Број,Источни Стари Град,M,one_member,123.0
2013,Број,Источно Ново Сарајево,Ж,one_member,904.0
2013,Број,Језеро,Оба пола,one_member,86.0
2013,Број,Калиновик,M,one_member,245.0
2013,Број,Кнежево,Ж,one_member,611.0
2013,Број,Козарска Дубица,Оба пола,one_member,1898.0
2013,Број,Костајница,M,one_member,384.0
2013,Број,Котор Варош,Ж,one_member,1089.0
2013,Број,Крупа на Уни,Оба пола,one_member,159.0
2013,Број,Купрес,M,one_member,44.0
2013,Број,Лакташи,Ж,one_member,2093.0
2013,Број,Лопаре,Оба пола,one_member,1256.0
2013,Број,Љубиње,M,one_member,196.0
2013,Број,Милићи,Ж,one_member,789.0
2013,Број,Модрича,Оба пола,one_member,1983.0
2013,Број,Мркоњић Град,M,one_member,1538.0
2013,Број,Невесиње,Ж,one_member,766.0
2013,Број,Нови Град,Оба пола,one_member,1965.0
2013,Број,Ново Горажде,M,one_member,270.0
2013,Број,Осмаци,Ж,one_member,254.0
2013,Број,Оштра Лука,Оба пола,one_member,277.0
2013,Број,Пале,M,one_member,1515.0
2013,Број,Пелагићево,Ж,one_member,640.0
2013,Број,Петровац,Оба пола,one_member,34.0
2013,Број,Петрово,M,one_member,726.0
2013,Број,Град Приједор,Ж,one_member,6423.0
2013,Број,Прњавор,Оба пола,one_member,2943.0
2013,Број,Рибник,M,one_member,642.0
2013,Број,Рогатица,Ж,one_member,986.0
2013,Број,Рудо,Оба пола,one_member,696.0
2013,Број,Соколац,M,one_member,1022.0
2013,Број,Србац,Ж,one_member,1507.0
2013,Број,Сребреница,Оба пола,one_member,874.0
2013,Број,Теслић,M,one_member,3060.0
2013,Број,Град Требиње,Ж,one_member,1848.0
2013,Број,Трново,Оба пола,one_member,223.0
2013,Број,Угљевик,M,one_member,1019.0
2013,Број,Фоча,Ж,one_member,1635.0
2013,Број,Хан Пијесак,Оба пола,one_member,389.0
2013,Број,Чајниче,M,one_member,395.0
2013,Број,Челинац,Ж,one_member,951.0
2013,Број,Шамац,Оба пола,one_member,1406.0
2013,Број,Шековићи,M,one_member,708.0
2013,Број,Шипово,Ж,one_member,839.0
2013,Број,Република Српска,Оба пола,two_members,107130.0
2013,Број,Град Бања Лука,M,two_members,17243.0
2013,Број,Берковићи,Ж,two_members,166.0
2013,Број,Град Бијељина,Оба пола,two_members,8272.0
2013,Број,Билећа,M,two_members,719.0
2013,Број,Братунац,Ж,two_members,1345.0
2013,Број,Брод,Оба пола,two_members,1439.0
2013,Број,Вишеград,M,two_members,1172.0
2013,Број,Власеница,Ж,two_members,1001.0
2013,Број,Вукосавље,Оба пола,two_members,425.0
2013,Број,Гацко,M,two_members,622.0
2013,Број,Град Градишка,Ж,two_members,4438.0
2013,Број,Град Дервента,Оба пола,two_members,2598.0
2013,Број,Град Добој,M,two_members,7242.0
2013,Број,Доњи Жабар,Ж,two_members,290.0
2013,Број,Град Зворник,Оба пола,two_members,4288.0
2013,Број,Источна Илиџа,M,two_members,1316.0
2013,Број,Источни Дрвар,Ж,two_members,7.0
2013,Број,Источни Мостар,Оба пола,two_members,15.0
2013,Број,Источни Стари Град,M,two_members,146.0
2013,Број,Источно Ново Сарајево,Ж,two_members,1011.0
2013,Број,Језеро,Оба пола,two_members,89.0
2013,Број,Калиновик,M,two_members,213.0
2013,Број,Кнежево,Ж,two_members,937.0
2013,Број,Козарска Дубица,Оба пола,two_members,2021.0
2013,Број,Костајница,M,two_members,477.0
2013,Број,Котор Варош,Ж,two_members,1358.0
2013,Број,Крупа на Уни,Оба пола,two_members,128.0
2013,Број,Купрес,M,two_members,48.0
2013,Број,Лакташи,Ж,two_members,2768.0
2013,Број,Лопаре,Оба пола,two_members,1261.0
2013,Број,Љубиње,M,two_members,254.0
2013,Број,Милићи,Ж,two_members,859.0
2013,Број,Модрича,Оба пола,two_members,2332.0
2013,Број,Мркоњић Град,M,two_members,1806.0
2013,Број,Невесиње,Ж,two_members,939.0
2013,Број,Нови Град,Оба пола,two_members,2390.0
2013,Број,Ново Горажде,M,two_members,288.0
2013,Број,Осмаци,Ж,two_members,372.0
2013,Број,Оштра Лука,Оба пола,two_members,243.0
2013,Број,Пале,M,two_members,1890.0
2013,Број,Пелагићево,Ж,two_members,516.0
2013,Број,Петровац,Оба пола,two_members,35.0
2013,Број,Петрово,M,two_members,760.0
2013,Број,Град Приједор,Ж,two_members,7125.0
2013,Број,Прњавор,Оба пола,two_members,3253.0
2013,Број,Рибник,M,two_members,673.0
2013,Број,Рогатица,Ж,two_members,1120.0
2013,Број,Рудо,Оба пола,two_members,851.0
2013,Број,Соколац,M,two_members,1227.0
2013,Број,Србац,Ж,two_members,1729.0
2013,Број,Сребреница,Оба пола,two_members,858.0
2013,Број,Теслић,M,two_members,3602.0
2013,Број,Град Требиње,Ж,two_members,2317.0
2013,Број,Трново,Оба пола,two_members,250.0
2013,Број,Угљевик,M,two_members,1118.0
2013,Број,Фоча,Ж,two_members,1877.0
2013,Број,Хан Пијесак,Оба пола,two_members,439.0
2013,Број,Чајниче,M,two_members,442.0
2013,Број,Челинац,Ж,two_members,1260.0
2013,Број,Шамац,Оба пола,two_members,1408.0
2013,Број,Шековићи,M,two_members,783.0
2013,Број,Шипово,Ж,two_members,1059.0
2013,Број,Република Српска,Оба пола,three_members,79155.0
2013,Број,Град Бања Лука,M,three_members,14267.0
2013,Број,Берковићи,Ж,three_members,92.0
2013,Број,Град Бијељина,Оба пола,three_members,6586.0
2013,Број,Билећа,M,three_members,620.0
2013,Број,Братунац,Ж,three_members,1137.0
2013,Број,Брод,Оба пола,three_members,1107.0
2013,Број,Вишеград,M,three_members,724.0
2013,Број,Власеница,Ж,three_members,747.0
2013,Број,Вукосавље,Оба пола,three_members,280.0
2013,Број,Гацко,M,three_members,561.0
2013,Број,Град Градишка,Ж,three_members,3140.0
2013,Број,Град Дервента,Оба пола,three_members,1688.0
2013,Број,Град Добој,M,three_members,4956.0
2013,Број,Доњи Жабар,Ж,three_members,178.0
2013,Број,Град Зворник,Оба пола,three_members,3400.0
2013,Број,Источна Илиџа,M,three_members,1075.0
2013,Број,Источни Дрвар,Ж,three_members,6.0
2013,Број,Источни Мостар,Оба пола,three_members,12.0
2013,Број,Источни Стари Град,M,three_members,75.0
2013,Број,Источно Ново Сарајево,Ж,three_members,813.0
2013,Број,Језеро,Оба пола,three_members,75.0
2013,Број,Калиновик,M,three_members,136.0
2013,Број,Кнежево,Ж,three_members,554.0
2013,Број,Козарска Дубица,Оба пола,three_members,1351.0
2013,Број,Костајница,M,three_members,384.0
2013,Број,Котор Варош,Ж,three_members,1079.0
2013,Број,Крупа на Уни,Оба пола,three_members,84.0
2013,Број,Купрес,M,three_members,16.0
2013,Број,Лакташи,Ж,three_members,2241.0
2013,Број,Лопаре,Оба пола,three_members,908.0
2013,Број,Љубиње,M,three_members,234.0
2013,Број,Милићи,Ж,three_members,709.0
2013,Број,Модрича,Оба пола,three_members,1567.0
2013,Број,Мркоњић Град,M,three_members,1218.0
2013,Број,Невесиње,Ж,three_members,701.0
2013,Број,Нови Град,Оба пола,three_members,1669.0
2013,Број,Ново Горажде,M,three_members,193.0
2013,Број,Осмаци,Ж,three_members,317.0
2013,Број,Оштра Лука,Оба пола,three_members,151.0
2013,Број,Пале,M,three_members,1438.0
2013,Број,Пелагићево,Ж,three_members,225.0
2013,Број,Петровац,Оба пола,three_members,22.0
2013,Број,Петрово,M,three_members,448.0
2013,Број,Град Приједор,Ж,three_members,5351.0
2013,Број,Прњавор,Оба пола,three_members,2183.0
2013,Број,Рибник,M,three_members,356.0
2013,Број,Рогатица,Ж,three_members,709.0
2013,Број,Рудо,Оба пола,three_members,523.0
2013,Број,Соколац,M,three_members,808.0
2013,Број,Србац,Ж,three_members,1106.0
2013,Број,Сребреница,Оба пола,three_members,656.0
2013,Број,Теслић,M,three_members,2559.0
2013,Број,Град Требиње,Ж,three_members,1871.0
2013,Број,Трново,Оба пола,three_members,143.0
2013,Број,Угљевик,M,three_members,821.0
2013,Број,Фоча,Ж,three_members,1263.0
2013,Број,Хан Пијесак,Оба пола,three_members,249.0
2013,Број,Чајниче,M,three_members,303.0
2013,Број,Челинац,Ж,three_members,985.0
2013,Број,Шамац,Оба пола,three_members,971.0
2013,Број,Шековићи,M,three_members,418.0
2013,Број,Шипово,Ж,three_members,696.0
2013,Број,Република Српска,Оба пола,four_members,72771.0
2013,Број,Град Бања Лука,M,four_members,12952.0
2013,Број,Берковићи,Ж,four_members,84.0
2013,Број,Град Бијељина,Оба пола,four_members,6377.0
2013,Број,Билећа,M,four_members,616.0
2013,Број,Братунац,Ж,four_members,1161.0
2013,Број,Брод,Оба пола,four_members,928.0
2013,Број,Вишеград,M,four_members,582.0
2013,Број,Власеница,Ж,four_members,687.0
2013,Број,Вукосавље,Оба пола,four_members,249.0
2013,Број,Гацко,M,four_members,480.0
2013,Број,Град Градишка,Ж,four_members,2878.0
2013,Број,Град Дервента,Оба пола,four_members,1520.0
2013,Број,Град Добој,M,four_members,4148.0
2013,Број,Доњи Жабар,Ж,four_members,184.0
2013,Број,Град Зворник,Оба пола,four_members,3448.0
2013,Број,Источна Илиџа,M,four_members,1028.0
2013,Број,Источни Дрвар,Ж,four_members,0.0
2013,Број,Источни Мостар,Оба пола,four_members,10.0
2013,Број,Источни Стари Град,M,four_members,43.0
2013,Број,Источно Ново Сарајево,Ж,four_members,702.0
2013,Број,Језеро,Оба пола,four_members,58.0
2013,Број,Калиновик,M,four_members,109.0
2013,Број,Кнежево,Ж,four_members,551.0
2013,Број,Козарска Дубица,Оба пола,four_members,1175.0
2013,Број,Костајница,M,four_members,311.0
2013,Број,Котор Варош,Ж,four_members,1206.0
2013,Број,Крупа на Уни,Оба пола,four_members,72.0
2013,Број,Купрес,M,four_members,6.0
2013,Број,Лакташи,Ж,four_members,2345.0
2013,Број,Лопаре,Оба пола,four_members,805.0
2013,Број,Љубиње,M,four_members,194.0
2013,Број,Милићи,Ж,four_members,714.0
2013,Број,Модрича,Оба пола,four_members,1422.0
2013,Број,Мркоњић Град,M,four_members,939.0
2013,Број,Невесиње,Ж,four_members,736.0
2013,Број,Нови Град,Оба пола,four_members,1422.0
2013,Број,Ново Горажде,M,four_members,204.0
2013,Број,Осмаци,Ж,four_members,358.0
2013,Број,Оштра Лука,Оба пола,four_members,131.0
2013,Број,Пале,M,four_members,1418.0
2013,Број,Пелагићево,Ж,four_members,191.0
2013,Број,Петровац,Оба пола,four_members,19.0
2013,Број,Петрово,M,four_members,370.0
2013,Број,Град Приједор,Ж,four_members,4862.0
2013,Број,Прњавор,Оба пола,four_members,1953.0
2013,Број,Рибник,M,four_members,308.0
2013,Број,Рогатица,Ж,four_members,630.0
2013,Број,Рудо,Оба пола,four_members,467.0
2013,Број,Соколац,M,four_members,728.0
2013,Број,Србац,Ж,four_members,1011.0
2013,Број,Сребреница,Оба пола,four_members,652.0
2013,Број,Теслић,M,four_members,2147.0
2013,Број,Град Требиње,Ж,four_members,1765.0
2013,Број,Трново,Оба пола,four_members,110.0
2013,Број,Угљевик,M,four_members,932.0
2013,Број,Фоча,Ж,four_members,1115.0
2013,Број,Хан Пијесак,Оба пола,four_members,194.0
2013,Број,Чајниче,M,four_members,278.0
2013,Број,Челинац,Ж,four_members,964.0
2013,Број,Шамац,Оба пола,four_members,823.0
2013,Број,Шековићи,M,four_members,379.0
2013,Број,Шипово,Ж,four_members,620.0
2013,Број,Република Српска,Оба пола,5+,58469.0
2013,Број,Град Бања Лука,M,5+,6564.0
2013,Број,Берковићи,Ж,5+,165.0
2013,Број,Град Бијељина,Оба пола,5+,6090.0
2013,Број,Билећа,M,5+,723.0
2013,Број,Братунац,Ж,5+,1147.0
2013,Број,Брод,Оба пола,5+,765.0
2013,Број,Вишеград,M,5+,356.0
2013,Број,Власеница,Ж,5+,509.0
2013,Број,Вукосавље,Оба пола,5+,235.0
2013,Број,Гацко,M,5+,581.0
2013,Број,Град Градишка,Ж,5+,2701.0
2013,Број,Град Дервента,Оба пола,5+,1269.0
2013,Број,Град Добој,M,5+,2871.0
2013,Број,Доњи Жабар,Ж,5+,268.0
2013,Број,Град Зворник,Оба пола,5+,3231.0
2013,Број,Источна Илиџа,M,5+,613.0
2013,Број,Источни Дрвар,Ж,5+,1.0
2013,Број,Источни Мостар,Оба пола,5+,17.0
2013,Број,Источни Стари Град,M,5+,51.0
2013,Број,Источно Ново Сарајево,Ж,5+,389.0
2013,Број,Језеро,Оба пола,5+,57.0
2013,Број,Калиновик,M,5+,80.0
2013,Број,Кнежево,Ж,5+,515.0
2013,Број,Козарска Дубица,Оба пола,5+,1047.0
2013,Број,Костајница,M,5+,340.0
2013,Број,Котор Варош,Ж,5+,1131.0
2013,Број,Крупа на Уни,Оба пола,5+,100.0
2013,Број,Купрес,M,5+,14.0
2013,Број,Лакташи,Ж,5+,1846.0
2013,Број,Лопаре,Оба пола,5+,851.0
2013,Број,Љубиње,M,5+,199.0
2013,Број,Милићи,Ж,5+,508.0
2013,Број,Модрича,Оба пола,5+,1249.0
2013,Број,Мркоњић Град,M,5+,603.0
2013,Број,Невесиње,Ж,5+,843.0
2013,Број,Нови Град,Оба пола,5+,1346.0
2013,Број,Ново Горажде,M,5+,123.0
2013,Број,Осмаци,Ж,5+,374.0
2013,Број,Оштра Лука,Оба пола,5+,169.0
2013,Број,Пале,M,5+,897.0
2013,Број,Пелагићево,Ж,5+,215.0
2013,Број,Петровац,Оба пола,5+,20.0
2013,Број,Петрово,M,5+,228.0
2013,Број,Град Приједор,Ж,5+,4200.0
2013,Број,Прњавор,Оба пола,5+,1834.0
2013,Број,Рибник,M,5+,273.0
2013,Број,Рогатица,Ж,5+,426.0
2013,Број,Рудо,Оба пола,5+,310.0
2013,Број,Соколац,M,5+,491.0
2013,Број,Србац,Ж,5+,804.0
2013,Број,Сребреница,Оба пола,5+,752.0
2013,Број,Теслић,M,5+,1887.0
2013,Број,Град Требиње,Ж,5+,1593.0
2013,Број,Трново,Оба пола,5+,74.0
2013,Број,Угљевик,M,5+,977.0
2013,Број,Фоча,Ж,5+,654.0
2013,Број,Хан Пијесак,Оба пола,5+,119.0
2013,Број,Чајниче,M,5+,244.0
2013,Број,Челинац,Ж,5+,849.0
2013,Број,Шамац,Оба пола,5+,1001.0
2013,Број,Шековићи,M,5+,229.0
2013,Број,Шипово,Ж,5+,451.0
2013,Број,Република Српска,Оба пола,average_number,2.85
2013,Број,Град Бања Лука,M,average_number,2.76
2013,Број,Берковићи,Ж,average_number,3.21
2013,Број,Град Бијељина,Оба пола,average_number,3.02
2013,Број,Билећа,M,average_number,3.21
2013,Број,Братунац,Ж,average_number,3.14
2013,Број,Брод,Оба пола,average_number,2.81
2013,Број,Вишеград,M,average_number,2.51
2013,Број,Власеница,Ж,average_number,2.87
2013,Број,Вукосавље,Оба пола,average_number,2.84
2013,Број,Гацко,M,average_number,3.15
2013,Број,Град Градишка,Ж,average_number,2.9
2013,Број,Град Дервента,Оба пола,average_number,2.77
2013,Број,Град Добој,M,average_number,2.68
2013,Број,Доњи Жабар,Ж,average_number,3.08
2013,Број,Град Зворник,Оба пола,average_number,3.07
2013,Број,Источна Илиџа,M,average_number,2.86
2013,Број,Источни Дрвар,Ж,average_number,1.61
2013,Број,Источни Мостар,Оба пола,average_number,2.94
2013,Број,Источни Стари Град,M,average_number,2.55
2013,Број,Источно Ново Сарајево,Ж,average_number,2.71
2013,Број,Језеро,Оба пола,average_number,2.85
2013,Број,Калиновик,M,average_number,2.5
2013,Број,Кнежево,Ж,average_number,2.94
2013,Број,Козарска Дубица,Оба пола,average_number,2.76
2013,Број,Костајница,M,average_number,2.98
2013,Број,Котор Варош,Ж,average_number,3.13
2013,Број,Крупа на Уни,Оба пола,average_number,2.87
2013,Број,Купрес,M,average_number,2.29
2013,Број,Лакташи,Ж,average_number,3.02
2013,Број,Лопаре,Оба пола,average_number,2.88
2013,Број,Љубиње,M,average_number,3.08
2013,Број,Милићи,Ж,average_number,2.92
2013,Број,Модрича,Оба пола,average_number,2.83
2013,Број,Мркоњић Град,M,average_number,2.6
2013,Број,Невесиње,Ж,average_number,3.15
2013,Број,Нови Град,Оба пола,average_number,2.87
2013,Број,Ново Горажде,M,average_number,2.7
2013,Број,Осмаци,Ж,average_number,3.31
2013,Број,Оштра Лука,Оба пола,average_number,2.79
2013,Број,Пале,M,average_number,2.83
2013,Број,Пелагићево,Ж,average_number,2.43
2013,Број,Петровац,Оба пола,average_number,2.72
2013,Број,Петрово,M,average_number,2.49
2013,Број,Град Приједор,Ж,average_number,2.88
2013,Број,Прњавор,Оба пола,average_number,2.82
2013,Број,Рибник,M,average_number,2.6
2013,Број,Рогатица,Ж,average_number,2.65
2013,Број,Рудо,Оба пола,average_number,2.66
2013,Број,Соколац,M,average_number,2.7
2013,Број,Србац,Ж,average_number,2.75
2013,Број,Сребреница,Оба пола,average_number,3.08
2013,Број,Теслић,M,average_number,2.81
2013,Број,Град Требиње,Ж,average_number,2.99
2013,Број,Трново,Оба пола,average_number,2.48
2013,Број,Угљевик,M,average_number,3.11
2013,Број,Фоча,Ж,average_number,2.63
2013,Број,Хан Пијесак,Оба пола,average_number,2.48
2013,Број,Чајниче,M,average_number,2.82
2013,Број,Челинац,Ж,average_number,3.02
2013,Број,Шамац,Оба пола,average_number,2.91
2013,Број,Шековићи,M,average_number,2.51
2013,Број,Шипово,Ж,average_number,2.72
