Year,UNIT_MEASURE,Административно подручје,Пол,Literacy,Value
2013,Број,NOVI GRAD,M,Укупно,11576.0
2013,Број,NOVI GRAD,Ж,Укупно,11716.0
2013,Број,NOVO GORAZDE,Оба пола,Укупно,2718.0
2013,Број,NOVO GORAZDE,M,Укупно,1408.0
2013,Број,NOVO GORAZDE,Ж,Укупно,1310.0
2013,Број,OSMACI,Оба пола,Укупно,5021.0
2013,Број,OSMACI,M,Укупно,2498.0
2013,Број,OSMACI,Ж,Укупно,2523.0
2013,Број,OSTRA LUKA,Оба пола,Укупно,2468.0
2013,Број,OSTRA LUKA,M,Укупно,1264.0
2013,Број,OSTRA LUKA,Ж,Укупно,1204.0
2013,Број,PALE,Оба пола,Укупно,18603.0
2013,Број,PALE,M,Укупно,8848.0
2013,Број,PALE,Ж,Укупно,9755.0
2013,Број,PELAGICEVO,Оба пола,Укупно,4076.0
2013,Број,PELAGICEVO,M,Укупно,2009.0
2013,Број,PELAGICEVO,Ж,Укупно,2067.0
2013,Број,PETROVAC,Оба пола,Укупно,323.0
2013,Број,PETROVAC,M,Укупно,151.0
2013,Број,PETROVAC,Ж,Укупно,172.0
2013,Број,PETROVO,Оба пола,Укупно,5831.0
2013,Број,PETROVO,M,Укупно,2793.0
2013,Број,PETROVO,Ж,Укупно,3038.0
2013,Број,PRIJEDOR,Оба пола,Укупно,74375.0
2013,Број,PRIJEDOR,M,Укупно,36023.0
2013,Број,PRIJEDOR,Ж,Укупно,38352.0
2013,Број,PRNJAVOR,Оба пола,Укупно,31231.0
2013,Број,PRNJAVOR,M,Укупно,15075.0
2013,Број,PRNJAVOR,Ж,Укупно,16156.0
2013,Број,RIBNIK,Оба пола,Укупно,5365.0
2013,Број,RIBNIK,M,Укупно,2649.0
2013,Број,RIBNIK,Ж,Укупно,2716.0
2013,Број,ROGATICA,Оба пола,Укупно,9327.0
2013,Број,ROGATICA,M,Укупно,4558.0
2013,Број,ROGATICA,Ж,Укупно,4769.0
2013,Број,RUDO,Оба пола,Укупно,6979.0
2013,Број,RUDO,M,Укупно,3524.0
2013,Број,RUDO,Ж,Укупно,3455.0
2013,Број,SOKOLAC,Оба пола,Укупно,10588.0
2013,Број,SOKOLAC,M,Укупно,5194.0
2013,Број,SOKOLAC,Ж,Укупно,5394.0
2013,Број,SRBAC,Оба пола,Укупно,15404.0
2013,Број,SRBAC,M,Укупно,7537.0
2013,Број,SRBAC,Ж,Укупно,7867.0
2013,Број,SREBRENICA,Оба пола,Укупно,10715.0
2013,Број,SREBRENICA,M,Укупно,5225.0
2013,Број,SREBRENICA,Ж,Укупно,5490.0
2013,Број,TESLIC,Оба пола,Укупно,33369.0
2013,Број,TESLIC,M,Укупно,15840.0
2013,Број,TESLIC,Ж,Укупно,17529.0
2013,Број,TREBINJE,Оба пола,Укупно,25447.0
2013,Број,TREBINJE,M,Укупно,12305.0
2013,Број,TREBINJE,Ж,Укупно,13142.0
2013,Број,TRNOVO,Оба пола,Укупно,1852.0
2013,Број,TRNOVO,M,Укупно,887.0
2013,Број,TRNOVO,Ж,Укупно,965.0
2013,Број,UGLJEVIK,Оба пола,Укупно,13720.0
2013,Број,UGLJEVIK,M,Укупно,6891.0
2013,Број,UGLJEVIK,Ж,Укупно,6829.0
2013,Број,FOCA,Оба пола,Укупно,16227.0
2013,Број,FOCA,M,Укупно,8147.0
2013,Број,FOCA,Ж,Укупно,8080.0
2013,Број,HAN PIJESAK,Оба пола,Укупно,3187.0
2013,Број,HAN PIJESAK,M,Укупно,1496.0
2013,Број,HAN PIJESAK,Ж,Укупно,1691.0
2013,Број,CAJNICE,Оба пола,Укупно,4289.0
2013,Број,CAJNICE,M,Укупно,2164.0
2013,Број,CAJNICE,Ж,Укупно,2125.0
2013,Број,CELINAC,Оба пола,Укупно,13636.0
2013,Број,CELINAC,M,Укупно,6711.0
2013,Број,CELINAC,Ж,Укупно,6925.0
2013,Број,SAMAC,Оба пола,Укупно,15072.0
2013,Број,SAMAC,M,Укупно,7273.0
2013,Број,SAMAC,Ж,Укупно,7799.0
2013,Број,SEKOVICI,Оба пола,Укупно,5816.0
2013,Број,SEKOVICI,M,Укупно,2868.0
2013,Број,SEKOVICI,Ж,Укупно,2948.0
2013,Број,SIPOVO,Оба пола,Укупно,9092.0
2013,Број,SIPOVO,M,Укупно,4575.0
2013,Број,SIPOVO,Ж,Укупно,4517.0
2013,Број,REPUBLIKA SRPSKA,Оба пола,illiterate,34928.0
2013,Број,REPUBLIKA SRPSKA,M,illiterate,4987.0
2013,Број,REPUBLIKA SRPSKA,Ж,illiterate,29941.0
2013,Број,BANJA LUKA,Оба пола,illiterate,3503.0
2013,Број,BANJA LUKA,M,illiterate,509.0
2013,Број,BANJA LUKA,Ж,illiterate,2994.0
2013,Број,BERKOVICI,Оба пола,illiterate,47.0
2013,Број,BERKOVICI,M,illiterate,1.0
2013,Број,BERKOVICI,Ж,illiterate,46.0
2013,Број,BIJELJINA,Оба пола,illiterate,2541.0
2013,Број,BIJELJINA,M,illiterate,413.0
2013,Број,BIJELJINA,Ж,illiterate,2128.0
2013,Број,BILECA,Оба пола,illiterate,144.0
2013,Број,BILECA,M,illiterate,31.0
2013,Број,BILECA,Ж,illiterate,113.0
2013,Број,BRATUNAC,Оба пола,illiterate,865.0
2013,Број,BRATUNAC,M,illiterate,82.0
2013,Број,BRATUNAC,Ж,illiterate,783.0
2013,Број,BROD,Оба пола,illiterate,330.0
2013,Број,BROD,M,illiterate,53.0
2013,Број,BROD,Ж,illiterate,277.0
2013,Број,VISEGRAD,Оба пола,illiterate,358.0
2013,Број,VISEGRAD,M,illiterate,35.0
2013,Број,VISEGRAD,Ж,illiterate,323.0
2013,Број,VLASENICA,Оба пола,illiterate,350.0
2013,Број,VLASENICA,M,illiterate,49.0
2013,Број,VLASENICA,Ж,illiterate,301.0
2013,Број,VUKOSAVLJE,Оба пола,illiterate,196.0
2013,Број,VUKOSAVLJE,M,illiterate,31.0
2013,Број,VUKOSAVLJE,Ж,illiterate,165.0
2013,Број,GACKO,Оба пола,illiterate,110.0
2013,Број,GACKO,M,illiterate,10.0
2013,Број,GACKO,Ж,illiterate,100.0
2013,Број,GRADISKA,Оба пола,illiterate,1526.0
2013,Број,GRADISKA,M,illiterate,204.0
2013,Број,GRADISKA,Ж,illiterate,1322.0
2013,Број,DERVENTA,Оба пола,illiterate,812.0
2013,Број,DERVENTA,M,illiterate,120.0
2013,Број,DERVENTA,Ж,illiterate,692.0
2013,Број,DOBOJ,Оба пола,illiterate,1979.0
2013,Број,DOBOJ,M,illiterate,270.0
2013,Број,DOBOJ,Ж,illiterate,1709.0
2013,Број,DONJI ZABAR,Оба пола,illiterate,128.0
2013,Број,DONJI ZABAR,M,illiterate,26.0
2013,Број,DONJI ZABAR,Ж,illiterate,102.0
2013,Број,ZVORNIK,Оба пола,illiterate,2055.0
2013,Број,ZVORNIK,M,illiterate,245.0
2013,Број,ZVORNIK,Ж,illiterate,1810.0
2013,Број,ISTOCNA ILIDZA,Оба пола,illiterate,171.0
2013,Број,ISTOCNA ILIDZA,M,illiterate,22.0
2013,Број,ISTOCNA ILIDZA,Ж,illiterate,149.0
2013,Број,ISTOCNI DRVAR,Оба пола,illiterate,2.0
2013,Број,ISTOCNI DRVAR,M,illiterate,0.0
2013,Број,ISTOCNI DRVAR,Ж,illiterate,2.0
2013,Број,ISTOCNI MOSTAR,Оба пола,illiterate,19.0
2013,Број,ISTOCNI MOSTAR,M,illiterate,1.0
2013,Број,ISTOCNI MOSTAR,Ж,illiterate,18.0
2013,Број,ISTOCNI STARI GRAD,Оба пола,illiterate,40.0
2013,Број,ISTOCNI STARI GRAD,M,illiterate,3.0
2013,Број,ISTOCNI STARI GRAD,Ж,illiterate,37.0
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,illiterate,80.0
2013,Број,ISTOCNO NOVO SARAJEVO,M,illiterate,14.0
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,illiterate,66.0
2013,Број,JEZERO,Оба пола,illiterate,43.0
2013,Број,JEZERO,M,illiterate,7.0
2013,Број,JEZERO,Ж,illiterate,36.0
2013,Број,KALINOVIK,Оба пола,illiterate,86.0
2013,Број,KALINOVIK,M,illiterate,5.0
2013,Број,KALINOVIK,Ж,illiterate,81.0
2013,Број,KNEZEVO,Оба пола,illiterate,971.0
2013,Број,KNEZEVO,M,illiterate,146.0
2013,Број,KNEZEVO,Ж,illiterate,825.0
2013,Број,KOZARSKA DUBICA,Оба пола,illiterate,590.0
2013,Број,KOZARSKA DUBICA,M,illiterate,77.0
2013,Број,KOZARSKA DUBICA,Ж,illiterate,513.0
2013,Број,KOSTAJNICA,Оба пола,illiterate,115.0
2013,Број,KOSTAJNICA,M,illiterate,14.0
2013,Број,KOSTAJNICA,Ж,illiterate,101.0
2013,Број,KOTOR VAROS,Оба пола,illiterate,1042.0
2013,Број,KOTOR VAROS,M,illiterate,148.0
2013,Број,KOTOR VAROS,Ж,illiterate,894.0
2013,Број,KRUPA NA UNI,Оба пола,illiterate,145.0
2013,Број,KRUPA NA UNI,M,illiterate,21.0
2013,Број,KRUPA NA UNI,Ж,illiterate,124.0
2013,Број,KUPRES,Оба пола,illiterate,81.0
2013,Број,KUPRES,M,illiterate,27.0
2013,Број,KUPRES,Ж,illiterate,54.0
2013,Број,LAKTASI,Оба пола,illiterate,752.0
2013,Број,LAKTASI,M,illiterate,117.0
2013,Број,LAKTASI,Ж,illiterate,635.0
2013,Број,LOPARE,Оба пола,illiterate,680.0
2013,Број,LOPARE,M,illiterate,123.0
2013,Број,LOPARE,Ж,illiterate,557.0
2013,Број,LJUBINJE,Оба пола,illiterate,49.0
2013,Број,LJUBINJE,M,illiterate,5.0
2013,Број,LJUBINJE,Ж,illiterate,44.0
2013,Број,MILICI,Оба пола,illiterate,399.0
2013,Број,MILICI,M,illiterate,51.0
2013,Број,MILICI,Ж,illiterate,348.0
2013,Број,MODRICA,Оба пола,illiterate,736.0
2013,Број,MODRICA,M,illiterate,119.0
2013,Број,MODRICA,Ж,illiterate,617.0
2013,Број,MRKONJIC GRAD,Оба пола,illiterate,821.0
2013,Број,MRKONJIC GRAD,M,illiterate,95.0
2013,Број,MRKONJIC GRAD,Ж,illiterate,726.0
2013,Број,NEVESINJE,Оба пола,illiterate,305.0
2013,Број,NEVESINJE,M,illiterate,32.0
2013,Број,NEVESINJE,Ж,illiterate,273.0
2013,Број,NOVI GRAD,Оба пола,illiterate,666.0
2013,Број,NOVI GRAD,M,illiterate,106.0
2013,Број,NOVI GRAD,Ж,illiterate,560.0
2013,Број,NOVO GORAZDE,Оба пола,illiterate,76.0
2013,Број,NOVO GORAZDE,M,illiterate,5.0
2013,Број,NOVO GORAZDE,Ж,illiterate,71.0
2013,Број,OSMACI,Оба пола,illiterate,264.0
2013,Број,OSMACI,M,illiterate,29.0
2013,Број,OSMACI,Ж,illiterate,235.0
2013,Број,OSTRA LUKA,Оба пола,illiterate,196.0
2013,Број,OSTRA LUKA,M,illiterate,32.0
2013,Број,OSTRA LUKA,Ж,illiterate,164.0
2013,Број,PALE,Оба пола,illiterate,293.0
2013,Број,PALE,M,illiterate,40.0
2013,Број,PALE,Ж,illiterate,253.0
2013,Број,PELAGICEVO,Оба пола,illiterate,179.0
2013,Број,PELAGICEVO,M,illiterate,29.0
2013,Број,PELAGICEVO,Ж,illiterate,150.0
2013,Број,PETROVAC,Оба пола,illiterate,6.0
2013,Број,PETROVAC,M,illiterate,0.0
2013,Број,PETROVAC,Ж,illiterate,6.0
2013,Број,PETROVO,Оба пола,illiterate,245.0
2013,Број,PETROVO,M,illiterate,28.0
2013,Број,PETROVO,Ж,illiterate,217.0
2013,Број,PRIJEDOR,Оба пола,illiterate,2172.0
2013,Број,PRIJEDOR,M,illiterate,422.0
