Year,UNIT_MEASURE,ADMIN_AREA,Пол,Mother tounge,Value
2013,Број,PETROVAC,M,_T,169
2013,Број,PETROVAC,Ж,_T,185
2013,Број,PETROVO,Оба пола,_T,6317
2013,Број,PETROVO,M,_T,3043
2013,Број,PETROVO,Ж,_T,3274
2013,Број,PRIJEDOR,Оба пола,_T,80916
2013,Број,PRIJEDOR,M,_T,39418
2013,Број,PRIJEDOR,Ж,_T,41498
2013,Број,PRNJAVOR,Оба пола,_T,34357
2013,Број,PRNJAVOR,M,_T,16675
2013,Број,PRNJAVOR,Ж,_T,17682
2013,Број,RIBNIK,Оба пола,_T,5851
2013,Број,RIBNIK,M,_T,2900
2013,Број,RIBNIK,Ж,_T,2951
2013,Број,ROGATICA,Оба пола,_T,10302
2013,Број,ROGATICA,M,_T,5053
2013,Број,ROGATICA,Ж,_T,5249
2013,Број,RUDO,Оба пола,_T,7578
2013,Број,RUDO,M,_T,3840
2013,Број,RUDO,Ж,_T,3738
2013,Број,SOKOLAC,Оба пола,_T,11620
2013,Број,SOKOLAC,M,_T,5723
2013,Број,SOKOLAC,Ж,_T,5897
2013,Број,SRBAC,Оба пола,_T,16933
2013,Број,SRBAC,M,_T,8295
2013,Број,SRBAC,Ж,_T,8638
2013,Број,SREBRENICA,Оба пола,_T,11698
2013,Број,SREBRENICA,M,_T,5714
2013,Број,SREBRENICA,Ж,_T,5984
2013,Број,TESLIC,Оба пола,_T,37236
2013,Број,TESLIC,M,_T,17894
2013,Број,TESLIC,Ж,_T,19342
2013,Број,TREBINJE,Оба пола,_T,28239
2013,Број,TREBINJE,M,_T,13760
2013,Број,TREBINJE,Ж,_T,14479
2013,Број,TRNOVO,Оба пола,_T,1983
2013,Број,TRNOVO,M,_T,953
2013,Број,TRNOVO,Ж,_T,1030
2013,Број,UGLJEVIK,Оба пола,_T,15118
2013,Број,UGLJEVIK,M,_T,7626
2013,Број,UGLJEVIK,Ж,_T,7492
2013,Број,FOCA,Оба пола,_T,17580
2013,Број,FOCA,M,_T,8880
2013,Број,FOCA,Ж,_T,8700
2013,Број,HAN PIJESAK,Оба пола,_T,3445
2013,Број,HAN PIJESAK,M,_T,1632
2013,Број,HAN PIJESAK,Ж,_T,1813
2013,Број,CAJNICE,Оба пола,_T,4679
2013,Број,CAJNICE,M,_T,2347
2013,Број,CAJNICE,Ж,_T,2332
2013,Број,CELINAC,Оба пола,_T,15117
2013,Број,CELINAC,M,_T,7477
2013,Број,CELINAC,Ж,_T,7640
2013,Број,SAMAC,Оба пола,_T,16308
2013,Број,SAMAC,M,_T,7908
2013,Број,SAMAC,Ж,_T,8400
2013,Број,SEKOVICI,Оба пола,_T,6323
2013,Број,SEKOVICI,M,_T,3103
2013,Број,SEKOVICI,Ж,_T,3220
2013,Број,SIPOVO,Оба пола,_T,9969
2013,Број,SIPOVO,M,_T,5046
2013,Број,SIPOVO,Ж,_T,4923
2013,Број,REPUBLIKA SRPSKA,Оба пола,bosnian,150221
2013,Број,REPUBLIKA SRPSKA,M,bosnian,73026
2013,Број,REPUBLIKA SRPSKA,Ж,bosnian,77195
2013,Број,BANJA LUKA,Оба пола,bosnian,6792
2013,Број,BANJA LUKA,M,bosnian,3152
2013,Број,BANJA LUKA,Ж,bosnian,3640
2013,Број,BERKOVICI,Оба пола,bosnian,155
2013,Број,BERKOVICI,M,bosnian,87
2013,Број,BERKOVICI,Ж,bosnian,68
2013,Број,BIJELJINA,Оба пола,bosnian,11651
2013,Број,BIJELJINA,M,bosnian,5712
2013,Број,BIJELJINA,Ж,bosnian,5939
2013,Број,BILECA,Оба пола,bosnian,21
2013,Број,BILECA,M,bosnian,14
2013,Број,BILECA,Ж,bosnian,7
2013,Број,BRATUNAC,Оба пола,bosnian,6596
2013,Број,BRATUNAC,M,bosnian,3217
2013,Број,BRATUNAC,Ж,bosnian,3379
2013,Број,BROD,Оба пола,bosnian,1397
2013,Број,BROD,M,bosnian,680
2013,Број,BROD,Ж,bosnian,717
2013,Број,VISEGRAD,Оба пола,bosnian,887
2013,Број,VISEGRAD,M,bosnian,449
2013,Број,VISEGRAD,Ж,bosnian,438
2013,Број,VLASENICA,Оба пола,bosnian,3372
2013,Број,VLASENICA,M,bosnian,1648
2013,Број,VLASENICA,Ж,bosnian,1724
2013,Број,VUKOSAVLJE,Оба пола,bosnian,2098
2013,Број,VUKOSAVLJE,M,bosnian,1062
2013,Број,VUKOSAVLJE,Ж,bosnian,1036
2013,Број,GACKO,Оба пола,bosnian,331
2013,Број,GACKO,M,bosnian,178
2013,Број,GACKO,Ж,bosnian,153
2013,Број,GRADISKA,Оба пола,bosnian,6335
2013,Број,GRADISKA,M,bosnian,3083
2013,Број,GRADISKA,Ж,bosnian,3252
2013,Број,DERVENTA,Оба пола,bosnian,1791
2013,Број,DERVENTA,M,bosnian,857
2013,Број,DERVENTA,Ж,bosnian,934
2013,Број,DOBOJ,Оба пола,bosnian,14749
2013,Број,DOBOJ,M,bosnian,7085
2013,Број,DOBOJ,Ж,bosnian,7664
2013,Број,DONJI ZABAR,Оба пола,bosnian,11
2013,Број,DONJI ZABAR,M,bosnian,3
2013,Број,DONJI ZABAR,Ж,bosnian,8
2013,Број,ZVORNIK,Оба пола,bosnian,16813
2013,Број,ZVORNIK,M,bosnian,8218
2013,Број,ZVORNIK,Ж,bosnian,8595
2013,Број,ISTOCNA ILIDZA,Оба пола,bosnian,691
2013,Број,ISTOCNA ILIDZA,M,bosnian,322
2013,Број,ISTOCNA ILIDZA,Ж,bosnian,369
2013,Број,ISTOCNI DRVAR,Оба пола,bosnian,0
2013,Број,ISTOCNI DRVAR,M,bosnian,0
2013,Број,ISTOCNI DRVAR,Ж,bosnian,0
2013,Број,ISTOCNI MOSTAR,Оба пола,bosnian,78
2013,Број,ISTOCNI MOSTAR,M,bosnian,45
2013,Број,ISTOCNI MOSTAR,Ж,bosnian,33
2013,Број,ISTOCNI STARI GRAD,Оба пола,bosnian,44
2013,Број,ISTOCNI STARI GRAD,M,bosnian,27
2013,Број,ISTOCNI STARI GRAD,Ж,bosnian,17
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,bosnian,71
2013,Број,ISTOCNO NOVO SARAJEVO,M,bosnian,29
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,bosnian,42
2013,Број,JEZERO,Оба пола,bosnian,252
2013,Број,JEZERO,M,bosnian,118
2013,Број,JEZERO,Ж,bosnian,134
2013,Број,KALINOVIK,Оба пола,bosnian,37
2013,Број,KALINOVIK,M,bosnian,15
2013,Број,KALINOVIK,Ж,bosnian,22
2013,Број,KNEZEVO,Оба пола,bosnian,404
2013,Број,KNEZEVO,M,bosnian,185
2013,Број,KNEZEVO,Ж,bosnian,219
2013,Број,KOZARSKA DUBICA,Оба пола,bosnian,1922
2013,Број,KOZARSKA DUBICA,M,bosnian,927
2013,Број,KOZARSKA DUBICA,Ж,bosnian,995
2013,Број,KOSTAJNICA,Оба пола,bosnian,1283
2013,Број,KOSTAJNICA,M,bosnian,626
2013,Број,KOSTAJNICA,Ж,bosnian,657
2013,Број,KOTOR VAROS,Оба пола,bosnian,4517
2013,Број,KOTOR VAROS,M,bosnian,2173
2013,Број,KOTOR VAROS,Ж,bosnian,2344
2013,Број,KRUPA NA UNI,Оба пола,bosnian,3
2013,Број,KRUPA NA UNI,M,bosnian,1
2013,Број,KRUPA NA UNI,Ж,bosnian,2
2013,Број,KUPRES,Оба пола,bosnian,0
2013,Број,KUPRES,M,bosnian,0
2013,Број,KUPRES,Ж,bosnian,0
2013,Број,LAKTASI,Оба пола,bosnian,112
2013,Број,LAKTASI,M,bosnian,58
2013,Број,LAKTASI,Ж,bosnian,54
2013,Број,LOPARE,Оба пола,bosnian,1315
2013,Број,LOPARE,M,bosnian,648
2013,Број,LOPARE,Ж,bosnian,667
2013,Број,LJUBINJE,Оба пола,bosnian,10
2013,Број,LJUBINJE,M,bosnian,5
2013,Број,LJUBINJE,Ж,bosnian,5
2013,Број,MILICI,Оба пола,bosnian,3541
2013,Број,MILICI,M,bosnian,1751
2013,Број,MILICI,Ж,bosnian,1790
2013,Број,MODRICA,Оба пола,bosnian,3008
2013,Број,MODRICA,M,bosnian,1426
2013,Број,MODRICA,Ж,bosnian,1582
2013,Број,MRKONJIC GRAD,Оба пола,bosnian,358
2013,Број,MRKONJIC GRAD,M,bosnian,172
2013,Број,MRKONJIC GRAD,Ж,bosnian,186
2013,Број,NEVESINJE,Оба пола,bosnian,507
2013,Број,NEVESINJE,M,bosnian,261
2013,Број,NEVESINJE,Ж,bosnian,246
2013,Број,NOVI GRAD,Оба пола,bosnian,5260
2013,Број,NOVI GRAD,M,bosnian,2630
2013,Број,NOVI GRAD,Ж,bosnian,2630
2013,Број,NOVO GORAZDE,Оба пола,bosnian,1338
2013,Број,NOVO GORAZDE,M,bosnian,671
2013,Број,NOVO GORAZDE,Ж,bosnian,667
2013,Број,OSMACI,Оба пола,bosnian,2680
2013,Број,OSMACI,M,bosnian,1323
2013,Број,OSMACI,Ж,bosnian,1357
2013,Број,OSTRA LUKA,Оба пола,bosnian,39
2013,Број,OSTRA LUKA,M,bosnian,16
