Year,UNIT_MEASURE,Teritory,Пол,Старосна доб,Value
2013,Број,NOVI GRAD,Ж,0-4,459
2013,Број,NOVO GORAZDE,Оба пола,0-4,95
2013,Број,NOVO GORAZDE,M,0-4,50
2013,Број,NOVO GORAZDE,Ж,0-4,45
2013,Број,OSMACI,Оба пола,0-4,261
2013,Број,OSMACI,M,0-4,139
2013,Број,OSMACI,Ж,0-4,122
2013,Број,OSTRA LUKA,Оба пола,0-4,100
2013,Број,OSTRA LUKA,M,0-4,53
2013,Број,OSTRA LUKA,Ж,0-4,47
2013,Број,PELAGICEVO,Оба пола,0-4,116
2013,Број,PELAGICEVO,M,0-4,57
2013,Број,PELAGICEVO,Ж,0-4,59
2013,Број,PETROVAC,Оба пола,0-4,17
2013,Број,PETROVAC,M,0-4,10
2013,Број,PETROVAC,Ж,0-4,7
2013,Број,PETROVO,Оба пола,0-4,258
2013,Број,PETROVO,M,0-4,143
2013,Број,PETROVO,Ж,0-4,115
2013,Број,GRAD PRIJEDOR,Оба пола,0-4,3194
2013,Број,GRAD PRIJEDOR,M,0-4,1659
2013,Број,GRAD PRIJEDOR,Ж,0-4,1535
2013,Број,PRNJAVOR,Оба пола,0-4,1564
2013,Број,PRNJAVOR,M,0-4,809
2013,Број,PRNJAVOR,Ж,0-4,755
2013,Број,RIBNIK,Оба пола,0-4,232
2013,Број,RIBNIK,M,0-4,114
2013,Број,RIBNIK,Ж,0-4,118
2013,Број,ROGATICA,Оба пола,0-4,501
2013,Број,ROGATICA,M,0-4,252
2013,Број,ROGATICA,Ж,0-4,249
2013,Број,RUDO,Оба пола,0-4,281
2013,Број,RUDO,M,0-4,146
2013,Број,RUDO,Ж,0-4,135
2013,Број,SRBAC,Оба пола,0-4,802
2013,Број,SRBAC,M,0-4,389
2013,Број,SRBAC,Ж,0-4,413
2013,Број,SREBRENICA,Оба пола,0-4,474
2013,Број,SREBRENICA,M,0-4,235
2013,Број,SREBRENICA,Ж,0-4,239
2013,Број,STANARI,Оба пола,0-4,294
2013,Број,STANARI,M,0-4,150
2013,Број,STANARI,Ж,0-4,144
2013,Број,TESLIC,Оба пола,0-4,1953
2013,Број,TESLIC,M,0-4,1039
2013,Број,TESLIC,Ж,0-4,914
2013,Број,GRAD TREBINJE,Оба пола,0-4,1394
2013,Број,GRAD TREBINJE,M,0-4,749
2013,Број,GRAD TREBINJE,Ж,0-4,645
2013,Број,UGLJEVIK,Оба пола,0-4,664
2013,Број,UGLJEVIK,M,0-4,361
2013,Број,UGLJEVIK,Ж,0-4,303
2013,Број,FOCA,Оба пола,0-4,625
2013,Број,FOCA,M,0-4,355
2013,Број,FOCA,Ж,0-4,270
2013,Број,HAN PIJESAK,Оба пола,0-4,135
2013,Број,HAN PIJESAK,M,0-4,69
2013,Број,HAN PIJESAK,Ж,0-4,66
2013,Број,CAJNICE,Оба пола,0-4,184
2013,Број,CAJNICE,M,0-4,86
2013,Број,CAJNICE,Ж,0-4,98
2013,Број,CELINAC,Оба пола,0-4,753
2013,Број,CELINAC,M,0-4,389
2013,Број,CELINAC,Ж,0-4,364
2013,Број,SAMAC,Оба пола,0-4,557
2013,Број,SAMAC,M,0-4,282
2013,Број,SAMAC,Ж,0-4,275
2013,Број,SEKOVICI,Оба пола,0-4,246
2013,Број,SEKOVICI,M,0-4,124
2013,Број,SEKOVICI,Ж,0-4,122
2013,Број,SIPOVO,Оба пола,0-4,432
2013,Број,SIPOVO,M,0-4,234
2013,Број,SIPOVO,Ж,0-4,198
2013,Број,REPUBLIKA SRPSKA,Оба пола,5-9,54042
2013,Број,REPUBLIKA SRPSKA,M,5-9,27681
2013,Број,REPUBLIKA SRPSKA,Ж,5-9,26361
2013,Број,GRAD BANJA LUKA,Оба пола,5-9,8447
2013,Број,GRAD BANJA LUKA,M,5-9,4315
2013,Број,GRAD BANJA LUKA,Ж,5-9,4132
2013,Број,BERKOVICI,Оба пола,5-9,129
2013,Број,BERKOVICI,M,5-9,69
2013,Број,BERKOVICI,Ж,5-9,60
2013,Број,GRAD BIJELJINA,Оба пола,5-9,4964
2013,Број,GRAD BIJELJINA,M,5-9,2576
2013,Број,GRAD BIJELJINA,Ж,5-9,2388
2013,Број,BILECA,Оба пола,5-9,471
2013,Број,BILECA,M,5-9,259
2013,Број,BILECA,Ж,5-9,212
2013,Број,BRATUNAC,Оба пола,5-9,985
2013,Број,BRATUNAC,M,5-9,496
2013,Број,BRATUNAC,Ж,5-9,489
2013,Број,BROD,Оба пола,5-9,708
2013,Број,BROD,M,5-9,377
2013,Број,BROD,Ж,5-9,331
2013,Број,VISEGRAD,Оба пола,5-9,404
2013,Број,VISEGRAD,M,5-9,197
2013,Број,VISEGRAD,Ж,5-9,207
2013,Број,VLASENICA,Оба пола,5-9,523
2013,Број,VLASENICA,M,5-9,267
2013,Број,VLASENICA,Ж,5-9,256
2013,Број,VUKOSAVLJE,Оба пола,5-9,217
2013,Број,VUKOSAVLJE,M,5-9,113
2013,Број,VUKOSAVLJE,Ж,5-9,104
2013,Број,GACKO,Оба пола,5-9,436
2013,Број,GACKO,M,5-9,236
2013,Број,GACKO,Ж,5-9,200
2013,Број,GRAD GRADISKA,Оба пола,5-9,2159
2013,Број,GRAD GRADISKA,M,5-9,1102
2013,Број,GRAD GRADISKA,Ж,5-9,1057
2013,Број,GRAD DERVENTA,Оба пола,5-9,1168
2013,Број,GRAD DERVENTA,M,5-9,607
2013,Број,GRAD DERVENTA,Ж,5-9,561
2013,Број,GRAD DOBOJ,Оба пола,5-9,2914
2013,Број,GRAD DOBOJ,M,5-9,1452
2013,Број,GRAD DOBOJ,Ж,5-9,1462
2013,Број,DONJI ZABAR,Оба пола,5-9,174
2013,Број,DONJI ZABAR,M,5-9,99
2013,Број,DONJI ZABAR,Ж,5-9,75
2013,Број,GRAD ZVORNIK,Оба пола,5-9,2948
2013,Број,GRAD ZVORNIK,M,5-9,1518
2013,Број,GRAD ZVORNIK,Ж,5-9,1430
2013,Број,ISTOCNI DRVAR,Оба пола,5-9,1
2013,Број,ISTOCNI DRVAR,M,5-9,1
2013,Број,ISTOCNI DRVAR,Ж,5-9,-
2013,Број,ISTOCNI MOSTAR,Оба пола,5-9,11
2013,Број,ISTOCNI MOSTAR,M,5-9,6
2013,Број,ISTOCNI MOSTAR,Ж,5-9,5
2013,Број,GRAD ISTOCNO SARAJEVO,Оба пола,5-9,2643
2013,Број,GRAD ISTOCNO SARAJEVO,M,5-9,1330
2013,Број,GRAD ISTOCNO SARAJEVO,Ж,5-9,1313
2013,Број,ISTOCNA ILIDZA,Оба пола,5-9,658
2013,Број,ISTOCNA ILIDZA,M,5-9,321
2013,Број,ISTOCNA ILIDZA,Ж,5-9,337
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,5-9,479
2013,Број,ISTOCNO NOVO SARAJEVO,M,5-9,239
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,5-9,240
2013,Број,ISTOČNI STARI GRAD,Оба пола,5-9,39
2013,Број,ISTOČNI STARI GRAD,M,5-9,22
2013,Број,ISTOČNI STARI GRAD,Ж,5-9,17
2013,Број,PALE,Оба пола,5-9,870
2013,Број,PALE,M,5-9,442
2013,Број,PALE,Ж,5-9,428
2013,Број,SOKOLAC,Оба пола,5-9,533
2013,Број,SOKOLAC,M,5-9,269
2013,Број,SOKOLAC,Ж,5-9,264
2013,Број,TRNOVO,Оба пола,5-9,64
2013,Број,TRNOVO,M,5-9,37
2013,Број,TRNOVO,Ж,5-9,27
2013,Број,JEZERO,Оба пола,5-9,52
2013,Број,JEZERO,M,5-9,24
2013,Број,JEZERO,Ж,5-9,28
2013,Број,KALINOVIK,Оба пола,5-9,67
2013,Број,KALINOVIK,M,5-9,29
2013,Број,KALINOVIK,Ж,5-9,38
2013,Број,KNEZEVO,Оба пола,5-9,399
2013,Број,KNEZEVO,M,5-9,206
2013,Број,KNEZEVO,Ж,5-9,193
2013,Број,KOSTAJNICA,Оба пола,5-9,225
2013,Број,KOSTAJNICA,M,5-9,122
2013,Број,KOSTAJNICA,Ж,5-9,103
2013,Број,KOTOR VAROS,Оба пола,5-9,958
2013,Број,KOTOR VAROS,M,5-9,489
2013,Број,KOTOR VAROS,Ж,5-9,469
2013,Број,KOZARSKA DUBICA,Оба пола,5-9,816
2013,Број,KOZARSKA DUBICA,M,5-9,409
2013,Број,KOZARSKA DUBICA,Ж,5-9,407
2013,Број,KRUPA NA UNI,Оба пола,5-9,56
2013,Број,KRUPA NA UNI,M,5-9,29
2013,Број,KRUPA NA UNI,Ж,5-9,27
2013,Број,KUPRES,Оба пола,5-9,8
2013,Број,KUPRES,M,5-9,5
2013,Број,KUPRES,Ж,5-9,3
2013,Број,LAKTASI,Оба пола,5-9,1847
2013,Број,LAKTASI,M,5-9,937
2013,Број,LAKTASI,Ж,5-9,910
2013,Број,LOPARE,Оба пола,5-9,590
2013,Број,LOPARE,M,5-9,298
2013,Број,LOPARE,Ж,5-9,292
2013,Број,LJUBINJE,Оба пола,5-9,127
2013,Број,LJUBINJE,M,5-9,62
2013,Број,LJUBINJE,Ж,5-9,65
2013,Број,MILICI,Оба пола,5-9,498
2013,Број,MILICI,M,5-9,257
2013,Број,MILICI,Ж,5-9,241
2013,Број,MODRICA,Оба пола,5-9,1130
2013,Број,MODRICA,M,5-9,570
2013,Број,MODRICA,Ж,5-9,560
2013,Број,MRKONJIC GRAD,Оба пола,5-9,734
2013,Број,MRKONJIC GRAD,M,5-9,383
2013,Број,MRKONJIC GRAD,Ж,5-9,351
2013,Број,NEVESINJE,Оба пола,5-9,640
2013,Број,NEVESINJE,M,5-9,320
2013,Број,NEVESINJE,Ж,5-9,320
2013,Број,NOVI GRAD,Оба пола,5-9,1001
2013,Број,NOVI GRAD,M,5-9,523
2013,Број,NOVI GRAD,Ж,5-9,478
2013,Број,NOVO GORAZDE,Оба пола,5-9,94
2013,Број,NOVO GORAZDE,M,5-9,40
2013,Број,NOVO GORAZDE,Ж,5-9,54
2013,Број,OSMACI,Оба пола,5-9,261
2013,Број,OSMACI,M,5-9,136
2013,Број,OSMACI,Ж,5-9,125
2013,Број,OSTRA LUKA,Оба пола,5-9,137
2013,Број,OSTRA LUKA,M,5-9,75
2013,Број,OSTRA LUKA,Ж,5-9,62
2013,Број,PELAGICEVO,Оба пола,5-9,157
2013,Број,PELAGICEVO,M,5-9,82
2013,Број,PELAGICEVO,Ж,5-9,75
2013,Број,PETROVAC,Оба пола,5-9,18
2013,Број,PETROVAC,M,5-9,9
2013,Број,PETROVAC,Ж,5-9,9
2013,Број,PETROVO,Оба пола,5-9,226
2013,Број,PETROVO,M,5-9,110
2013,Број,PETROVO,Ж,5-9,116
2013,Број,GRAD PRIJEDOR,Оба пола,5-9,3337
2013,Број,GRAD PRIJEDOR,M,5-9,1733
2013,Број,GRAD PRIJEDOR,Ж,5-9,1604
2013,Број,PRNJAVOR,Оба пола,5-9,1591
2013,Број,PRNJAVOR,M,5-9,805
2013,Број,PRNJAVOR,Ж,5-9,786
2013,Број,RIBNIK,Оба пола,5-9,255
2013,Број,RIBNIK,M,5-9,136
2013,Број,RIBNIK,Ж,5-9,119
2013,Број,ROGATICA,Оба пола,5-9,464
2013,Број,ROGATICA,M,5-9,245
2013,Број,ROGATICA,Ж,5-9,219
2013,Број,RUDO,Оба пола,5-9,311
2013,Број,RUDO,M,5-9,164
2013,Број,RUDO,Ж,5-9,147
2013,Број,SRBAC,Оба пола,5-9,736
2013,Број,SRBAC,M,5-9,373
2013,Број,SRBAC,Ж,5-9,363
2013,Број,SREBRENICA,Оба пола,5-9,489
2013,Број,SREBRENICA,M,5-9,238
2013,Број,SREBRENICA,Ж,5-9,251
2013,Број,STANARI,Оба пола,5-9,293
2013,Број,STANARI,M,5-9,156
2013,Број,STANARI,Ж,5-9,137
2013,Број,TESLIC,Оба пола,5-9,1914
2013,Број,TESLIC,M,5-9,1000
2013,Број,TESLIC,Ж,5-9,914
2013,Број,GRAD TREBINJE,Оба пола,5-9,1399
2013,Број,GRAD TREBINJE,M,5-9,709
2013,Број,GRAD TREBINJE,Ж,5-9,690
2013,Број,UGLJEVIK,Оба пола,5-9,734
2013,Број,UGLJEVIK,M,5-9,369
2013,Број,UGLJEVIK,Ж,5-9,365
2013,Број,FOCA,Оба пола,5-9,716
2013,Број,FOCA,M,5-9,374
2013,Број,FOCA,Ж,5-9,342
2013,Број,HAN PIJESAK,Оба пола,5-9,122
2013,Број,HAN PIJESAK,M,5-9,65
2013,Број,HAN PIJESAK,Ж,5-9,57
2013,Број,CAJNICE,Оба пола,5-9,205
2013,Број,CAJNICE,M,5-9,95
2013,Број,CAJNICE,Ж,5-9,110
2013,Број,CELINAC,Оба пола,5-9,733
2013,Број,CELINAC,M,5-9,376
2013,Број,CELINAC,Ж,5-9,357
2013,Број,SAMAC,Оба пола,5-9,663
2013,Број,SAMAC,M,5-9,344
2013,Број,SAMAC,Ж,5-9,319
2013,Број,SEKOVICI,Оба пола,5-9,273
2013,Број,SEKOVICI,M,5-9,119
2013,Број,SEKOVICI,Ж,5-9,154
