Year,UNIT_MEASURE,Teritory,Пол,Старосна доб,Value
2013,Број,SREBRENICA,Ж,10-14,237
2013,Број,STANARI,Оба пола,10-14,323
2013,Број,STANARI,M,10-14,172
2013,Број,STANARI,Ж,10-14,151
2013,Број,TESLIC,Оба пола,10-14,2082
2013,Број,TESLIC,M,10-14,1053
2013,Број,TESLIC,Ж,10-14,1029
2013,Број,GRAD TREBINJE,Оба пола,10-14,1481
2013,Број,GRAD TREBINJE,M,10-14,768
2013,Број,GRAD TREBINJE,Ж,10-14,713
2013,Број,UGLJEVIK,Оба пола,10-14,753
2013,Број,UGLJEVIK,M,10-14,382
2013,Број,UGLJEVIK,Ж,10-14,371
2013,Број,FOCA,Оба пола,10-14,783
2013,Број,FOCA,M,10-14,390
2013,Број,FOCA,Ж,10-14,393
2013,Број,HAN PIJESAK,Оба пола,10-14,134
2013,Број,HAN PIJESAK,M,10-14,70
2013,Број,HAN PIJESAK,Ж,10-14,64
2013,Број,CAJNICE,Оба пола,10-14,232
2013,Број,CAJNICE,M,10-14,131
2013,Број,CAJNICE,Ж,10-14,101
2013,Број,CELINAC,Оба пола,10-14,812
2013,Број,CELINAC,M,10-14,434
2013,Број,CELINAC,Ж,10-14,378
2013,Број,SAMAC,Оба пола,10-14,771
2013,Број,SAMAC,M,10-14,403
2013,Број,SAMAC,Ж,10-14,368
2013,Број,SEKOVICI,Оба пола,10-14,292
2013,Број,SEKOVICI,M,10-14,157
2013,Број,SEKOVICI,Ж,10-14,135
2013,Број,SIPOVO,Оба пола,10-14,545
2013,Број,SIPOVO,M,10-14,270
2013,Број,SIPOVO,Ж,10-14,275
2013,Број,REPUBLIKA SRPSKA,Оба пола,15-19,69969
2013,Број,REPUBLIKA SRPSKA,M,15-19,36081
2013,Број,REPUBLIKA SRPSKA,Ж,15-19,33888
2013,Број,GRAD BANJA LUKA,Оба пола,15-19,10268
2013,Број,GRAD BANJA LUKA,M,15-19,5211
2013,Број,GRAD BANJA LUKA,Ж,15-19,5057
2013,Број,BERKOVICI,Оба пола,15-19,84
2013,Број,BERKOVICI,M,15-19,46
2013,Број,BERKOVICI,Ж,15-19,38
2013,Број,GRAD BIJELJINA,Оба пола,15-19,6029
2013,Број,GRAD BIJELJINA,M,15-19,3141
2013,Број,GRAD BIJELJINA,Ж,15-19,2888
2013,Број,BILECA,Оба пола,15-19,747
2013,Број,BILECA,M,15-19,423
2013,Број,BILECA,Ж,15-19,324
2013,Број,BRATUNAC,Оба пола,15-19,1135
2013,Број,BRATUNAC,M,15-19,597
2013,Број,BRATUNAC,Ж,15-19,538
2013,Број,BROD,Оба пола,15-19,924
2013,Број,BROD,M,15-19,484
2013,Број,BROD,Ж,15-19,440
2013,Број,VISEGRAD,Оба пола,15-19,526
2013,Број,VISEGRAD,M,15-19,262
2013,Број,VISEGRAD,Ж,15-19,264
2013,Број,VLASENICA,Оба пола,15-19,709
2013,Број,VLASENICA,M,15-19,352
2013,Број,VLASENICA,Ж,15-19,357
2013,Број,VUKOSAVLJE,Оба пола,15-19,270
2013,Број,VUKOSAVLJE,M,15-19,147
2013,Број,VUKOSAVLJE,Ж,15-19,123
2013,Број,GACKO,Оба пола,15-19,601
2013,Број,GACKO,M,15-19,303
2013,Број,GACKO,Ж,15-19,298
2013,Број,GRAD GRADISKA,Оба пола,15-19,3034
2013,Број,GRAD GRADISKA,M,15-19,1555
2013,Број,GRAD GRADISKA,Ж,15-19,1479
2013,Број,GRAD DERVENTA,Оба пола,15-19,1570
2013,Број,GRAD DERVENTA,M,15-19,829
2013,Број,GRAD DERVENTA,Ж,15-19,741
2013,Број,GRAD DOBOJ,Оба пола,15-19,3582
2013,Број,GRAD DOBOJ,M,15-19,1825
2013,Број,GRAD DOBOJ,Ж,15-19,1757
2013,Број,DONJI ZABAR,Оба пола,15-19,229
2013,Број,DONJI ZABAR,M,15-19,116
2013,Број,DONJI ZABAR,Ж,15-19,113
2013,Број,GRAD ZVORNIK,Оба пола,15-19,3271
2013,Број,GRAD ZVORNIK,M,15-19,1730
2013,Број,GRAD ZVORNIK,Ж,15-19,1541
2013,Број,ISTOCNI DRVAR,Оба пола,15-19,1
2013,Број,ISTOCNI DRVAR,M,15-19,-
2013,Број,ISTOCNI DRVAR,Ж,15-19,1
2013,Број,ISTOCNI MOSTAR,Оба пола,15-19,11
2013,Број,ISTOCNI MOSTAR,M,15-19,8
2013,Број,ISTOCNI MOSTAR,Ж,15-19,3
2013,Број,GRAD ISTOCNO SARAJEVO,Оба пола,15-19,3429
2013,Број,GRAD ISTOCNO SARAJEVO,M,15-19,1722
2013,Број,GRAD ISTOCNO SARAJEVO,Ж,15-19,1707
2013,Број,ISTOCNA ILIDZA,Оба пола,15-19,789
2013,Број,ISTOCNA ILIDZA,M,15-19,403
2013,Број,ISTOCNA ILIDZA,Ж,15-19,386
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,15-19,599
2013,Број,ISTOCNO NOVO SARAJEVO,M,15-19,309
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,15-19,290
2013,Број,ISTOČNI STARI GRAD,Оба пола,15-19,47
2013,Број,ISTOČNI STARI GRAD,M,15-19,21
2013,Број,ISTOČNI STARI GRAD,Ж,15-19,26
2013,Број,PALE,Оба пола,15-19,1263
2013,Број,PALE,M,15-19,624
2013,Број,PALE,Ж,15-19,639
2013,Број,SOKOLAC,Оба пола,15-19,639
2013,Број,SOKOLAC,M,15-19,327
2013,Број,SOKOLAC,Ж,15-19,312
2013,Број,TRNOVO,Оба пола,15-19,92
2013,Број,TRNOVO,M,15-19,38
2013,Број,TRNOVO,Ж,15-19,54
2013,Број,JEZERO,Оба пола,15-19,73
2013,Број,JEZERO,M,15-19,34
2013,Број,JEZERO,Ж,15-19,39
2013,Број,KALINOVIK,Оба пола,15-19,85
2013,Број,KALINOVIK,M,15-19,37
2013,Број,KALINOVIK,Ж,15-19,48
2013,Број,KNEZEVO,Оба пола,15-19,599
2013,Број,KNEZEVO,M,15-19,299
2013,Број,KNEZEVO,Ж,15-19,300
2013,Број,KOSTAJNICA,Оба пола,15-19,339
2013,Број,KOSTAJNICA,M,15-19,178
2013,Број,KOSTAJNICA,Ж,15-19,161
2013,Број,KOTOR VAROS,Оба пола,15-19,1362
2013,Број,KOTOR VAROS,M,15-19,711
2013,Број,KOTOR VAROS,Ж,15-19,651
2013,Број,KOZARSKA DUBICA,Оба пола,15-19,1145
2013,Број,KOZARSKA DUBICA,M,15-19,591
2013,Број,KOZARSKA DUBICA,Ж,15-19,554
2013,Број,KRUPA NA UNI,Оба пола,15-19,95
2013,Број,KRUPA NA UNI,M,15-19,51
2013,Број,KRUPA NA UNI,Ж,15-19,44
2013,Број,KUPRES,Оба пола,15-19,11
2013,Број,KUPRES,M,15-19,8
2013,Број,KUPRES,Ж,15-19,3
2013,Број,LAKTASI,Оба пола,15-19,2123
2013,Број,LAKTASI,M,15-19,1115
2013,Број,LAKTASI,Ж,15-19,1008
2013,Број,LOPARE,Оба пола,15-19,886
2013,Број,LOPARE,M,15-19,437
2013,Број,LOPARE,Ж,15-19,449
2013,Број,LJUBINJE,Оба пола,15-19,195
2013,Број,LJUBINJE,M,15-19,101
2013,Број,LJUBINJE,Ж,15-19,94
2013,Број,MILICI,Оба пола,15-19,709
2013,Број,MILICI,M,15-19,371
2013,Број,MILICI,Ж,15-19,338
2013,Број,MODRICA,Оба пола,15-19,1490
2013,Број,MODRICA,M,15-19,750
2013,Број,MODRICA,Ж,15-19,740
2013,Број,MRKONJIC GRAD,Оба пола,15-19,930
2013,Број,MRKONJIC GRAD,M,15-19,519
2013,Број,MRKONJIC GRAD,Ж,15-19,411
2013,Број,NEVESINJE,Оба пола,15-19,750
2013,Број,NEVESINJE,M,15-19,376
2013,Број,NEVESINJE,Ж,15-19,374
2013,Број,NOVI GRAD,Оба пола,15-19,1527
2013,Број,NOVI GRAD,M,15-19,785
2013,Број,NOVI GRAD,Ж,15-19,742
2013,Број,NOVO GORAZDE,Оба пола,15-19,135
2013,Број,NOVO GORAZDE,M,15-19,66
2013,Број,NOVO GORAZDE,Ж,15-19,69
2013,Број,OSMACI,Оба пола,15-19,394
2013,Број,OSMACI,M,15-19,200
2013,Број,OSMACI,Ж,15-19,194
2013,Број,OSTRA LUKA,Оба пола,15-19,206
2013,Број,OSTRA LUKA,M,15-19,107
2013,Број,OSTRA LUKA,Ж,15-19,99
2013,Број,PELAGICEVO,Оба пола,15-19,221
2013,Број,PELAGICEVO,M,15-19,117
2013,Број,PELAGICEVO,Ж,15-19,104
2013,Број,PETROVAC,Оба пола,15-19,9
2013,Број,PETROVAC,M,15-19,6
2013,Број,PETROVAC,Ж,15-19,3
2013,Број,PETROVO,Оба пола,15-19,327
2013,Број,PETROVO,M,15-19,178
2013,Број,PETROVO,Ж,15-19,149
2013,Број,GRAD PRIJEDOR,Оба пола,15-19,4904
2013,Број,GRAD PRIJEDOR,M,15-19,2485
2013,Број,GRAD PRIJEDOR,Ж,15-19,2419
2013,Број,PRNJAVOR,Оба пола,15-19,2204
2013,Број,PRNJAVOR,M,15-19,1187
2013,Број,PRNJAVOR,Ж,15-19,1017
2013,Број,RIBNIK,Оба пола,15-19,327
2013,Број,RIBNIK,M,15-19,162
2013,Број,RIBNIK,Ж,15-19,165
2013,Број,ROGATICA,Оба пола,15-19,574
2013,Број,ROGATICA,M,15-19,305
2013,Број,ROGATICA,Ж,15-19,269
2013,Број,RUDO,Оба пола,15-19,368
2013,Број,RUDO,M,15-19,190
2013,Број,RUDO,Ж,15-19,178
2013,Број,SRBAC,Оба пола,15-19,997
2013,Број,SRBAC,M,15-19,511
2013,Број,SRBAC,Ж,15-19,486
2013,Број,SREBRENICA,Оба пола,15-19,739
2013,Број,SREBRENICA,M,15-19,397
2013,Број,SREBRENICA,Ж,15-19,342
2013,Број,STANARI,Оба пола,15-19,376
2013,Број,STANARI,M,15-19,177
2013,Број,STANARI,Ж,15-19,199
2013,Број,TESLIC,Оба пола,15-19,2482
2013,Број,TESLIC,M,15-19,1271
2013,Број,TESLIC,Ж,15-19,1211
2013,Број,GRAD TREBINJE,Оба пола,15-19,1547
2013,Број,GRAD TREBINJE,M,15-19,818
2013,Број,GRAD TREBINJE,Ж,15-19,729
2013,Број,UGLJEVIK,Оба пола,15-19,903
2013,Број,UGLJEVIK,M,15-19,468
2013,Број,UGLJEVIK,Ж,15-19,435
2013,Број,FOCA,Оба пола,15-19,1045
2013,Број,FOCA,M,15-19,558
2013,Број,FOCA,Ж,15-19,487
2013,Број,HAN PIJESAK,Оба пола,15-19,205
2013,Број,HAN PIJESAK,M,15-19,86
2013,Број,HAN PIJESAK,Ж,15-19,119
2013,Број,CAJNICE,Оба пола,15-19,280
2013,Број,CAJNICE,M,15-19,158
2013,Број,CAJNICE,Ж,15-19,122
2013,Број,CELINAC,Оба пола,15-19,1066
2013,Број,CELINAC,M,15-19,541
2013,Број,CELINAC,Ж,15-19,525
2013,Број,SAMAC,Оба пола,15-19,996
2013,Број,SAMAC,M,15-19,489
2013,Број,SAMAC,Ж,15-19,507
2013,Број,SEKOVICI,Оба пола,15-19,373
2013,Број,SEKOVICI,M,15-19,183
2013,Број,SEKOVICI,Ж,15-19,190
2013,Број,SIPOVO,Оба пола,15-19,552
2013,Број,SIPOVO,M,15-19,307
2013,Број,SIPOVO,Ж,15-19,245
2013,Број,REPUBLIKA SRPSKA,Оба пола,20-24,66641
2013,Број,REPUBLIKA SRPSKA,M,20-24,34593
2013,Број,REPUBLIKA SRPSKA,Ж,20-24,32048
2013,Број,GRAD BANJA LUKA,Оба пола,20-24,10309
2013,Број,GRAD BANJA LUKA,M,20-24,5114
2013,Број,GRAD BANJA LUKA,Ж,20-24,5195
2013,Број,BERKOVICI,Оба пола,20-24,86
2013,Број,BERKOVICI,M,20-24,43
2013,Број,BERKOVICI,Ж,20-24,43
2013,Број,GRAD BIJELJINA,Оба пола,20-24,5932
2013,Број,GRAD BIJELJINA,M,20-24,3044
2013,Број,GRAD BIJELJINA,Ж,20-24,2888
2013,Број,BILECA,Оба пола,20-24,609
2013,Број,BILECA,M,20-24,313
2013,Број,BILECA,Ж,20-24,296
2013,Број,BRATUNAC,Оба пола,20-24,1175
2013,Број,BRATUNAC,M,20-24,633
2013,Број,BRATUNAC,Ж,20-24,542
2013,Број,BROD,Оба пола,20-24,846
2013,Број,BROD,M,20-24,433
2013,Број,BROD,Ж,20-24,413
2013,Број,VISEGRAD,Оба пола,20-24,504
2013,Број,VISEGRAD,M,20-24,282
2013,Број,VISEGRAD,Ж,20-24,222
2013,Број,VLASENICA,Оба пола,20-24,621
2013,Број,VLASENICA,M,20-24,307
2013,Број,VLASENICA,Ж,20-24,314
2013,Број,VUKOSAVLJE,Оба пола,20-24,260
2013,Број,VUKOSAVLJE,M,20-24,142
2013,Број,VUKOSAVLJE,Ж,20-24,118
2013,Број,GACKO,Оба пола,20-24,440
2013,Број,GACKO,M,20-24,238
2013,Број,GACKO,Ж,20-24,202
2013,Број,GRAD GRADISKA,Оба пола,20-24,2685
2013,Број,GRAD GRADISKA,M,20-24,1415
2013,Број,GRAD GRADISKA,Ж,20-24,1270
2013,Број,GRAD DERVENTA,Оба пола,20-24,1390
2013,Број,GRAD DERVENTA,M,20-24,737
2013,Број,GRAD DERVENTA,Ж,20-24,653
2013,Број,GRAD DOBOJ,Оба пола,20-24,3285
2013,Број,GRAD DOBOJ,M,20-24,1719
2013,Број,GRAD DOBOJ,Ж,20-24,1566
2013,Број,DONJI ZABAR,Оба пола,20-24,218
2013,Број,DONJI ZABAR,M,20-24,117
2013,Број,DONJI ZABAR,Ж,20-24,101
2013,Број,GRAD ZVORNIK,Оба пола,20-24,3408
2013,Број,GRAD ZVORNIK,M,20-24,1840
2013,Број,GRAD ZVORNIK,Ж,20-24,1568
2013,Број,ISTOCNI DRVAR,Оба пола,20-24,5
2013,Број,ISTOCNI DRVAR,M,20-24,3
2013,Број,ISTOCNI DRVAR,Ж,20-24,2
2013,Број,ISTOCNI MOSTAR,Оба пола,20-24,12
2013,Број,ISTOCNI MOSTAR,M,20-24,8
2013,Број,ISTOCNI MOSTAR,Ж,20-24,4
2013,Број,GRAD ISTOCNO SARAJEVO,Оба пола,20-24,3652
2013,Број,GRAD ISTOCNO SARAJEVO,M,20-24,1849
2013,Број,GRAD ISTOCNO SARAJEVO,Ж,20-24,1803
2013,Број,ISTOCNA ILIDZA,Оба пола,20-24,842
2013,Број,ISTOCNA ILIDZA,M,20-24,430
2013,Број,ISTOCNA ILIDZA,Ж,20-24,412
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,20-24,596
2013,Број,ISTOCNO NOVO SARAJEVO,M,20-24,299
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,20-24,297
2013,Број,ISTOČNI STARI GRAD,Оба пола,20-24,53
2013,Број,ISTOČNI STARI GRAD,M,20-24,31
2013,Број,ISTOČNI STARI GRAD,Ж,20-24,22
2013,Број,PALE,Оба пола,20-24,1377
2013,Број,PALE,M,20-24,678
2013,Број,PALE,Ж,20-24,699
2013,Број,SOKOLAC,Оба пола,20-24,682
2013,Број,SOKOLAC,M,20-24,351
2013,Број,SOKOLAC,Ж,20-24,331
2013,Број,TRNOVO,Оба пола,20-24,102
2013,Број,TRNOVO,M,20-24,60
2013,Број,TRNOVO,Ж,20-24,42
2013,Број,JEZERO,Оба пола,20-24,63
2013,Број,JEZERO,M,20-24,37
2013,Број,JEZERO,Ж,20-24,26
2013,Број,KALINOVIK,Оба пола,20-24,104
2013,Број,KALINOVIK,M,20-24,59
2013,Број,KALINOVIK,Ж,20-24,45
2013,Број,KNEZEVO,Оба пола,20-24,539
2013,Број,KNEZEVO,M,20-24,286
2013,Број,KNEZEVO,Ж,20-24,253
2013,Број,KOSTAJNICA,Оба пола,20-24,310
2013,Број,KOSTAJNICA,M,20-24,164
2013,Број,KOSTAJNICA,Ж,20-24,146
2013,Број,KOTOR VAROS,Оба пола,20-24,1287
2013,Број,KOTOR VAROS,M,20-24,676
2013,Број,KOTOR VAROS,Ж,20-24,611
2013,Број,KOZARSKA DUBICA,Оба пола,20-24,1098
2013,Број,KOZARSKA DUBICA,M,20-24,592
2013,Број,KOZARSKA DUBICA,Ж,20-24,506
2013,Број,KRUPA NA UNI,Оба пола,20-24,78
2013,Број,KRUPA NA UNI,M,20-24,48
2013,Број,KRUPA NA UNI,Ж,20-24,30
2013,Број,KUPRES,Оба пола,20-24,6
2013,Број,KUPRES,M,20-24,3
2013,Број,KUPRES,Ж,20-24,3
2013,Број,LAKTASI,Оба пола,20-24,2038
2013,Број,LAKTASI,M,20-24,1058
2013,Број,LAKTASI,Ж,20-24,980
2013,Број,LOPARE,Оба пола,20-24,839
2013,Број,LOPARE,M,20-24,438
2013,Број,LOPARE,Ж,20-24,401
2013,Број,LJUBINJE,Оба пола,20-24,177
2013,Број,LJUBINJE,M,20-24,97
2013,Број,LJUBINJE,Ж,20-24,80
2013,Број,MILICI,Оба пола,20-24,697
2013,Број,MILICI,M,20-24,380
2013,Број,MILICI,Ж,20-24,317
2013,Број,MODRICA,Оба пола,20-24,1330
2013,Број,MODRICA,M,20-24,676
2013,Број,MODRICA,Ж,20-24,654
2013,Број,MRKONJIC GRAD,Оба пола,20-24,775
2013,Број,MRKONJIC GRAD,M,20-24,407
2013,Број,MRKONJIC GRAD,Ж,20-24,368
2013,Број,NEVESINJE,Оба пола,20-24,638
2013,Број,NEVESINJE,M,20-24,339
2013,Број,NEVESINJE,Ж,20-24,299
2013,Број,NOVI GRAD,Оба пола,20-24,1423
2013,Број,NOVI GRAD,M,20-24,747
2013,Број,NOVI GRAD,Ж,20-24,676
2013,Број,NOVO GORAZDE,Оба пола,20-24,185
2013,Број,NOVO GORAZDE,M,20-24,111
2013,Број,NOVO GORAZDE,Ж,20-24,74
2013,Број,OSMACI,Оба пола,20-24,384
2013,Број,OSMACI,M,20-24,193
2013,Број,OSMACI,Ж,20-24,191
2013,Број,OSTRA LUKA,Оба пола,20-24,107
2013,Број,OSTRA LUKA,M,20-24,52
2013,Број,OSTRA LUKA,Ж,20-24,55
2013,Број,PELAGICEVO,Оба пола,20-24,183
2013,Број,PELAGICEVO,M,20-24,105
2013,Број,PELAGICEVO,Ж,20-24,78
2013,Број,PETROVAC,Оба пола,20-24,10
2013,Број,PETROVAC,M,20-24,6
2013,Број,PETROVAC,Ж,20-24,4
2013,Број,PETROVO,Оба пола,20-24,358
2013,Број,PETROVO,M,20-24,188
2013,Број,PETROVO,Ж,20-24,170
2013,Број,GRAD PRIJEDOR,Оба пола,20-24,4741
2013,Број,GRAD PRIJEDOR,M,20-24,2429
2013,Број,GRAD PRIJEDOR,Ж,20-24,2312
2013,Број,PRNJAVOR,Оба пола,20-24,1792
2013,Број,PRNJAVOR,M,20-24,920
2013,Број,PRNJAVOR,Ж,20-24,872
2013,Број,RIBNIK,Оба пола,20-24,279
2013,Број,RIBNIK,M,20-24,134
2013,Број,RIBNIK,Ж,20-24,145
2013,Број,ROGATICA,Оба пола,20-24,542
2013,Број,ROGATICA,M,20-24,280
2013,Број,ROGATICA,Ж,20-24,262
2013,Број,RUDO,Оба пола,20-24,421
2013,Број,RUDO,M,20-24,216
2013,Број,RUDO,Ж,20-24,205
2013,Број,SRBAC,Оба пола,20-24,930
2013,Број,SRBAC,M,20-24,497
2013,Број,SRBAC,Ж,20-24,433
2013,Број,SREBRENICA,Оба пола,20-24,782
2013,Број,SREBRENICA,M,20-24,429
2013,Број,SREBRENICA,Ж,20-24,353
2013,Број,STANARI,Оба пола,20-24,370
2013,Број,STANARI,M,20-24,188
2013,Број,STANARI,Ж,20-24,182
2013,Број,TESLIC,Оба пола,20-24,2082
2013,Број,TESLIC,M,20-24,1095
2013,Број,TESLIC,Ж,20-24,987
2013,Број,GRAD TREBINJE,Оба пола,20-24,1469
2013,Број,GRAD TREBINJE,M,20-24,792
2013,Број,GRAD TREBINJE,Ж,20-24,677
2013,Број,UGLJEVIK,Оба пола,20-24,977
2013,Број,UGLJEVIK,M,20-24,515
2013,Број,UGLJEVIK,Ж,20-24,462
2013,Број,FOCA,Оба пола,20-24,1022
2013,Број,FOCA,M,20-24,524
2013,Број,FOCA,Ж,20-24,498
2013,Број,HAN PIJESAK,Оба пола,20-24,143
2013,Број,HAN PIJESAK,M,20-24,85
2013,Број,HAN PIJESAK,Ж,20-24,58
2013,Број,CAJNICE,Оба пола,20-24,271
2013,Број,CAJNICE,M,20-24,152
2013,Број,CAJNICE,Ж,20-24,119
2013,Број,CELINAC,Оба пола,20-24,988
2013,Број,CELINAC,M,20-24,511
2013,Број,CELINAC,Ж,20-24,477
2013,Број,SAMAC,Оба пола,20-24,856
2013,Број,SAMAC,M,20-24,459
2013,Број,SAMAC,Ж,20-24,397
2013,Број,SEKOVICI,Оба пола,20-24,365
2013,Број,SEKOVICI,M,20-24,178
2013,Број,SEKOVICI,Ж,20-24,187
2013,Број,SIPOVO,Оба пола,20-24,545
2013,Број,SIPOVO,M,20-24,290
2013,Број,SIPOVO,Ж,20-24,255
2013,Број,REPUBLIKA SRPSKA,Оба пола,25-29,77070
2013,Број,REPUBLIKA SRPSKA,M,25-29,39298
2013,Број,REPUBLIKA SRPSKA,Ж,25-29,37772
2013,Број,GRAD BANJA LUKA,Оба пола,25-29,12794
2013,Број,GRAD BANJA LUKA,M,25-29,6254
2013,Број,GRAD BANJA LUKA,Ж,25-29,6540
2013,Број,BERKOVICI,Оба пола,25-29,94
2013,Број,BERKOVICI,M,25-29,54
2013,Број,BERKOVICI,Ж,25-29,40
2013,Број,GRAD BIJELJINA,Оба пола,25-29,7021
2013,Број,GRAD BIJELJINA,M,25-29,3474
2013,Број,GRAD BIJELJINA,Ж,25-29,3547
2013,Број,BILECA,Оба пола,25-29,684
2013,Број,BILECA,M,25-29,387
2013,Број,BILECA,Ж,25-29,297
2013,Број,BRATUNAC,Оба пола,25-29,1480
2013,Број,BRATUNAC,M,25-29,772
2013,Број,BRATUNAC,Ж,25-29,708
2013,Број,BROD,Оба пола,25-29,1050
2013,Број,BROD,M,25-29,531
2013,Број,BROD,Ж,25-29,519
2013,Број,VISEGRAD,Оба пола,25-29,642
2013,Број,VISEGRAD,M,25-29,342
2013,Број,VISEGRAD,Ж,25-29,300
2013,Број,VLASENICA,Оба пола,25-29,767
2013,Број,VLASENICA,M,25-29,379
2013,Број,VLASENICA,Ж,25-29,388
2013,Број,VUKOSAVLJE,Оба пола,25-29,271
2013,Број,VUKOSAVLJE,M,25-29,141
2013,Број,VUKOSAVLJE,Ж,25-29,130
2013,Број,GACKO,Оба пола,25-29,568
2013,Број,GACKO,M,25-29,309
2013,Број,GACKO,Ж,25-29,259
2013,Број,GRAD GRADISKA,Оба пола,25-29,2990
2013,Број,GRAD GRADISKA,M,25-29,1558
2013,Број,GRAD GRADISKA,Ж,25-29,1432
2013,Број,GRAD DERVENTA,Оба пола,25-29,1669
2013,Број,GRAD DERVENTA,M,25-29,851
2013,Број,GRAD DERVENTA,Ж,25-29,818
2013,Број,GRAD DOBOJ,Оба пола,25-29,3904
2013,Број,GRAD DOBOJ,M,25-29,2001
2013,Број,GRAD DOBOJ,Ж,25-29,1903
2013,Број,DONJI ZABAR,Оба пола,25-29,210
2013,Број,DONJI ZABAR,M,25-29,117
2013,Број,DONJI ZABAR,Ж,25-29,93
2013,Број,GRAD ZVORNIK,Оба пола,25-29,3892
2013,Број,GRAD ZVORNIK,M,25-29,2002
2013,Број,GRAD ZVORNIK,Ж,25-29,1890
2013,Број,ISTOCNI DRVAR,Оба пола,25-29,5
2013,Број,ISTOCNI DRVAR,M,25-29,5
2013,Број,ISTOCNI DRVAR,Ж,25-29,-
2013,Број,ISTOCNI MOSTAR,Оба пола,25-29,9
2013,Број,ISTOCNI MOSTAR,M,25-29,3
2013,Број,ISTOCNI MOSTAR,Ж,25-29,6
2013,Број,GRAD ISTOCNO SARAJEVO,Оба пола,25-29,4214
2013,Број,GRAD ISTOCNO SARAJEVO,M,25-29,2184
2013,Број,GRAD ISTOCNO SARAJEVO,Ж,25-29,2030
2013,Број,ISTOCNA ILIDZA,Оба пола,25-29,1051
2013,Број,ISTOCNA ILIDZA,M,25-29,539
2013,Број,ISTOCNA ILIDZA,Ж,25-29,512
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,25-29,733
2013,Број,ISTOCNO NOVO SARAJEVO,M,25-29,363
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,25-29,370
2013,Број,ISTOČNI STARI GRAD,Оба пола,25-29,63
2013,Број,ISTOČNI STARI GRAD,M,25-29,42
2013,Број,ISTOČNI STARI GRAD,Ж,25-29,21
2013,Број,PALE,Оба пола,25-29,1443
2013,Број,PALE,M,25-29,734
2013,Број,PALE,Ж,25-29,709
2013,Број,SOKOLAC,Оба пола,25-29,782
2013,Број,SOKOLAC,M,25-29,431
2013,Број,SOKOLAC,Ж,25-29,351
2013,Број,TRNOVO,Оба пола,25-29,142
2013,Број,TRNOVO,M,25-29,75
2013,Број,TRNOVO,Ж,25-29,67
2013,Број,JEZERO,Оба пола,25-29,70
2013,Број,JEZERO,M,25-29,45
2013,Број,JEZERO,Ж,25-29,25
2013,Број,KALINOVIK,Оба пола,25-29,122
2013,Број,KALINOVIK,M,25-29,72
2013,Број,KALINOVIK,Ж,25-29,50
2013,Број,KNEZEVO,Оба пола,25-29,556
2013,Број,KNEZEVO,M,25-29,282
2013,Број,KNEZEVO,Ж,25-29,274
2013,Број,KOSTAJNICA,Оба пола,25-29,363
2013,Број,KOSTAJNICA,M,25-29,193
2013,Број,KOSTAJNICA,Ж,25-29,170
2013,Број,KOTOR VAROS,Оба пола,25-29,1309
2013,Број,KOTOR VAROS,M,25-29,680
2013,Број,KOTOR VAROS,Ж,25-29,629
2013,Број,KOZARSKA DUBICA,Оба пола,25-29,1330
2013,Број,KOZARSKA DUBICA,M,25-29,701
2013,Број,KOZARSKA DUBICA,Ж,25-29,629
2013,Број,KRUPA NA UNI,Оба пола,25-29,58
2013,Број,KRUPA NA UNI,M,25-29,36
2013,Број,KRUPA NA UNI,Ж,25-29,22
2013,Број,KUPRES,Оба пола,25-29,6
2013,Број,KUPRES,M,25-29,6
2013,Број,KUPRES,Ж,25-29,-
2013,Број,LAKTASI,Оба пола,25-29,2374
2013,Број,LAKTASI,M,25-29,1149
2013,Број,LAKTASI,Ж,25-29,1225
2013,Број,LOPARE,Оба пола,25-29,844
2013,Број,LOPARE,M,25-29,426
2013,Број,LOPARE,Ж,25-29,418
2013,Број,LJUBINJE,Оба пола,25-29,202
2013,Број,LJUBINJE,M,25-29,109
2013,Број,LJUBINJE,Ж,25-29,93
2013,Број,MILICI,Оба пола,25-29,825
2013,Број,MILICI,M,25-29,435
2013,Број,MILICI,Ж,25-29,390
2013,Број,MODRICA,Оба пола,25-29,1469
2013,Број,MODRICA,M,25-29,775
2013,Број,MODRICA,Ж,25-29,694
2013,Број,MRKONJIC GRAD,Оба пола,25-29,916
2013,Број,MRKONJIC GRAD,M,25-29,481
2013,Број,MRKONJIC GRAD,Ж,25-29,435
2013,Број,NEVESINJE,Оба пола,25-29,708
2013,Број,NEVESINJE,M,25-29,373
2013,Број,NEVESINJE,Ж,25-29,335
2013,Број,NOVI GRAD,Оба пола,25-29,1516
2013,Број,NOVI GRAD,M,25-29,795
2013,Број,NOVI GRAD,Ж,25-29,721
2013,Број,NOVO GORAZDE,Оба пола,25-29,223
2013,Број,NOVO GORAZDE,M,25-29,129
2013,Број,NOVO GORAZDE,Ж,25-29,94
2013,Број,OSMACI,Оба пола,25-29,378
2013,Број,OSMACI,M,25-29,202
2013,Број,OSMACI,Ж,25-29,176
