Year,UNIT_MEASURE,Type_of_user,Value
2016,Број,Укупно,191604
2017,Број,Укупно,184830
2018,Број,Укупно,179164
2019,Број,Укупно,171280
2020,Број,Укупно,167786
2016,Број,Малољетни корисници,53648
2017,Број,Малољетни корисници,49035
2018,Број,Малољетни корисници,48462
2019,Број,Малољетни корисници,47135
2020,Број,Малољетни корисници,41066
2016,Број,Пунољетни корисници,137956
2017,Број,Пунољетни корисници,135795
2018,Број,Пунољетни корисници,130702
2019,Број,Пунољетни корисници,124145
2020,Број,Пунољетни корисници,126720
