Year,UNIT_MEASURE,ADMIN_AREA,NO_OF_CHILDREN,Value
2013,Број,istocni_drvar,did_not_give_birth,5
2013,Број,istocni_mostar,did_not_give_birth,25
2013,Број,istocni_stari_grad,did_not_give_birth,122
2013,Број,istocno_novo_sarajevo,did_not_give_birth,1372
2013,Број,jezero,did_not_give_birth,111
2013,Број,kalinovik,did_not_give_birth,250
2013,Број,knezevo,did_not_give_birth,868
2013,Број,kozarska_dubica,did_not_give_birth,2106
2013,Број,kostajnica,did_not_give_birth,632
2013,Број,kotor_varos,did_not_give_birth,2052
2013,Број,krupa_na_uni,did_not_give_birth,110
2013,Број,kupres,did_not_give_birth,24
2013,Број,laktasi,did_not_give_birth,3589
2013,Број,lopare,did_not_give_birth,1679
2013,Број,ljubinje,did_not_give_birth,377
2013,Број,milici,did_not_give_birth,1235
2013,Број,modrica,did_not_give_birth,2736
2013,Број,mrkonjic_grad,did_not_give_birth,1571
2013,Број,nevesinje,did_not_give_birth,1490
2013,Број,novi_grad,did_not_give_birth,2605
2013,Број,novo_gorazde,did_not_give_birth,405
2013,Број,osmaci,did_not_give_birth,570
2013,Број,ostra_luka,did_not_give_birth,235
2013,Број,pale,did_not_give_birth,2843
2013,Број,pelagicevo,did_not_give_birth,467
2013,Број,petrovac,did_not_give_birth,34
2013,Број,petrovo,did_not_give_birth,581
2013,Број,grad_prijedor,did_not_give_birth,9358
2013,Број,prnjavor,did_not_give_birth,3458
2013,Број,ribnik,did_not_give_birth,493
2013,Број,rogatica,did_not_give_birth,1126
2013,Број,rudo,did_not_give_birth,769
2013,Број,sokolac,did_not_give_birth,1278
2013,Број,srbac,did_not_give_birth,1710
2013,Број,srebrenica,did_not_give_birth,1385
2013,Број,teslic,did_not_give_birth,3716
2013,Број,grad_trebinje,did_not_give_birth,3394
2013,Број,trnovo,did_not_give_birth,243
2013,Број,ugljevik,did_not_give_birth,1598
2013,Број,foca,did_not_give_birth,2037
2013,Број,han_pijesak,did_not_give_birth,391
2013,Број,cajnice,did_not_give_birth,525
2013,Број,celinac,did_not_give_birth,1600
2013,Број,samac,did_not_give_birth,1848
2013,Број,sekovici,did_not_give_birth,667
2013,Број,sipovo,did_not_give_birth,974
2013,Број,republika_srpska,one_child,69805
2013,Број,grad_banja_luka,one_child,13545
2013,Број,berkovici,one_child,72
2013,Број,grad_bijeljina,one_child,6922
2013,Број,bileca,one_child,374
2013,Број,bratunac,one_child,856
2013,Број,brod,one_child,987
2013,Број,visegrad,one_child,536
2013,Број,vlasenica,one_child,547
2013,Број,vukosavlje,one_child,236
2013,Број,gacko,one_child,325
2013,Број,grad_gradiska,one_child,3293
2013,Број,grad_derventa,one_child,1633
2013,Број,grad_doboj,one_child,4512
2013,Број,donji_zabar,one_child,205
2013,Број,grad_zvornik,one_child,2647
2013,Број,istocna_ilidza,one_child,1017
2013,Број,istocni_drvar,one_child,4
2013,Број,istocni_mostar,one_child,8
2013,Број,istocni_stari_grad,one_child,53
2013,Број,istocno_novo_sarajevo,one_child,832
2013,Број,jezero,one_child,41
2013,Број,kalinovik,one_child,62
2013,Број,knezevo,one_child,329
2013,Број,kozarska_dubica,one_child,1478
2013,Број,kostajnica,one_child,460
2013,Број,kotor_varos,one_child,706
2013,Број,krupa_na_uni,one_child,58
2013,Број,kupres,one_child,13
2013,Број,laktasi,one_child,2036
2013,Број,lopare,one_child,737
2013,Број,ljubinje,one_child,102
2013,Број,milici,one_child,405
2013,Број,modrica,one_child,1389
2013,Број,mrkonjic_grad,one_child,720
