Year,UNIT_MEASURE,Value
2003,number_birth_rate,8.8
2004,number_birth_rate,8.9
2005,number_birth_rate,8.7
2006,number_birth_rate,8.9
2007,number_birth_rate,8.6
2008,number_birth_rate,8.6
2009,number_birth_rate,9.0
2010,number_birth_rate,8.6
2011,number_birth_rate,8.1
2012,number_birth_rate,8.5
2013,number_birth_rate,8.1
2014,number_birth_rate,8.0
2015,number_birth_rate,8.1
2016,number_birth_rate,8.2
2017,number_birth_rate,8.1
2018,number_birth_rate,8.3
2019,number_birth_rate,8.1
2020,number_birth_rate,8.1
2021,number_birth_rate,8.2
2022,number_birth_rate,8.1
2023,number_birth_rate,8.4
