Year,UNIT_MEASURE,Administrative area,Sex,Nationality,Value
2013,Number,HAN PIJESAK,M,does_not_declare,1
2013,Number,HAN PIJESAK,F,does_not_declare,2
2013,Number,CAJNICE,Both sexes,does_not_declare,3
2013,Number,CAJNICE,M,does_not_declare,1
2013,Number,CAJNICE,F,does_not_declare,2
2013,Number,CELINAC,Both sexes,does_not_declare,35
2013,Number,CELINAC,M,does_not_declare,16
2013,Number,CELINAC,F,does_not_declare,19
2013,Number,SAMAC,Both sexes,does_not_declare,141
2013,Number,SAMAC,M,does_not_declare,57
2013,Number,SAMAC,F,does_not_declare,84
2013,Number,SEKOVICI,Both sexes,does_not_declare,5
2013,Number,SEKOVICI,M,does_not_declare,2
2013,Number,SEKOVICI,F,does_not_declare,3
2013,Number,SIPOVO,Both sexes,does_not_declare,24
2013,Number,SIPOVO,M,does_not_declare,12
2013,Number,SIPOVO,F,does_not_declare,12
2013,Number,REPUBLIKA SRPSKA,Both sexes,Unknown,1997
2013,Number,REPUBLIKA SRPSKA,M,Unknown,916
2013,Number,REPUBLIKA SRPSKA,F,Unknown,1081
2013,Number,BANJA LUKA,Both sexes,Unknown,328
2013,Number,BANJA LUKA,M,Unknown,153
2013,Number,BANJA LUKA,F,Unknown,175
2013,Number,BERKOVICI,Both sexes,Unknown,1
2013,Number,BERKOVICI,M,Unknown,0
2013,Number,BERKOVICI,F,Unknown,1
2013,Number,BIJELJINA,Both sexes,Unknown,90
2013,Number,BIJELJINA,M,Unknown,37
2013,Number,BIJELJINA,F,Unknown,53
2013,Number,BILECA,Both sexes,Unknown,11
2013,Number,BILECA,M,Unknown,4
2013,Number,BILECA,F,Unknown,7
2013,Number,BRATUNAC,Both sexes,Unknown,35
2013,Number,BRATUNAC,M,Unknown,16
2013,Number,BRATUNAC,F,Unknown,19
2013,Number,BROD,Both sexes,Unknown,29
2013,Number,BROD,M,Unknown,12
2013,Number,BROD,F,Unknown,17
2013,Number,VISEGRAD,Both sexes,Unknown,177
2013,Number,VISEGRAD,M,Unknown,2
2013,Number,VISEGRAD,F,Unknown,175
2013,Number,VLASENICA,Both sexes,Unknown,29
2013,Number,VLASENICA,M,Unknown,13
2013,Number,VLASENICA,F,Unknown,16
2013,Number,VUKOSAVLJE,Both sexes,Unknown,14
2013,Number,VUKOSAVLJE,M,Unknown,3
2013,Number,VUKOSAVLJE,F,Unknown,11
2013,Number,GACKO,Both sexes,Unknown,6
2013,Number,GACKO,M,Unknown,1
2013,Number,GACKO,F,Unknown,5
2013,Number,GRADISKA,Both sexes,Unknown,42
2013,Number,GRADISKA,M,Unknown,19
2013,Number,GRADISKA,F,Unknown,23
2013,Number,DERVENTA,Both sexes,Unknown,54
2013,Number,DERVENTA,M,Unknown,24
2013,Number,DERVENTA,F,Unknown,30
2013,Number,DOBOJ,Both sexes,Unknown,163
2013,Number,DOBOJ,M,Unknown,61
2013,Number,DOBOJ,F,Unknown,102
2013,Number,DONJI ZABAR,Both sexes,Unknown,2
2013,Number,DONJI ZABAR,M,Unknown,1
2013,Number,DONJI ZABAR,F,Unknown,1
2013,Number,ZVORNIK,Both sexes,Unknown,97
2013,Number,ZVORNIK,M,Unknown,42
2013,Number,ZVORNIK,F,Unknown,55
2013,Number,ISTOCNA ILIDZA,Both sexes,Unknown,10
2013,Number,ISTOCNA ILIDZA,M,Unknown,5
2013,Number,ISTOCNA ILIDZA,F,Unknown,5
2013,Number,ISTOCNI DRVAR,Both sexes,Unknown,0
2013,Number,ISTOCNI DRVAR,M,Unknown,0
2013,Number,ISTOCNI DRVAR,F,Unknown,0
2013,Number,ISTOCNI MOSTAR,Both sexes,Unknown,2
2013,Number,ISTOCNI MOSTAR,M,Unknown,1
2013,Number,ISTOCNI MOSTAR,F,Unknown,1
2013,Number,ISTOCNI STARI GRAD,Both sexes,Unknown,1
2013,Number,ISTOCNI STARI GRAD,M,Unknown,1
2013,Number,ISTOCNI STARI GRAD,F,Unknown,0
2013,Number,ISTOCNO NOVO SARAJEVO,Both sexes,Unknown,3
2013,Number,ISTOCNO NOVO SARAJEVO,M,Unknown,0
2013,Number,ISTOCNO NOVO SARAJEVO,F,Unknown,3
2013,Number,JEZERO,Both sexes,Unknown,1
2013,Number,JEZERO,M,Unknown,1
2013,Number,JEZERO,F,Unknown,0
2013,Number,KALINOVIK,Both sexes,Unknown,0
2013,Number,KALINOVIK,M,Unknown,0
2013,Number,KALINOVIK,F,Unknown,0
2013,Number,KNEZEVO,Both sexes,Unknown,4
2013,Number,KNEZEVO,M,Unknown,3
2013,Number,KNEZEVO,F,Unknown,1
2013,Number,KOZARSKA DUBICA,Both sexes,Unknown,12
2013,Number,KOZARSKA DUBICA,M,Unknown,5
2013,Number,KOZARSKA DUBICA,F,Unknown,7
2013,Number,KOSTAJNICA,Both sexes,Unknown,2
2013,Number,KOSTAJNICA,M,Unknown,0
2013,Number,KOSTAJNICA,F,Unknown,2
2013,Number,KOTOR VAROS,Both sexes,Unknown,19
2013,Number,KOTOR VAROS,M,Unknown,14
2013,Number,KOTOR VAROS,F,Unknown,5
2013,Number,KRUPA NA UNI,Both sexes,Unknown,0
2013,Number,KRUPA NA UNI,M,Unknown,0
2013,Number,KRUPA NA UNI,F,Unknown,0
2013,Number,KUPRES,Both sexes,Unknown,0
2013,Number,KUPRES,M,Unknown,0
2013,Number,KUPRES,F,Unknown,0
2013,Number,LAKTASI,Both sexes,Unknown,46
2013,Number,LAKTASI,M,Unknown,20
2013,Number,LAKTASI,F,Unknown,26
2013,Number,LOPARE,Both sexes,Unknown,10
2013,Number,LOPARE,M,Unknown,6
2013,Number,LOPARE,F,Unknown,4
2013,Number,LJUBINJE,Both sexes,Unknown,2
2013,Number,LJUBINJE,M,Unknown,1
2013,Number,LJUBINJE,F,Unknown,1
2013,Number,MILICI,Both sexes,Unknown,8
2013,Number,MILICI,M,Unknown,3
2013,Number,MILICI,F,Unknown,5
2013,Number,MODRICA,Both sexes,Unknown,116
2013,Number,MODRICA,M,Unknown,62
2013,Number,MODRICA,F,Unknown,54
2013,Number,MRKONJIC GRAD,Both sexes,Unknown,12
2013,Number,MRKONJIC GRAD,M,Unknown,6
2013,Number,MRKONJIC GRAD,F,Unknown,6
2013,Number,NEVESINJE,Both sexes,Unknown,7
2013,Number,NEVESINJE,M,Unknown,2
2013,Number,NEVESINJE,F,Unknown,5
2013,Number,NOVI GRAD,Both sexes,Unknown,24
2013,Number,NOVI GRAD,M,Unknown,13
2013,Number,NOVI GRAD,F,Unknown,11
2013,Number,NOVO GORAZDE,Both sexes,Unknown,7
2013,Number,NOVO GORAZDE,M,Unknown,2
2013,Number,NOVO GORAZDE,F,Unknown,5
2013,Number,OSMACI,Both sexes,Unknown,4
2013,Number,OSMACI,M,Unknown,2
2013,Number,OSMACI,F,Unknown,2
2013,Number,OSTRA LUKA,Both sexes,Unknown,3
2013,Number,OSTRA LUKA,M,Unknown,2
2013,Number,OSTRA LUKA,F,Unknown,1
2013,Number,PALE,Both sexes,Unknown,13
2013,Number,PALE,M,Unknown,9
2013,Number,PALE,F,Unknown,4
2013,Number,PELAGICEVO,Both sexes,Unknown,5
2013,Number,PELAGICEVO,M,Unknown,1
2013,Number,PELAGICEVO,F,Unknown,4
2013,Number,PETROVAC,Both sexes,Unknown,0
2013,Number,PETROVAC,M,Unknown,0
2013,Number,PETROVAC,F,Unknown,0
2013,Number,PETROVO,Both sexes,Unknown,4
2013,Number,PETROVO,M,Unknown,2
2013,Number,PETROVO,F,Unknown,2
2013,Number,PRIJEDOR,Both sexes,Unknown,369
2013,Number,PRIJEDOR,M,Unknown,257
2013,Number,PRIJEDOR,F,Unknown,112
2013,Number,PRNJAVOR,Both sexes,Unknown,30
2013,Number,PRNJAVOR,M,Unknown,10
2013,Number,PRNJAVOR,F,Unknown,20
2013,Number,RIBNIK,Both sexes,Unknown,2
2013,Number,RIBNIK,M,Unknown,2
2013,Number,RIBNIK,F,Unknown,0
2013,Number,ROGATICA,Both sexes,Unknown,5
2013,Number,ROGATICA,M,Unknown,2
2013,Number,ROGATICA,F,Unknown,3
2013,Number,RUDO,Both sexes,Unknown,3
2013,Number,RUDO,M,Unknown,0
2013,Number,RUDO,F,Unknown,3
2013,Number,SOKOLAC,Both sexes,Unknown,18
2013,Number,SOKOLAC,M,Unknown,5
2013,Number,SOKOLAC,F,Unknown,13
2013,Number,SRBAC,Both sexes,Unknown,29
2013,Number,SRBAC,M,Unknown,11
2013,Number,SRBAC,F,Unknown,18
2013,Number,SREBRENICA,Both sexes,Unknown,14
2013,Number,SREBRENICA,M,Unknown,8
2013,Number,SREBRENICA,F,Unknown,6
2013,Number,TESLIC,Both sexes,Unknown,44
2013,Number,TESLIC,M,Unknown,23
2013,Number,TESLIC,F,Unknown,21
2013,Number,TREBINJE,Both sexes,Unknown,19
2013,Number,TREBINJE,M,Unknown,11
2013,Number,TREBINJE,F,Unknown,8
2013,Number,TRNOVO,Both sexes,Unknown,0
2013,Number,TRNOVO,M,Unknown,0
2013,Number,TRNOVO,F,Unknown,0
2013,Number,UGLJEVIK,Both sexes,Unknown,13
2013,Number,UGLJEVIK,M,Unknown,11
2013,Number,UGLJEVIK,F,Unknown,2
2013,Number,FOCA,Both sexes,Unknown,12
2013,Number,FOCA,M,Unknown,5
2013,Number,FOCA,F,Unknown,7
2013,Number,HAN PIJESAK,Both sexes,Unknown,0
2013,Number,HAN PIJESAK,M,Unknown,0
2013,Number,HAN PIJESAK,F,Unknown,0
2013,Number,CAJNICE,Both sexes,Unknown,5
2013,Number,CAJNICE,M,Unknown,2
2013,Number,CAJNICE,F,Unknown,3
2013,Number,CELINAC,Both sexes,Unknown,9
2013,Number,CELINAC,M,Unknown,4
2013,Number,CELINAC,F,Unknown,5
2013,Number,SAMAC,Both sexes,Unknown,19
2013,Number,SAMAC,M,Unknown,10
2013,Number,SAMAC,F,Unknown,9
2013,Number,SEKOVICI,Both sexes,Unknown,8
2013,Number,SEKOVICI,M,Unknown,3
2013,Number,SEKOVICI,F,Unknown,5
2013,Number,SIPOVO,Both sexes,Unknown,5
2013,Number,SIPOVO,M,Unknown,3
2013,Number,SIPOVO,F,Unknown,2
