Year,UNIT_MEASURE,Value
2003,Broj na 1.000 živorođenih,6.1
2004,Broj na 1.000 živorođenih,5.7
2005,Broj na 1.000 živorođenih,3.6
2006,Broj na 1.000 živorođenih,4.8
2007,Broj na 1.000 živorođenih,3.8
2008,Broj na 1.000 živorođenih,3.9
2009,Broj na 1.000 živorođenih,4.8
2010,Broj na 1.000 živorođenih,4.3
2011,Broj na 1.000 živorođenih,4.5
2012,Broj na 1.000 živorođenih,3.7
2013,Broj na 1.000 živorođenih,3.5
2014,Broj na 1.000 živorođenih,3.1
2015,Broj na 1.000 živorođenih,2.8
2016,Broj na 1.000 živorođenih,2.4
2017,Broj na 1.000 živorođenih,2.8
2018,Broj na 1.000 živorođenih,1.8
2019,Broj na 1.000 živorođenih,1.6
2020,Broj na 1.000 živorođenih,4.7
2021,Broj na 1.000 živorođenih,1.8
2022,Broj na 1.000 živorođenih,4.4
2023,Broj na 1.000 živorođenih,2.9
