Year,Starost,UNIT_MEASURE,Value
1998,13 - 14,Broj,0
1998,15 - 19,Broj,796
1999,13 - 14,Broj,1
1999,15 - 19,Broj,907
2000,13 - 14,Broj,1
2000,15 - 19,Broj,722
2001,13 - 14,Broj,2
2001,15 - 19,Broj,938
2002,13 - 14,Broj,4
2002,15 - 19,Broj,787
2003,13 - 14,Broj,0
2003,15 - 19,Broj,688
2004,13 - 14,Broj,4
2004,15 - 19,Broj,697
2005,13 - 14,Broj,3
2005,15 - 19,Broj,659
2006,13 - 14,Broj,3
2006,15 - 19,Broj,586
2007,13 - 14,Broj,3
2007,15 - 19,Broj,557
2008,13 - 14,Broj,4
2008,15 - 19,Broj,536
2009,13 - 14,Broj,3
2009,15 - 19,Broj,499
2010,13 - 14,Broj,0
2010,15 - 19,Broj,436
2011,13 - 14,Broj,0
2011,15 - 19,Broj,407
2012,13 - 14,Broj,1
2012,15 - 19,Broj,452
2013,13 - 14,Broj,0
2013,15 - 19,Broj,376
2014,13 - 14,Broj,0
2014,15 - 19,Broj,362
2015,13 - 14,Broj,1
2015,15 - 19,Broj,311
2016,13 - 14,Broj,1
2016,15 - 19,Broj,337
2017,13 - 14,Broj,0
2017,15 - 19,Broj,280
2018,13 - 14,Broj,1
2018,15 - 19,Broj,219
2019,13 - 14,Broj,1
2019,15 - 19,Broj,223
