Year,UNIT_MEASURE,Административно подручје,Пол,Величина домаћинства,Value
2013,Број,Чајниче,M,1 члан,395.0
2013,Број,Челинац,Ж,1 члан,951.0
2013,Број,Шамац,Оба пола,1 члан,1406.0
2013,Број,Шековићи,M,1 члан,708.0
2013,Број,Шипово,Ж,1 члан,839.0
2013,Број,Република Српска,Оба пола,2 члана,107130.0
2013,Број,Град Бања Лука,M,2 члана,17243.0
2013,Број,Берковићи,Ж,2 члана,166.0
2013,Број,Град Бијељина,Оба пола,2 члана,8272.0
2013,Број,Билећа,M,2 члана,719.0
2013,Број,Братунац,Ж,2 члана,1345.0
2013,Број,Брод,Оба пола,2 члана,1439.0
2013,Број,Вишеград,M,2 члана,1172.0
2013,Број,Власеница,Ж,2 члана,1001.0
2013,Број,Вукосавље,Оба пола,2 члана,425.0
2013,Број,Гацко,M,2 члана,622.0
2013,Број,Град Градишка,Ж,2 члана,4438.0
2013,Број,Град Дервента,Оба пола,2 члана,2598.0
2013,Број,Град Добој,M,2 члана,7242.0
2013,Број,Доњи Жабар,Ж,2 члана,290.0
2013,Број,Град Зворник,Оба пола,2 члана,4288.0
2013,Број,Источна Илиџа,M,2 члана,1316.0
2013,Број,Источни Дрвар,Ж,2 члана,7.0
2013,Број,Источни Мостар,Оба пола,2 члана,15.0
2013,Број,Источни Стари Град,M,2 члана,146.0
2013,Број,Источно Ново Сарајево,Ж,2 члана,1011.0
2013,Број,Језеро,Оба пола,2 члана,89.0
2013,Број,Калиновик,M,2 члана,213.0
2013,Број,Кнежево,Ж,2 члана,937.0
2013,Број,Козарска Дубица,Оба пола,2 члана,2021.0
2013,Број,Костајница,M,2 члана,477.0
2013,Број,Котор Варош,Ж,2 члана,1358.0
2013,Број,Крупа на Уни,Оба пола,2 члана,128.0
2013,Број,Купрес,M,2 члана,48.0
2013,Број,Лакташи,Ж,2 члана,2768.0
2013,Број,Лопаре,Оба пола,2 члана,1261.0
2013,Број,Љубиње,M,2 члана,254.0
2013,Број,Милићи,Ж,2 члана,859.0
2013,Број,Модрича,Оба пола,2 члана,2332.0
2013,Број,Мркоњић Град,M,2 члана,1806.0
2013,Број,Невесиње,Ж,2 члана,939.0
2013,Број,Нови Град,Оба пола,2 члана,2390.0
2013,Број,Ново Горажде,M,2 члана,288.0
2013,Број,Осмаци,Ж,2 члана,372.0
2013,Број,Оштра Лука,Оба пола,2 члана,243.0
2013,Број,Пале,M,2 члана,1890.0
2013,Број,Пелагићево,Ж,2 члана,516.0
2013,Број,Петровац,Оба пола,2 члана,35.0
2013,Број,Петрово,M,2 члана,760.0
2013,Број,Град Приједор,Ж,2 члана,7125.0
2013,Број,Прњавор,Оба пола,2 члана,3253.0
2013,Број,Рибник,M,2 члана,673.0
2013,Број,Рогатица,Ж,2 члана,1120.0
2013,Број,Рудо,Оба пола,2 члана,851.0
2013,Број,Соколац,M,2 члана,1227.0
2013,Број,Србац,Ж,2 члана,1729.0
2013,Број,Сребреница,Оба пола,2 члана,858.0
2013,Број,Теслић,M,2 члана,3602.0
2013,Број,Град Требиње,Ж,2 члана,2317.0
2013,Број,Трново,Оба пола,2 члана,250.0
2013,Број,Угљевик,M,2 члана,1118.0
2013,Број,Фоча,Ж,2 члана,1877.0
2013,Број,Хан Пијесак,Оба пола,2 члана,439.0
2013,Број,Чајниче,M,2 члана,442.0
2013,Број,Челинац,Ж,2 члана,1260.0
2013,Број,Шамац,Оба пола,2 члана,1408.0
2013,Број,Шековићи,M,2 члана,783.0
2013,Број,Шипово,Ж,2 члана,1059.0
