Year,UNIT_MEASURE,TYPE_OF_USERS,Value
2016,NUMBER,adult_users,23202
2017,NUMBER,adult_users,20279
2018,NUMBER,adult_users,21839
2019,NUMBER,adult_users,15388
2020,NUMBER,adult_users,13381
2016,NUMBER,underage_users,33125
2017,NUMBER,underage_users,28767
2018,NUMBER,underage_users,27222
2019,NUMBER,underage_users,21862
2020,NUMBER,underage_users,19210
