Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,Broj,istocna_ilidza,3_members,1075
2013,Broj,istocni_drvar,3_members,6
2013,Broj,istocni_mostar,3_members,12
2013,Broj,istocni_stari_grad,3_members,75
2013,Broj,istocno_novo_sarajevo,3_members,813
2013,Broj,jezero,3_members,75
2013,Broj,kalinovik,3_members,136
2013,Broj,knezevo,3_members,554
2013,Broj,kozarska_dubica,3_members,1351
2013,Broj,kostajnica,3_members,384
2013,Broj,kotor_varos,3_members,1079
2013,Broj,krupa_na_uni,3_members,84
2013,Broj,kupres,3_members,16
2013,Broj,laktasi,3_members,2241
2013,Broj,lopare,3_members,908
2013,Broj,ljubinje,3_members,234
2013,Broj,milici,3_members,709
2013,Broj,modrica,3_members,1567
2013,Broj,mrkonjic_grad,3_members,1218
2013,Broj,nevesinje,3_members,701
2013,Broj,novi_grad,3_members,1669
2013,Broj,novo_gorazde,3_members,193
2013,Broj,osmaci,3_members,317
2013,Broj,ostra_luka,3_members,151
2013,Broj,pale,3_members,1438
2013,Broj,pelagicevo,3_members,225
2013,Broj,petrovac,3_members,22
2013,Broj,petrovo,3_members,448
2013,Broj,grad_prijedor,3_members,5351
2013,Broj,prnjavor,3_members,2183
2013,Broj,ribnik,3_members,356
2013,Broj,rogatica,3_members,709
2013,Broj,rudo,3_members,523
2013,Broj,sokolac,3_members,808
2013,Broj,srbac,3_members,1106
2013,Broj,srebrenica,3_members,656
2013,Broj,teslic,3_members,2559
2013,Broj,grad_trebinje,3_members,1871
2013,Broj,trnovo,3_members,143
2013,Broj,ugljevik,3_members,821
2013,Broj,foca,3_members,1263
2013,Broj,han_pijesak,3_members,249
2013,Broj,cajnice,3_members,303
2013,Broj,celinac,3_members,985
2013,Broj,samac,3_members,971
2013,Broj,sekovici,3_members,418
2013,Broj,sipovo,3_members,696
2013,Broj,republika_srpska,4_members,72771
2013,Broj,grad_banja_luka,4_members,12952
2013,Broj,berkovici,4_members,84
2013,Broj,grad_bijeljina,4_members,6377
2013,Broj,bileca,4_members,616
2013,Broj,bratunac,4_members,1161
2013,Broj,brod,4_members,928
2013,Broj,visegrad,4_members,582
2013,Broj,vlasenica,4_members,687
2013,Broj,vukosavlje,4_members,249
2013,Broj,gacko,4_members,480
2013,Broj,grad_gradiska,4_members,2878
2013,Broj,grad_derventa,4_members,1520
2013,Broj,grad_doboj,4_members,4148
2013,Broj,donji_zabar,4_members,184
2013,Broj,grad_zvornik,4_members,3448
2013,Broj,istocna_ilidza,4_members,1028
2013,Broj,istocni_drvar,4_members,0
2013,Broj,istocni_mostar,4_members,10
2013,Broj,istocni_stari_grad,4_members,43
2013,Broj,istocno_novo_sarajevo,4_members,702
2013,Broj,jezero,4_members,58
2013,Broj,kalinovik,4_members,109
2013,Broj,knezevo,4_members,551
2013,Broj,kozarska_dubica,4_members,1175
2013,Broj,kostajnica,4_members,311
2013,Broj,kotor_varos,4_members,1206
2013,Broj,krupa_na_uni,4_members,72
2013,Broj,kupres,4_members,6
2013,Broj,laktasi,4_members,2345
2013,Broj,lopare,4_members,805
2013,Broj,ljubinje,4_members,194
2013,Broj,milici,4_members,714
2013,Broj,modrica,4_members,1422
2013,Broj,mrkonjic_grad,4_members,939
2013,Broj,nevesinje,4_members,736
2013,Broj,novi_grad,4_members,1422
2013,Broj,novo_gorazde,4_members,204
2013,Broj,osmaci,4_members,358
2013,Broj,ostra_luka,4_members,131
2013,Broj,pale,4_members,1418
2013,Broj,pelagicevo,4_members,191
2013,Broj,petrovac,4_members,19
2013,Broj,petrovo,4_members,370
2013,Broj,grad_prijedor,4_members,4862
2013,Broj,prnjavor,4_members,1953
2013,Broj,ribnik,4_members,308
2013,Broj,rogatica,4_members,630
2013,Broj,rudo,4_members,467
2013,Broj,sokolac,4_members,728
2013,Broj,srbac,4_members,1011
2013,Broj,srebrenica,4_members,652
2013,Broj,teslic,4_members,2147
2013,Broj,grad_trebinje,4_members,1765
2013,Broj,trnovo,4_members,110
2013,Broj,ugljevik,4_members,932
2013,Broj,foca,4_members,1115
2013,Broj,han_pijesak,4_members,194
2013,Broj,cajnice,4_members,278
2013,Broj,celinac,4_members,964
2013,Broj,samac,4_members,823
2013,Broj,sekovici,4_members,379
2013,Broj,sipovo,4_members,620
2013,Broj,republika_srpska,5+_members,58469
2013,Broj,grad_banja_luka,5+_members,6564
2013,Broj,berkovici,5+_members,165
2013,Broj,grad_bijeljina,5+_members,6090
2013,Broj,bileca,5+_members,723
2013,Broj,bratunac,5+_members,1147
2013,Broj,brod,5+_members,765
2013,Broj,visegrad,5+_members,356
2013,Broj,vlasenica,5+_members,509
2013,Broj,vukosavlje,5+_members,235
2013,Broj,gacko,5+_members,581
2013,Broj,grad_gradiska,5+_members,2701
2013,Broj,grad_derventa,5+_members,1269
2013,Broj,grad_doboj,5+_members,2871
2013,Broj,donji_zabar,5+_members,268
2013,Broj,grad_zvornik,5+_members,3231
2013,Broj,istocna_ilidza,5+_members,613
2013,Broj,istocni_drvar,5+_members,1
