Year,UNIT_MEASURE,Value
2003,Broj dječaka na 100 djevojčica,107.1
2004,Broj dječaka na 100 djevojčica,107.9
2005,Broj dječaka na 100 djevojčica,105.6
2006,Broj dječaka na 100 djevojčica,103.4
2007,Broj dječaka na 100 djevojčica,106.0
2008,Broj dječaka na 100 djevojčica,106.6
2009,Broj dječaka na 100 djevojčica,111.0
2010,Broj dječaka na 100 djevojčica,104.5
2011,Broj dječaka na 100 djevojčica,110.0
2012,Broj dječaka na 100 djevojčica,104.1
2013,Broj dječaka na 100 djevojčica,106.6
2014,Broj dječaka na 100 djevojčica,108.0
2015,Broj dječaka na 100 djevojčica,107.2
2016,Broj dječaka na 100 djevojčica,109.1
2017,Broj dječaka na 100 djevojčica,109.7
2018,Broj dječaka na 100 djevojčica,109.5
2019,Broj dječaka na 100 djevojčica,112.4
2020,Broj dječaka na 100 djevojčica,109.7
2021,Broj dječaka na 100 djevojčica,105.2
2022,Broj dječaka na 100 djevojčica,104.0
