Year,UNIT_MEASURE,Vrsta škole,Value
2016,Broj,Gimnazije,9443
2016,Broj,Srednje tehničke škole,24999
2016,Broj,Srednje stručne škole,6162
2016,Broj,Umjetničke škole,307
2016,Broj,Vjerske škole,88
2016,Broj,Srednje škole za učenike sa smetnjama u razvoju,137
2017,Broj,Gimnazije,8875
2017,Broj,Srednje tehničke škole,24644
2017,Broj,Srednje stručne škole,5832
2017,Broj,Umjetničke škole,275
2017,Broj,Vjerske škole,80
2017,Broj,Srednje škole za učenike sa smetnjama u razvoju,125
2018,Broj,Gimnazije,8360
2018,Broj,Srednje tehničke škole,23574
2018,Broj,Srednje stručne škole,6107
2018,Broj,Umjetničke škole,287
2018,Broj,Vjerske škole,65
2018,Broj,Srednje škole za učenike sa smetnjama u razvoju,106
2019,Broj,Gimnazije,7781
2019,Broj,Srednje tehničke škole,22965
2019,Broj,Srednje stručne škole,6023
2019,Broj,Umjetničke škole,293
2019,Broj,Vjerske škole,58
2019,Broj,Srednje škole za učenike sa smetnjama u razvoju,86
2020,Broj,Gimnazije,7278
2020,Broj,Srednje tehničke škole,22749
2020,Broj,Srednje stručne škole,5935
2020,Broj,Umjetničke škole,311
2020,Broj,Vjerske škole,54
2020,Broj,Srednje škole za učenike sa smetnjama u razvoju,78
2021,Broj,Gimnazije,6679
2021,Broj,Srednje tehničke škole,22666
2021,Broj,Srednje stručne škole,5739
2021,Broj,Umjetničke škole,416
2021,Broj,Vjerske škole,42
2021,Broj,Srednje škole za učenike sa smetnjama u razvoju,73
2022,Broj,Gimnazije,6317
2022,Broj,Srednje tehničke škole,22747
2022,Broj,Srednje stručne škole,5360
2022,Broj,Umjetničke škole,410
2022,Broj,Vjerske škole,98
2022,Broj,Srednje škole za učenike sa smetnjama u razvoju,66
2023,Broj,Gimnazije,6011
2023,Broj,Srednje tehničke škole,23024
2023,Broj,Srednje stručne škole,5317
2023,Broj,Umjetničke škole,298
2023,Broj,Vjerske škole,109
2023,Broj,Srednje škole za učenike sa smetnjama u razvoju,66
