Year,UNIT_MEASURE,Pol,Value
2003,Starost,Ukupno,73.8
2003,Starost,M,71.19
2003,Starost,Ž,76.4
2004,Starost,Ukupno,74.14
2004,Starost,M,71.55
2004,Starost,Ž,76.7
2005,Starost,Ukupno,73.87
2005,Starost,M,71.05
2005,Starost,Ž,76.69
2006,Starost,Ukupno,74.64
2006,Starost,M,71.82
2006,Starost,Ž,77.45
2007,Starost,Ukupno,74.43
2007,Starost,M,71.67
2007,Starost,Ž,77.21
2008,Starost,Ukupno,75.21
2008,Starost,M,72.21
2008,Starost,Ž,78.23
2009,Starost,Ukupno,75.32
2009,Starost,M,72.62
2009,Starost,Ž,78.02
2010,Starost,Ukupno,75.88
2010,Starost,M,73.22
2010,Starost,Ž,78.52
2011,Starost,Ukupno,76.18
2011,Starost,M,73.42
2011,Starost,Ž,78.96
2012,Starost,Ukupno,76.5
2012,Starost,M,73.67
2012,Starost,Ž,79.35
2013,Starost,Ukupno,76.42
2013,Starost,M,73.5
2013,Starost,Ž,79.36
2014,Starost,Ukupno,76.41
2014,Starost,M,73.76
2014,Starost,Ž,79.06
2015,Starost,Ukupno,76.19
2015,Starost,M,73.6
2015,Starost,Ž,78.78
2016,Starost,Ukupno,77.24
2016,Starost,M,74.4
2016,Starost,Ž,80.1
2017,Starost,Ukupno,77.2
2017,Starost,M,74.68
2017,Starost,Ž,79.71
2018,Starost,Ukupno,77.22
2018,Starost,M,74.59
2018,Starost,Ž,79.86
2019,Starost,Ukupno,77.15
2019,Starost,M,74.34
2019,Starost,Ž,80.0
2020,Starost,Ukupno,76.23
2020,Starost,M,73.34
2020,Starost,Ž,79.24
2021,Starost,Ukupno,75.03
2021,Starost,M,72.02
2021,Starost,Ž,78.24
