Year,UNIT_MEASURE,Administrativno područje,Pol,Education,Value
2013,Broj,Bileća,Oba pola,incomplete_elementary,747
2013,Broj,Bileća,M,incomplete_elementary,187
2013,Broj,Bileća,Ž,incomplete_elementary,560
2013,Broj,Bratunac,Oba pola,incomplete_elementary,1364
2013,Broj,Bratunac,M,incomplete_elementary,395
2013,Broj,Bratunac,Ž,incomplete_elementary,969
2013,Broj,Brod,Oba pola,incomplete_elementary,1241
2013,Broj,Brod,M,incomplete_elementary,328
2013,Broj,Brod,Ž,incomplete_elementary,913
2013,Broj,Višegrad,Oba pola,incomplete_elementary,783
2013,Broj,Višegrad,M,incomplete_elementary,203
2013,Broj,Višegrad,Ž,incomplete_elementary,580
2013,Broj,Vlasenica,Oba pola,incomplete_elementary,758
2013,Broj,Vlasenica,M,incomplete_elementary,243
2013,Broj,Vlasenica,Ž,incomplete_elementary,515
2013,Broj,Vukosavlje,Oba pola,incomplete_elementary,719
2013,Broj,Vukosavlje,M,incomplete_elementary,300
2013,Broj,Vukosavlje,Ž,incomplete_elementary,419
2013,Broj,Gacko,Oba pola,incomplete_elementary,496
2013,Broj,Gacko,M,incomplete_elementary,135
2013,Broj,Gacko,Ž,incomplete_elementary,361
2013,Broj,Grad Gradiška,Oba pola,incomplete_elementary,4821
2013,Broj,Grad Gradiška,M,incomplete_elementary,1832
2013,Broj,Grad Gradiška,Ž,incomplete_elementary,2989
2013,Broj,Grad Derventa,Oba pola,incomplete_elementary,2759
2013,Broj,Grad Derventa,M,incomplete_elementary,1030
2013,Broj,Grad Derventa,Ž,incomplete_elementary,1729
2013,Broj,Grad Doboj,Oba pola,incomplete_elementary,6019
2013,Broj,Grad Doboj,M,incomplete_elementary,1823
2013,Broj,Grad Doboj,Ž,incomplete_elementary,4196
2013,Broj,Donji Žabar,Oba pola,incomplete_elementary,707
2013,Broj,Donji Žabar,M,incomplete_elementary,304
2013,Broj,Donji Žabar,Ž,incomplete_elementary,403
2013,Broj,Grad Zvornik,Oba pola,incomplete_elementary,4702
2013,Broj,Grad Zvornik,M,incomplete_elementary,1472
2013,Broj,Grad Zvornik,Ž,incomplete_elementary,3230
2013,Broj,Istočna Ilidža,Oba pola,incomplete_elementary,550
2013,Broj,Istočna Ilidža,M,incomplete_elementary,65
2013,Broj,Istočna Ilidža,Ž,incomplete_elementary,485
2013,Broj,Istočni Drvar,Oba pola,incomplete_elementary,6
2013,Broj,Istočni Drvar,M,incomplete_elementary,4
2013,Broj,Istočni Drvar,Ž,incomplete_elementary,2
2013,Broj,Istočni Mostar,Oba pola,incomplete_elementary,41
2013,Broj,Istočni Mostar,M,incomplete_elementary,21
2013,Broj,Istočni Mostar,Ž,incomplete_elementary,20
2013,Broj,Istočni Stari Grad,Oba pola,incomplete_elementary,133
2013,Broj,Istočni Stari Grad,M,incomplete_elementary,29
2013,Broj,Istočni Stari Grad,Ž,incomplete_elementary,104
2013,Broj,Istočno Novo Sarajevo,Oba pola,incomplete_elementary,454
2013,Broj,Istočno Novo Sarajevo,M,incomplete_elementary,89
2013,Broj,Istočno Novo Sarajevo,Ž,incomplete_elementary,365
2013,Broj,Jezero,Oba pola,incomplete_elementary,105
2013,Broj,Jezero,M,incomplete_elementary,39
2013,Broj,Jezero,Ž,incomplete_elementary,66
2013,Broj,Kalinovik,Oba pola,incomplete_elementary,175
2013,Broj,Kalinovik,M,incomplete_elementary,48
2013,Broj,Kalinovik,Ž,incomplete_elementary,127
2013,Broj,Kneževo,Oba pola,incomplete_elementary,752
2013,Broj,Kneževo,M,incomplete_elementary,318
2013,Broj,Kneževo,Ž,incomplete_elementary,434
2013,Broj,Kozarska Dubica,Oba pola,incomplete_elementary,1894
2013,Broj,Kozarska Dubica,M,incomplete_elementary,683
2013,Broj,Kozarska Dubica,Ž,incomplete_elementary,1211
2013,Broj,Kostajnica,Oba pola,incomplete_elementary,387
2013,Broj,Kostajnica,M,incomplete_elementary,132
2013,Broj,Kostajnica,Ž,incomplete_elementary,255
2013,Broj,Kotor Varoš,Oba pola,incomplete_elementary,1183
2013,Broj,Kotor Varoš,M,incomplete_elementary,391
2013,Broj,Kotor Varoš,Ž,incomplete_elementary,792
2013,Broj,Krupa Na Uni,Oba pola,incomplete_elementary,316
2013,Broj,Krupa Na Uni,M,incomplete_elementary,165
2013,Broj,Krupa Na Uni,Ž,incomplete_elementary,151
2013,Broj,Kupres,Oba pola,incomplete_elementary,19
2013,Broj,Kupres,M,incomplete_elementary,9
2013,Broj,Kupres,Ž,incomplete_elementary,10
2013,Broj,Laktaši,Oba pola,incomplete_elementary,2504
2013,Broj,Laktaši,M,incomplete_elementary,946
2013,Broj,Laktaši,Ž,incomplete_elementary,1558
2013,Broj,Lopare,Oba pola,incomplete_elementary,2118
2013,Broj,Lopare,M,incomplete_elementary,943
2013,Broj,Lopare,Ž,incomplete_elementary,1175
2013,Broj,Ljubinje,Oba pola,incomplete_elementary,275
2013,Broj,Ljubinje,M,incomplete_elementary,64
2013,Broj,Ljubinje,Ž,incomplete_elementary,211
2013,Broj,Milići,Oba pola,incomplete_elementary,729
2013,Broj,Milići,M,incomplete_elementary,217
2013,Broj,Milići,Ž,incomplete_elementary,512
2013,Broj,Modriča,Oba pola,incomplete_elementary,2912
2013,Broj,Modriča,M,incomplete_elementary,1049
2013,Broj,Modriča,Ž,incomplete_elementary,1863
2013,Broj,Mrkonjić Grad,Oba pola,incomplete_elementary,1769
2013,Broj,Mrkonjić Grad,M,incomplete_elementary,777
2013,Broj,Mrkonjić Grad,Ž,incomplete_elementary,992
2013,Broj,Nevesinje,Oba pola,incomplete_elementary,1048
2013,Broj,Nevesinje,M,incomplete_elementary,265
2013,Broj,Nevesinje,Ž,incomplete_elementary,783
2013,Broj,Novi Grad,Oba pola,incomplete_elementary,2172
2013,Broj,Novi Grad,M,incomplete_elementary,757
2013,Broj,Novi Grad,Ž,incomplete_elementary,1415
2013,Broj,Novo Goražde,Oba pola,incomplete_elementary,162
2013,Broj,Novo Goražde,M,incomplete_elementary,52
2013,Broj,Novo Goražde,Ž,incomplete_elementary,110
2013,Broj,Osmaci,Oba pola,incomplete_elementary,552
2013,Broj,Osmaci,M,incomplete_elementary,172
2013,Broj,Osmaci,Ž,incomplete_elementary,380
2013,Broj,Oštra Luka,Oba pola,incomplete_elementary,352
2013,Broj,Oštra Luka,M,incomplete_elementary,154
2013,Broj,Oštra Luka,Ž,incomplete_elementary,198
2013,Broj,Pale,Oba pola,incomplete_elementary,986
2013,Broj,Pale,M,incomplete_elementary,214
2013,Broj,Pale,Ž,incomplete_elementary,772
2013,Broj,Pelagićevo,Oba pola,incomplete_elementary,1081
2013,Broj,Pelagićevo,M,incomplete_elementary,459
2013,Broj,Pelagićevo,Ž,incomplete_elementary,622
2013,Broj,Petrovac,Oba pola,incomplete_elementary,28
2013,Broj,Petrovac,M,incomplete_elementary,4
2013,Broj,Petrovac,Ž,incomplete_elementary,24
2013,Broj,Petrovo,Oba pola,incomplete_elementary,733
2013,Broj,Petrovo,M,incomplete_elementary,180
2013,Broj,Petrovo,Ž,incomplete_elementary,553
2013,Broj,Grad Prijedor,Oba pola,incomplete_elementary,6219
2013,Broj,Grad Prijedor,M,incomplete_elementary,1948
2013,Broj,Grad Prijedor,Ž,incomplete_elementary,4271
2013,Broj,Prnjavor,Oba pola,incomplete_elementary,4458
2013,Broj,Prnjavor,M,incomplete_elementary,1948
2013,Broj,Prnjavor,Ž,incomplete_elementary,2510
2013,Broj,Ribnik,Oba pola,incomplete_elementary,641
2013,Broj,Ribnik,M,incomplete_elementary,249
2013,Broj,Ribnik,Ž,incomplete_elementary,392
2013,Broj,Rogatica,Oba pola,incomplete_elementary,799
2013,Broj,Rogatica,M,incomplete_elementary,239
2013,Broj,Rogatica,Ž,incomplete_elementary,560
2013,Broj,Rudo,Oba pola,incomplete_elementary,719
2013,Broj,Rudo,M,incomplete_elementary,197
2013,Broj,Rudo,Ž,incomplete_elementary,522
2013,Broj,Sokolac,Oba pola,incomplete_elementary,747
2013,Broj,Sokolac,M,incomplete_elementary,207
2013,Broj,Sokolac,Ž,incomplete_elementary,540
2013,Broj,Srbac,Oba pola,incomplete_elementary,2023
2013,Broj,Srbac,M,incomplete_elementary,857
2013,Broj,Srbac,Ž,incomplete_elementary,1166
2013,Broj,Srebrenica,Oba pola,incomplete_elementary,1086
2013,Broj,Srebrenica,M,incomplete_elementary,308
2013,Broj,Srebrenica,Ž,incomplete_elementary,778
2013,Broj,Teslić,Oba pola,incomplete_elementary,4433
2013,Broj,Teslić,M,incomplete_elementary,1551
2013,Broj,Teslić,Ž,incomplete_elementary,2882
2013,Broj,Grad Trebinje,Oba pola,incomplete_elementary,1156
2013,Broj,Grad Trebinje,M,incomplete_elementary,210
2013,Broj,Grad Trebinje,Ž,incomplete_elementary,946
2013,Broj,Trnovo,Oba pola,incomplete_elementary,151
2013,Broj,Trnovo,M,incomplete_elementary,36
2013,Broj,Trnovo,Ž,incomplete_elementary,115
2013,Broj,Ugljevik,Oba pola,incomplete_elementary,1829
2013,Broj,Ugljevik,M,incomplete_elementary,734
2013,Broj,Ugljevik,Ž,incomplete_elementary,1095
2013,Broj,Foča,Oba pola,incomplete_elementary,1301
2013,Broj,Foča,M,incomplete_elementary,346
2013,Broj,Foča,Ž,incomplete_elementary,955
2013,Broj,Han Pijesak,Oba pola,incomplete_elementary,258
2013,Broj,Han Pijesak,M,incomplete_elementary,61
2013,Broj,Han Pijesak,Ž,incomplete_elementary,197
2013,Broj,Čajniče,Oba pola,incomplete_elementary,474
2013,Broj,Čajniče,M,incomplete_elementary,149
2013,Broj,Čajniče,Ž,incomplete_elementary,325
2013,Broj,Čelinac,Oba pola,incomplete_elementary,1317
2013,Broj,Čelinac,M,incomplete_elementary,474
2013,Broj,Čelinac,Ž,incomplete_elementary,843
2013,Broj,Šamac,Oba pola,incomplete_elementary,2046
2013,Broj,Šamac,M,incomplete_elementary,731
2013,Broj,Šamac,Ž,incomplete_elementary,1315
2013,Broj,Šekovići,Oba pola,incomplete_elementary,453
2013,Broj,Šekovići,M,incomplete_elementary,181
2013,Broj,Šekovići,Ž,incomplete_elementary,272
2013,Broj,Šipovo,Oba pola,incomplete_elementary,908
2013,Broj,Šipovo,M,incomplete_elementary,351
2013,Broj,Šipovo,Ž,incomplete_elementary,557
2013,Broj,Republika Srpska,Oba pola,elementary_education,212834
2013,Broj,Republika Srpska,M,elementary_education,95682
2013,Broj,Republika Srpska,Ž,elementary_education,117152
2013,Broj,Grad Banja Luka,Oba pola,elementary_education,23011
2013,Broj,Grad Banja Luka,M,elementary_education,9927
2013,Broj,Grad Banja Luka,Ž,elementary_education,13084
2013,Broj,Berkovići,Oba pola,elementary_education,430
2013,Broj,Berkovići,M,elementary_education,221
2013,Broj,Berkovići,Ž,elementary_education,209
2013,Broj,Grad Bijeljina,Oba pola,elementary_education,18771
2013,Broj,Grad Bijeljina,M,elementary_education,8590
2013,Broj,Grad Bijeljina,Ž,elementary_education,10181
2013,Broj,Bileća,Oba pola,elementary_education,1951
2013,Broj,Bileća,M,elementary_education,867
2013,Broj,Bileća,Ž,elementary_education,1084
2013,Broj,Bratunac,Oba pola,elementary_education,3893
2013,Broj,Bratunac,M,elementary_education,1769
2013,Broj,Bratunac,Ž,elementary_education,2124
2013,Broj,Brod,Oba pola,elementary_education,2986
2013,Broj,Brod,M,elementary_education,1248
2013,Broj,Brod,Ž,elementary_education,1738
2013,Broj,Višegrad,Oba pola,elementary_education,1626
2013,Broj,Višegrad,M,elementary_education,593
2013,Broj,Višegrad,Ž,elementary_education,1033
2013,Broj,Vlasenica,Oba pola,elementary_education,2268
2013,Broj,Vlasenica,M,elementary_education,993
2013,Broj,Vlasenica,Ž,elementary_education,1275
2013,Broj,Vukosavlje,Oba pola,elementary_education,999
2013,Broj,Vukosavlje,M,elementary_education,472
2013,Broj,Vukosavlje,Ž,elementary_education,527
2013,Broj,Gacko,Oba pola,elementary_education,1356
2013,Broj,Gacko,M,elementary_education,530
2013,Broj,Gacko,Ž,elementary_education,826
2013,Broj,Grad Gradiška,Oba pola,elementary_education,9626
2013,Broj,Grad Gradiška,M,elementary_education,4493
2013,Broj,Grad Gradiška,Ž,elementary_education,5133
2013,Broj,Grad Derventa,Oba pola,elementary_education,5260
2013,Broj,Grad Derventa,M,elementary_education,2463
2013,Broj,Grad Derventa,Ž,elementary_education,2797
2013,Broj,Grad Doboj,Oba pola,elementary_education,13403
2013,Broj,Grad Doboj,M,elementary_education,5750
2013,Broj,Grad Doboj,Ž,elementary_education,7653
2013,Broj,Donji Žabar,Oba pola,elementary_education,815
2013,Broj,Donji Žabar,M,elementary_education,408
2013,Broj,Donji Žabar,Ž,elementary_education,407
2013,Broj,Grad Zvornik,Oba pola,elementary_education,11440
2013,Broj,Grad Zvornik,M,elementary_education,5163
2013,Broj,Grad Zvornik,Ž,elementary_education,6277
2013,Broj,Istočna Ilidža,Oba pola,elementary_education,1676
2013,Broj,Istočna Ilidža,M,elementary_education,519
2013,Broj,Istočna Ilidža,Ž,elementary_education,1157
2013,Broj,Istočni Drvar,Oba pola,elementary_education,9
2013,Broj,Istočni Drvar,M,elementary_education,2
2013,Broj,Istočni Drvar,Ž,elementary_education,7
2013,Broj,Istočni Mostar,Oba pola,elementary_education,38
2013,Broj,Istočni Mostar,M,elementary_education,24
2013,Broj,Istočni Mostar,Ž,elementary_education,14
2013,Broj,Istočni Stari Grad,Oba pola,elementary_education,166
2013,Broj,Istočni Stari Grad,M,elementary_education,75
2013,Broj,Istočni Stari Grad,Ž,elementary_education,91
2013,Broj,Istočno Novo Sarajevo,Oba pola,elementary_education,1087
2013,Broj,Istočno Novo Sarajevo,M,elementary_education,356
2013,Broj,Istočno Novo Sarajevo,Ž,elementary_education,731
2013,Broj,Jezero,Oba pola,elementary_education,236
2013,Broj,Jezero,M,elementary_education,109
2013,Broj,Jezero,Ž,elementary_education,127
2013,Broj,Kalinovik,Oba pola,elementary_education,334
2013,Broj,Kalinovik,M,elementary_education,122
2013,Broj,Kalinovik,Ž,elementary_education,212
2013,Broj,Kneževo,Oba pola,elementary_education,1918
2013,Broj,Kneževo,M,elementary_education,990
2013,Broj,Kneževo,Ž,elementary_education,928
2013,Broj,Kozarska Dubica,Oba pola,elementary_education,3921
2013,Broj,Kozarska Dubica,M,elementary_education,1839
2013,Broj,Kozarska Dubica,Ž,elementary_education,2082
2013,Broj,Kostajnica,Oba pola,elementary_education,1117
2013,Broj,Kostajnica,M,elementary_education,486
2013,Broj,Kostajnica,Ž,elementary_education,631
2013,Broj,Kotor Varoš,Oba pola,elementary_education,3809
2013,Broj,Kotor Varoš,M,elementary_education,1797
2013,Broj,Kotor Varoš,Ž,elementary_education,2012
2013,Broj,Krupa Na Uni,Oba pola,elementary_education,524
2013,Broj,Krupa Na Uni,M,elementary_education,317
2013,Broj,Krupa Na Uni,Ž,elementary_education,207
2013,Broj,Kupres,Oba pola,elementary_education,53
2013,Broj,Kupres,M,elementary_education,33
2013,Broj,Kupres,Ž,elementary_education,20
2013,Broj,Laktaši,Oba pola,elementary_education,6602
2013,Broj,Laktaši,M,elementary_education,3078
2013,Broj,Laktaši,Ž,elementary_education,3524
2013,Broj,Lopare,Oba pola,elementary_education,3267
2013,Broj,Lopare,M,elementary_education,1670
2013,Broj,Lopare,Ž,elementary_education,1597
2013,Broj,Ljubinje,Oba pola,elementary_education,619
2013,Broj,Ljubinje,M,elementary_education,261
2013,Broj,Ljubinje,Ž,elementary_education,358
2013,Broj,Milići,Oba pola,elementary_education,2387
