Year,Pol,UNIT_MEASURE,Value
2003,M,Starost,28.3
2004,M,Starost,28.4
2005,M,Starost,28.6
2006,M,Starost,28.9
2007,M,Starost,28.9
2008,M,Starost,29.1
2009,M,Starost,29.1
2010,M,Starost,29.2
2011,M,Starost,29.5
2012,M,Starost,29.6
2013,M,Starost,29.9
2014,M,Starost,30.1
2015,M,Starost,30.0
2016,M,Starost,29.9
2017,M,Starost,30.2
2018,M,Starost,30.3
2019,M,Starost,30.2
2020,M,Starost,30.3
2021,M,Starost,30.4
2022,M,Starost,30.2
2003,Ž,Starost,24.7
2004,Ž,Starost,24.8
2005,Ž,Starost,25.0
2006,Ž,Starost,25.3
2007,Ž,Starost,25.4
2008,Ž,Starost,25.4
2009,Ž,Starost,25.8
2010,Ž,Starost,25.9
2011,Ž,Starost,26.1
2012,Ž,Starost,26.3
2013,Ž,Starost,26.6
2014,Ž,Starost,26.7
2015,Ž,Starost,26.6
2016,Ž,Starost,26.7
2017,Ž,Starost,27.0
2018,Ž,Starost,27.3
2019,Ž,Starost,27.2
2020,Ž,Starost,27.3
2021,Ž,Starost,27.5
2022,Ž,Starost,27.4
