Year,UNIT_MEASURE,Administrativna oblast,Pol,Pismenost,Value
2013,Broj,Novi Grad,Ž,Nepismen,560.0
2013,Broj,Novo Goražde,Ukupno,Nepismen,76.0
2013,Broj,Novo Goražde,M,Nepismen,5.0
2013,Broj,Novo Goražde,Ž,Nepismen,71.0
2013,Broj,Osmaci,Ukupno,Nepismen,264.0
2013,Broj,Osmaci,M,Nepismen,29.0
2013,Broj,Osmaci,Ž,Nepismen,235.0
2013,Broj,Oštra Luka,Ukupno,Nepismen,196.0
2013,Broj,Oštra Luka,M,Nepismen,32.0
2013,Broj,Oštra Luka,Ž,Nepismen,164.0
2013,Broj,Pale,Ukupno,Nepismen,293.0
2013,Broj,Pale,M,Nepismen,40.0
2013,Broj,Pale,Ž,Nepismen,253.0
2013,Broj,Pelagićevo,Ukupno,Nepismen,179.0
2013,Broj,Pelagićevo,M,Nepismen,29.0
2013,Broj,Pelagićevo,Ž,Nepismen,150.0
2013,Broj,Petrovac,Ukupno,Nepismen,6.0
2013,Broj,Petrovac,M,Nepismen,0.0
2013,Broj,Petrovac,Ž,Nepismen,6.0
2013,Broj,Petrovo,Ukupno,Nepismen,245.0
2013,Broj,Petrovo,M,Nepismen,28.0
2013,Broj,Petrovo,Ž,Nepismen,217.0
2013,Broj,Grad Prijedor,Ukupno,Nepismen,2172.0
2013,Broj,Grad Prijedor,M,Nepismen,422.0
2013,Broj,Grad Prijedor,Ž,Nepismen,1750.0
2013,Broj,Prnjavor,Ukupno,Nepismen,1408.0
2013,Broj,Prnjavor,M,Nepismen,203.0
2013,Broj,Prnjavor,Ž,Nepismen,1205.0
2013,Broj,Ribnik,Ukupno,Nepismen,456.0
2013,Broj,Ribnik,M,Nepismen,69.0
2013,Broj,Ribnik,Ž,Nepismen,387.0
2013,Broj,Rogatica,Ukupno,Nepismen,351.0
2013,Broj,Rogatica,M,Nepismen,38.0
2013,Broj,Rogatica,Ž,Nepismen,313.0
2013,Broj,Rudo,Ukupno,Nepismen,155.0
2013,Broj,Rudo,M,Nepismen,27.0
2013,Broj,Rudo,Ž,Nepismen,128.0
2013,Broj,Sokolac,Ukupno,Nepismen,231.0
2013,Broj,Sokolac,M,Nepismen,25.0
2013,Broj,Sokolac,Ž,Nepismen,206.0
2013,Broj,Srbac,Ukupno,Nepismen,539.0
2013,Broj,Srbac,M,Nepismen,102.0
2013,Broj,Srbac,Ž,Nepismen,437.0
2013,Broj,Srebrenica,Ukupno,Nepismen,627.0
2013,Broj,Srebrenica,M,Nepismen,64.0
2013,Broj,Srebrenica,Ž,Nepismen,563.0
2013,Broj,Teslić,Ukupno,Nepismen,1980.0
2013,Broj,Teslić,M,Nepismen,227.0
2013,Broj,Teslić,Ž,Nepismen,1753.0
2013,Broj,Grad Trebinje,Ukupno,Nepismen,237.0
2013,Broj,Grad Trebinje,M,Nepismen,31.0
2013,Broj,Grad Trebinje,Ž,Nepismen,206.0
2013,Broj,Trnovo,Ukupno,Nepismen,76.0
2013,Broj,Trnovo,M,Nepismen,10.0
2013,Broj,Trnovo,Ž,Nepismen,66.0
2013,Broj,Ugljevik,Ukupno,Nepismen,451.0
2013,Broj,Ugljevik,M,Nepismen,68.0
2013,Broj,Ugljevik,Ž,Nepismen,383.0
2013,Broj,Foča,Ukupno,Nepismen,391.0
2013,Broj,Foča,M,Nepismen,51.0
2013,Broj,Foča,Ž,Nepismen,340.0
2013,Broj,Han Pijesak,Ukupno,Nepismen,88.0
2013,Broj,Han Pijesak,M,Nepismen,10.0
2013,Broj,Han Pijesak,Ž,Nepismen,78.0
2013,Broj,Čajniče,Ukupno,Nepismen,140.0
2013,Broj,Čajniče,M,Nepismen,22.0
2013,Broj,Čajniče,Ž,Nepismen,118.0
2013,Broj,Čelinac,Ukupno,Nepismen,472.0
2013,Broj,Čelinac,M,Nepismen,56.0
2013,Broj,Čelinac,Ž,Nepismen,416.0
2013,Broj,Šamac,Ukupno,Nepismen,300.0
2013,Broj,Šamac,M,Nepismen,55.0
2013,Broj,Šamac,Ž,Nepismen,245.0
2013,Broj,Šekovići,Ukupno,Nepismen,427.0
2013,Broj,Šekovići,M,Nepismen,83.0
2013,Broj,Šekovići,Ž,Nepismen,344.0
2013,Broj,Šipovo,Ukupno,Nepismen,431.0
2013,Broj,Šipovo,M,Nepismen,49.0
2013,Broj,Šipovo,Ž,Nepismen,382.0
2013,% od ukupno,Republika Srpska,Ukupno,Nepismen,3.29
2013,% od ukupno,Republika Srpska,M,Nepismen,0.97
2013,% od ukupno,Republika Srpska,Ž,Nepismen,5.48
2013,% od ukupno,Grad Banja Luka,Ukupno,Nepismen,2.16
2013,% od ukupno,Grad Banja Luka,M,Nepismen,0.66
2013,% od ukupno,Grad Banja Luka,Ž,Nepismen,3.53
2013,% od ukupno,Berkovići,Ukupno,Nepismen,2.58
2013,% od ukupno,Berkovići,M,Nepismen,0.11
2013,% od ukupno,Berkovići,Ž,Nepismen,5.07
2013,% od ukupno,Grad Bijeljina,Ukupno,Nepismen,2.7
2013,% od ukupno,Grad Bijeljina,M,Nepismen,0.9
2013,% od ukupno,Grad Bijeljina,Ž,Nepismen,4.4
2013,% od ukupno,Bileća,Ukupno,Nepismen,1.49
2013,% od ukupno,Bileća,M,Nepismen,0.64
2013,% od ukupno,Bileća,Ž,Nepismen,2.35
2013,% od ukupno,Bratunac,Ukupno,Nepismen,5.16
2013,% od ukupno,Bratunac,M,Nepismen,1.0
2013,% od ukupno,Bratunac,Ž,Nepismen,9.17
2013,% od ukupno,Brod,Ukupno,Nepismen,2.31
2013,% od ukupno,Brod,M,Nepismen,0.77
2013,% od ukupno,Brod,Ž,Nepismen,3.76
2013,% od ukupno,Višegrad,Ukupno,Nepismen,3.82
2013,% od ukupno,Višegrad,M,Nepismen,0.78
2013,% od ukupno,Višegrad,Ž,Nepismen,6.59
2013,% od ukupno,Vlasenica,Ukupno,Nepismen,3.63
2013,% od ukupno,Vlasenica,M,Nepismen,1.05
2013,% od ukupno,Vlasenica,Ž,Nepismen,6.04
2013,% od ukupno,Vukosavlje,Ukupno,Nepismen,4.96
2013,% od ukupno,Vukosavlje,M,Nepismen,1.57
2013,% od ukupno,Vukosavlje,Ž,Nepismen,8.35
2013,% od ukupno,Gacko,Ukupno,Nepismen,1.4
2013,% od ukupno,Gacko,M,Nepismen,0.25
2013,% od ukupno,Gacko,Ž,Nepismen,2.58
2013,% od ukupno,Grad Gradiška,Ukupno,Nepismen,3.39
2013,% od ukupno,Grad Gradiška,M,Nepismen,0.94
2013,% od ukupno,Grad Gradiška,Ž,Nepismen,5.71
2013,% od ukupno,Grad Derventa,Ukupno,Nepismen,3.44
2013,% od ukupno,Grad Derventa,M,Nepismen,1.05
2013,% od ukupno,Grad Derventa,Ž,Nepismen,5.69
2013,% od ukupno,Grad Doboj,Ukupno,Nepismen,3.19
2013,% od ukupno,Grad Doboj,M,Nepismen,0.9
2013,% od ukupno,Grad Doboj,Ž,Nepismen,5.33
2013,% od ukupno,Donji Žabar,Ukupno,Nepismen,3.82
2013,% od ukupno,Donji Žabar,M,Nepismen,1.54
2013,% od ukupno,Donji Žabar,Ž,Nepismen,6.12
2013,% od ukupno,Grad Zvornik,Ukupno,Nepismen,4.23
2013,% od ukupno,Grad Zvornik,M,Nepismen,1.03
2013,% od ukupno,Grad Zvornik,Ž,Nepismen,7.32
2013,% od ukupno,Istočna Ilidža,Ukupno,Nepismen,1.3
2013,% od ukupno,Istočna Ilidža,M,Nepismen,0.35
2013,% od ukupno,Istočna Ilidža,Ž,Nepismen,2.17
2013,% od ukupno,Istočni Drvar,Ukupno,Nepismen,3.08
2013,% od ukupno,Istočni Drvar,M,Nepismen,0.0
2013,% od ukupno,Istočni Drvar,Ž,Nepismen,9.09
2013,% od ukupno,Istočni Mostar,Ukupno,Nepismen,8.41
2013,% od ukupno,Istočni Mostar,M,Nepismen,0.78
2013,% od ukupno,Istočni Mostar,Ž,Nepismen,18.37
2013,% od ukupno,Istočni Stari Grad,Ukupno,Nepismen,3.87
2013,% od ukupno,Istočni Stari Grad,M,Nepismen,0.59
2013,% od ukupno,Istočni Stari Grad,Ž,Nepismen,7.01
2013,% od ukupno,Istočno Novo Sarajevo,Ukupno,Nepismen,0.86
2013,% od ukupno,Istočno Novo Sarajevo,M,Nepismen,0.32
2013,% od ukupno,Istočno Novo Sarajevo,Ž,Nepismen,1.35
2013,% od ukupno,Jezero,Ukupno,Nepismen,4.52
2013,% od ukupno,Jezero,M,Nepismen,1.42
2013,% od ukupno,Jezero,Ž,Nepismen,7.84
2013,% od ukupno,Kalinovik,Ukupno,Nepismen,4.66
2013,% od ukupno,Kalinovik,M,Nepismen,0.56
2013,% od ukupno,Kalinovik,Ž,Nepismen,8.53
2013,% od ukupno,Kneževo,Ukupno,Nepismen,11.35
2013,% od ukupno,Kneževo,M,Nepismen,3.47
2013,% od ukupno,Kneževo,Ž,Nepismen,18.97
2013,% od ukupno,Kozarska Dubica,Ukupno,Nepismen,3.09
2013,% od ukupno,Kozarska Dubica,M,Nepismen,0.83
2013,% od ukupno,Kozarska Dubica,Ž,Nepismen,5.24
