Year,UNIT_MEASURE,Spol,Value
2016,Broj,Oba spola,47
2017,Broj,Oba spola,54
2018,Broj,Oba spola,43
2019,Broj,Oba spola,42
2020,Broj,Oba spola,64
2016,Broj,M,20
2017,Broj,M,37
2018,Broj,M,28
2019,Broj,M,26
2020,Broj,M,34
2016,Broj,Ž,27
2017,Broj,Ž,17
2018,Broj,Ž,15
2019,Broj,Ž,16
2020,Broj,Ž,30
