Year,UNIT_MEASURE,Pol,AGE,Value
2013,Broj,Ž,23,6608
2013,Broj,Ž,24,6953
2013,Broj,Ž,25,7277
2013,Broj,Ž,26,7295
2013,Broj,Ž,27,7557
2013,Broj,Ž,28,7464
2013,Broj,Ž,29,8001
2013,Broj,Ž,30,7850
2013,Broj,Ž,31,8007
2013,Broj,Ž,32,7943
2013,Broj,Ž,33,7992
2013,Broj,Ž,34,7871
2013,Broj,Ž,35,7838
2013,Broj,Ž,36,7946
2013,Broj,Ž,37,8161
2013,Broj,Ž,38,7830
2013,Broj,Ž,39,7549
2013,Broj,Ž,40,7525
2013,Broj,Ž,41,7626
2013,Broj,Ž,42,7369
2013,Broj,Ž,43,7069
2013,Broj,Ž,44,7390
2013,Broj,Ž,45,7704
2013,Broj,Ž,46,8162
2013,Broj,Ž,47,8329
2013,Broj,Ž,48,8650
2013,Broj,Ž,49,8543
2013,Broj,Ž,50,8798
2013,Broj,Ž,51,9356
2013,Broj,Ž,52,9315
2013,Broj,Ž,53,9376
2013,Broj,Ž,54,9996
2013,Broj,Ž,55,9355
2013,Broj,Ž,56,9148
2013,Broj,Ž,57,9751
2013,Broj,Ž,58,10011
2013,Broj,Ž,59,9904
2013,Broj,Ž,60,10164
2013,Broj,Ž,61,9610
2013,Broj,Ž,62,8614
2013,Broj,Ž,63,8773
2013,Broj,Ž,64,8623
2013,Broj,Ž,65,7638
2013,Broj,Ž,66,8041
2013,Broj,Ž,67,6388
2013,Broj,Ž,68,5336
2013,Broj,Ž,69,5333
2013,Broj,Ž,70,5554
2013,Broj,Ž,71,5745
2013,Broj,Ž,72,6654
2013,Broj,Ž,73,7046
2013,Broj,Ž,74,6624
2013,Broj,Ž,75,6516
2013,Broj,Ž,76,6141
2013,Broj,Ž,77,5980
2013,Broj,Ž,78,5236
2013,Broj,Ž,79,4903
2013,Broj,Ž,80,4110
2013,Broj,Ž,81,3688
2013,Broj,Ž,82,3038
2013,Broj,Ž,83,2900
2013,Broj,Ž,84,2222
2013,Broj,Ž,85+,7700
