Year,UNIT_MEASURE,Pol,Value
2015,Broj,Ukupno,37390
2015,Broj,M,16408
2015,Broj,Ž,20982
2016,Broj,Ukupno,34792
2016,Broj,M,15115
2016,Broj,Ž,19677
2017,Broj,Ukupno,31850
2017,Broj,M,13740
2017,Broj,Ž,18110
2018,Broj,Ukupno,29006
2018,Broj,M,12235
2018,Broj,Ž,16771
2019,Broj,Ukupno,26980
2019,Broj,M,11102
2019,Broj,Ž,15878
2020,Broj,Ukupno,25735
2020,Broj,M,10677
2020,Broj,Ž,15058
2021,Broj,Ukupno,24807
2021,Broj,M,9952
2021,Broj,Ž,14855
2022,Broj,Ukupno,24267
2022,Broj,M,9478
2022,Broj,Ž,14789
2023,Broj,Ukupno,23709
2023,Broj,M,9055
2023,Broj,Ž,14654
