Year,UNIT_MEASURE,Value
2003,Stopa nataliteta na 1.000 stanovnika,5.7
2004,Stopa nataliteta na 1.000 stanovnika,6.0
2005,Stopa nataliteta na 1.000 stanovnika,5.7
2006,Stopa nataliteta na 1.000 stanovnika,5.8
2007,Stopa nataliteta na 1.000 stanovnika,6.0
2008,Stopa nataliteta na 1.000 stanovnika,5.4
2009,Stopa nataliteta na 1.000 stanovnika,5.2
2010,Stopa nataliteta na 1.000 stanovnika,4.9
2011,Stopa nataliteta na 1.000 stanovnika,4.9
2012,Stopa nataliteta na 1.000 stanovnika,4.5
2013,Stopa nataliteta na 1.000 stanovnika,4.7
2014,Stopa nataliteta na 1.000 stanovnika,5.0
2015,Stopa nataliteta na 1.000 stanovnika,5.1
2016,Stopa nataliteta na 1.000 stanovnika,4.8
2017,Stopa nataliteta na 1.000 stanovnika,5.2
2018,Stopa nataliteta na 1.000 stanovnika,5.2
2019,Stopa nataliteta na 1.000 stanovnika,5.1
2020,Stopa nataliteta na 1.000 stanovnika,3.7
2021,Stopa nataliteta na 1.000 stanovnika,4.9
2022,Stopa nataliteta na 1.000 stanovnika,4.9
2023,Stopa nataliteta na 1.000 stanovnika,4.9
2024,Stopa nataliteta na 1.000 stanovnika,4.6
