Year,UNIT_MEASURE,Value
2003,Broj na 1.000 živorođenih,3.5
2004,Broj na 1.000 živorođenih,3.3
2005,Broj na 1.000 živorođenih,3.9
2006,Broj na 1.000 živorođenih,2.6
2007,Broj na 1.000 živorođenih,3.9
2008,Broj na 1.000 živorođenih,3.3
2009,Broj na 1.000 živorođenih,3.0
2010,Broj na 1.000 živorođenih,4.0
2011,Broj na 1.000 živorođenih,3.0
2012,Broj na 1.000 živorođenih,3.8
2013,Broj na 1.000 živorođenih,3.9
2014,Broj na 1.000 živorođenih,2.4
2015,Broj na 1.000 živorođenih,1.8
2016,Broj na 1.000 živorođenih,1.6
2017,Broj na 1.000 živorođenih,1.8
2018,Broj na 1.000 živorođenih,1.9
2019,Broj na 1.000 živorođenih,1.4
2020,Broj na 1.000 živorođenih,1.6
2021,Broj na 1.000 živorođenih,1.9
2022,Broj na 1.000 živorođenih,2.6
2023,Broj na 1.000 živorođenih,2.1
2024,Broj na 1.000 živorođenih,1.6
