Year,UNIT_MEASURE,Vrsta ustanove,Value
2016,Broj,Ukupno,132
2016,Broj,Javna,82
2016,Broj,Privatna,50
2017,Broj,Ukupno,132
2017,Broj,Javna,84
2017,Broj,Privatna,48
2018,Broj,Ukupno,161
2018,Broj,Javna,88
2018,Broj,Privatna,73
2019,Broj,Ukupno,174
2019,Broj,Javna,91
2019,Broj,Privatna,83
2020,Broj,Ukupno,177
2020,Broj,Javna,95
2020,Broj,Privatna,82
2021,Broj,Ukupno,189
2021,Broj,Javna,101
2021,Broj,Privatna,88
2022,Broj,Ukupno,200
2022,Broj,Javna,100
2022,Broj,Privatna,100
2023,Broj,Ukupno,228
2023,Broj,Javna,121
2023,Broj,Privatna,107
2024,Broj,Ukupno,231
2024,Broj,Javna,123
2024,Broj,Privatna,108
