Year,UNIT_MEASURE,Pol,Value
2016,Broj,Ukupno,5474
2016,Broj,M,2289
2016,Broj,Ž,3185
2017,Broj,Ukupno,5081
2017,Broj,M,2145
2017,Broj,Ž,2936
2018,Broj,Ukupno,4564
2018,Broj,M,1843
2018,Broj,Ž,2721
2019,Broj,Ukupno,4144
2019,Broj,M,1688
2019,Broj,Ž,2456
2020,Broj,Ukupno,4184
2020,Broj,M,1665
2020,Broj,Ž,2519
2021,Broj,Ukupno,3585
2021,Broj,M,1481
2021,Broj,Ž,2104
2022,Broj,Ukupno,3386
2022,Broj,M,1336
2022,Broj,Ž,2050
2023,Broj,Ukupno,3102
2023,Broj,M,1206
2023,Broj,Ž,1896
2024,Broj,Ukupno,3035
2024,Broj,M,1123
2024,Broj,Ž,1912
