Year,UNIT_MEASURE,Type of users,Value
2016,Number,Number of users,23202
2017,Number,Number of users,20279
2018,Number,Number of users,21839
2019,Number,Number of users,15388
2020,Number,Number of users,13381
2016,Number,Number of children,33125
2017,Number,Number of children,28767
2018,Number,Number of children,27222
2019,Number,Number of children,21862
2020,Number,Number of children,19210
2021,Number,Number of users,12033
2021,Number,Number of children,17395
2022,Number,Number of users,14627
2022,Number,Number of children,25011
2023,Number,Number of users,14882
2023,Number,Number of children,25972
2024,Number,Number of users,13484
2024,Number,Number of children,23073
