Year,UNIT_MEASURE,Spol,Starosna dob,Value
2021.0,Broj,Oba spola,Ukupno,1170342.0
2021.0,Broj,Oba spola,0,10089.0
2021.0,Broj,Oba spola,1,10442.0
2021.0,Broj,Oba spola,2,10534.0
2021.0,Broj,Oba spola,3,11066.0
2021.0,Broj,Oba spola,4,11274.0
2021.0,Broj,Oba spola,5,11077.0
2021.0,Broj,Oba spola,6,10671.0
2021.0,Broj,Oba spola,7,10633.0
2021.0,Broj,Oba spola,8,10851.0
2021.0,Broj,Oba spola,9,10844.0
2021.0,Broj,Oba spola,10,10926.0
2021.0,Broj,Oba spola,11,11066.0
2021.0,Broj,Oba spola,12,11776.0
2021.0,Broj,Oba spola,13,11732.0
2021.0,Broj,Oba spola,14,11826.0
2021.0,Broj,Oba spola,15,13345.0
2021.0,Broj,Oba spola,16,14990.0
2021.0,Broj,Oba spola,17,14239.0
2021.0,Broj,Oba spola,18,14376.0
2021.0,Broj,Oba spola,19,13865.0
2021.0,Broj,Oba spola,20,11430.0
2021.0,Broj,Oba spola,21,12311.0
2021.0,Broj,Oba spola,22,13731.0
2021.0,Broj,Oba spola,23,13757.0
2021.0,Broj,Oba spola,24,14134.0
2021.0,Broj,Oba spola,25,14918.0
2021.0,Broj,Oba spola,26,14929.0
2021.0,Broj,Oba spola,27,15102.0
2021.0,Broj,Oba spola,28,15505.0
2021.0,Broj,Oba spola,29,16299.0
2021.0,Broj,Oba spola,30,16049.0
2021.0,Broj,Oba spola,31,16274.0
2021.0,Broj,Oba spola,32,16078.0
2021.0,Broj,Oba spola,33,16134.0
2021.0,Broj,Oba spola,34,15937.0
2021.0,Broj,Oba spola,35,16090.0
2021.0,Broj,Oba spola,36,16223.0
2021.0,Broj,Oba spola,37,16713.0
2021.0,Broj,Oba spola,38,16000.0
2021.0,Broj,Oba spola,39,15562.0
2021.0,Broj,Oba spola,40,15478.0
2021.0,Broj,Oba spola,41,15702.0
2021.0,Broj,Oba spola,42,15096.0
2021.0,Broj,Oba spola,43,14324.0
2021.0,Broj,Oba spola,44,15083.0
2021.0,Broj,Oba spola,45,15473.0
2021.0,Broj,Oba spola,46,16484.0
2021.0,Broj,Oba spola,47,16760.0
2021.0,Broj,Oba spola,48,17206.0
2021.0,Broj,Oba spola,49,16887.0
2021.0,Broj,Oba spola,50,17318.0
2021.0,Broj,Oba spola,51,18447.0
2021.0,Broj,Oba spola,52,18388.0
2021.0,Broj,Oba spola,53,18473.0
2021.0,Broj,Oba spola,54,19374.0
2021.0,Broj,Oba spola,55,18079.0
2021.0,Broj,Oba spola,56,17697.0
2021.0,Broj,Oba spola,57,18915.0
2021.0,Broj,Oba spola,58,19477.0
2021.0,Broj,Oba spola,59,19290.0
2021.0,Broj,Oba spola,60,19555.0
2021.0,Broj,Oba spola,61,18341.0
2021.0,Broj,Oba spola,62,16472.0
2021.0,Broj,Oba spola,63,16560.0
2021.0,Broj,Oba spola,64,16276.0
2021.0,Broj,Oba spola,65,14108.0
2021.0,Broj,Oba spola,66,14936.0
2021.0,Broj,Oba spola,67,11677.0
2021.0,Broj,Oba spola,68,9659.0
2021.0,Broj,Oba spola,69,9693.0
2021.0,Broj,Oba spola,70,9614.0
2021.0,Broj,Oba spola,71,10112.0
2021.0,Broj,Oba spola,72,11718.0
2021.0,Broj,Oba spola,73,12226.0
2021.0,Broj,Oba spola,74,11478.0
2021.0,Broj,Oba spola,75,11208.0
2021.0,Broj,Oba spola,76,10446.0
2021.0,Broj,Oba spola,77,9853.0
2021.0,Broj,Oba spola,78,8546.0
2021.0,Broj,Oba spola,79,7984.0
2021.0,Broj,Oba spola,80,6632.0
2021.0,Broj,Oba spola,81,5944.0
2021.0,Broj,Oba spola,82,4871.0
2021.0,Broj,Oba spola,83,4589.0
2021.0,Broj,Oba spola,84,3530.0
2021.0,Broj,Oba spola,85+,11565.0
2021.0,Broj,M,Ukupno,571812.0
2021.0,Broj,M,0,5148.0
2021.0,Broj,M,1,5271.0
2021.0,Broj,M,2,5457.0
2021.0,Broj,M,3,5629.0
2021.0,Broj,M,4,5888.0
2021.0,Broj,M,5,5718.0
2021.0,Broj,M,6,5394.0
2021.0,Broj,M,7,5416.0
2021.0,Broj,M,8,5603.0
2021.0,Broj,M,9,5585.0
2021.0,Broj,M,10,5626.0
2021.0,Broj,M,11,5697.0
2021.0,Broj,M,12,6082.0
2021.0,Broj,M,13,6005.0
2021.0,Broj,M,14,6001.0
2021.0,Broj,M,15,6951.0
2021.0,Broj,M,16,7691.0
2021.0,Broj,M,17,7238.0
2021.0,Broj,M,18,7415.0
2021.0,Broj,M,19,7282.0
2021.0,Broj,M,20,5999.0
2021.0,Broj,M,21,6376.0
2021.0,Broj,M,22,7188.0
2021.0,Broj,M,23,7149.0
2021.0,Broj,M,24,7181.0
2021.0,Broj,M,25,7641.0
2021.0,Broj,M,26,7634.0
2021.0,Broj,M,27,7545.0
2021.0,Broj,M,28,8041.0
2021.0,Broj,M,29,8298.0
2021.0,Broj,M,30,8199.0
2021.0,Broj,M,31,8267.0
2021.0,Broj,M,32,8135.0
2021.0,Broj,M,33,8142.0
2021.0,Broj,M,34,8066.0
2021.0,Broj,M,35,8252.0
2021.0,Broj,M,36,8277.0
2021.0,Broj,M,37,8552.0
2021.0,Broj,M,38,8170.0
2021.0,Broj,M,39,8013.0
2021.0,Broj,M,40,7953.0
2021.0,Broj,M,41,8076.0
