Year,Value,UNIT_MEASURE
2003,5.7,Стопа наталитета на 1.000 становника
2004,6.0,Стопа наталитета на 1.000 становника
2005,5.7,Стопа наталитета на 1.000 становника
2006,5.8,Стопа наталитета на 1.000 становника
2007,6.0,Стопа наталитета на 1.000 становника
2008,5.4,Стопа наталитета на 1.000 становника
2009,5.2,Стопа наталитета на 1.000 становника
2010,4.9,Стопа наталитета на 1.000 становника
2011,4.9,Стопа наталитета на 1.000 становника
2012,4.5,Стопа наталитета на 1.000 становника
2013,4.7,Стопа наталитета на 1.000 становника
2014,5.0,Стопа наталитета на 1.000 становника
2015,5.1,Стопа наталитета на 1.000 становника
2016,4.8,Стопа наталитета на 1.000 становника
2017,5.2,Стопа наталитета на 1.000 становника
2018,5.2,Стопа наталитета на 1.000 становника
2019,5.1,Стопа наталитета на 1.000 становника
2020,3.7,Стопа наталитета на 1.000 становника
