Year,Value,UNIT_MEASURE
2003,6.1,Број на 1.000 живорођених
2004,5.7,Број на 1.000 живорођених
2005,3.6,Број на 1.000 живорођених
2006,4.8,Број на 1.000 живорођених
2007,3.8,Број на 1.000 живорођених
2008,3.9,Број на 1.000 живорођених
2009,4.8,Број на 1.000 живорођених
2010,4.3,Број на 1.000 живорођених
2011,4.5,Број на 1.000 живорођених
2012,3.7,Број на 1.000 живорођених
2013,3.5,Број на 1.000 живорођених
2014,3.1,Број на 1.000 живорођених
2015,2.8,Број на 1.000 живорођених
2016,2.4,Број на 1.000 живорођених
2017,2.8,Број на 1.000 живорођених
2018,1.8,Број на 1.000 живорођених
2019,1.6,Број на 1.000 живорођених
2020,4.7,Број на 1.000 живорођених
2021,1.8,Број на 1.000 живорођених
