Year,Value,UNIT_MEASURE
2022	NUMBER	sipovo	M	15-19	222,,
2022	NUMBER	sipovo	F	15-19	250,,
2022	NUMBER	sokolac	_T	15-19	506,,
2022	NUMBER	sokolac	M	15-19	239,,
2022	NUMBER	sokolac	F	15-19	267,,
2022	NUMBER	srbac	_T	15-19	741,,
2022	NUMBER	srbac	M	15-19	365,,
2022	NUMBER	srbac	F	15-19	376,,
2022	NUMBER	srebrenica	_T	15-19	458,,
2022	NUMBER	srebrenica	M	15-19	229,,
2022	NUMBER	srebrenica	F	15-19	229,,
2022	NUMBER	stanari	_T	15-19	393,,
2022	NUMBER	stanari	M	15-19	169,,
2022	NUMBER	stanari	F	15-19	224,,
2022	NUMBER	teslic	_T	15-19	1883,,
2022	NUMBER	teslic	M	15-19	903,,
2022	NUMBER	teslic	F	15-19	980,,
2022	NUMBER	trnovo	_T	15-19	54,,
2022	NUMBER	trnovo	M	15-19	21,,
2022	NUMBER	trnovo	F	15-19	33,,
2022	NUMBER	ugljevik	_T	15-19	725,,
2022	NUMBER	ugljevik	M	15-19	360,,
2022	NUMBER	ugljevik	F	15-19	365,,
2022	NUMBER	visegrad	_T	15-19	387,,
2022	NUMBER	visegrad	M	15-19	199,,
2022	NUMBER	visegrad	F	15-19	188,,
2022	NUMBER	vlasenica	_T	15-19	504,,
2022	NUMBER	vlasenica	M	15-19	238,,
2022	NUMBER	vlasenica	F	15-19	266,,
2022	NUMBER	vukosavlje	_T	15-19	232,,
2022	NUMBER	vukosavlje	M	15-19	113,,
2022	NUMBER	vukosavlje	F	15-19	119,,
2022	NUMBER	berkovici	_T	20-24	104,,
2022	NUMBER	berkovici	M	20-24	51,,
2022	NUMBER	berkovici	F	20-24	53,,
2022	NUMBER	bileca	_T	20-24	657,,
2022	NUMBER	bileca	M	20-24	337,,
2022	NUMBER	bileca	F	20-24	320,,
2022	NUMBER	bratunac	_T	20-24	883,,
2022	NUMBER	bratunac	M	20-24	407,,
2022	NUMBER	bratunac	F	20-24	476,,
2022	NUMBER	brod	_T	20-24	791,,
2022	NUMBER	brod	M	20-24	360,,
2022	NUMBER	brod	F	20-24	431,,
2022	NUMBER	cajnice	_T	20-24	230,,
2022	NUMBER	cajnice	M	20-24	96,,
2022	NUMBER	cajnice	F	20-24	134,,
2022	NUMBER	celinac	_T	20-24	848,,
2022	NUMBER	celinac	M	20-24	383,,
2022	NUMBER	celinac	F	20-24	465,,
2022	NUMBER	donji_zabar	_T	20-24	164,,
2022	NUMBER	donji_zabar	M	20-24	81,,
2022	NUMBER	donji_zabar	F	20-24	83,,
2022	NUMBER	foca	_T	20-24	795,,
2022	NUMBER	foca	M	20-24	391,,
2022	NUMBER	foca	F	20-24	404,,
2022	NUMBER	gacko	_T	20-24	547,,
2022	NUMBER	gacko	M	20-24	239,,
2022	NUMBER	gacko	F	20-24	308,,
2022	NUMBER	grad_banja_luka	_T	20-24	9367,,
2022	NUMBER	grad_banja_luka	M	20-24	4534,,
2022	NUMBER	grad_banja_luka	F	20-24	4833,,
2022	NUMBER	grad_bijeljina	_T	20-24	5576,,
2022	NUMBER	grad_bijeljina	M	20-24	2697,,
2022	NUMBER	grad_bijeljina	F	20-24	2879,,
2022	NUMBER	grad_derventa	_T	20-24	1412,,
2022	NUMBER	grad_derventa	M	20-24	691,,
2022	NUMBER	grad_derventa	F	20-24	721,,
2022	NUMBER	grad_doboj	_T	20-24	3502,,
2022	NUMBER	grad_doboj	M	20-24	1683,,
2022	NUMBER	grad_doboj	F	20-24	1819,,
2022	NUMBER	grad_gradiska	_T	20-24	2528,,
2022	NUMBER	grad_gradiska	M	20-24	1221,,
2022	NUMBER	grad_gradiska	F	20-24	1307,,
2022	NUMBER	grad_prijedor	_T	20-24	3991,,
2022	NUMBER	grad_prijedor	M	20-24	1936,,
2022	NUMBER	grad_prijedor	F	20-24	2055,,
2022	NUMBER	grad_trebinje	_T	20-24	1558,,
2022	NUMBER	grad_trebinje	M	20-24	755,,
2022	NUMBER	grad_trebinje	F	20-24	803,,
2022	NUMBER	grad_zvornik	_T	20-24	2912,,
2022	NUMBER	grad_zvornik	M	20-24	1412,,
2022	NUMBER	grad_zvornik	F	20-24	1500,,
2022	NUMBER	han_pijesak	_T	20-24	139,,
2022	NUMBER	han_pijesak	M	20-24	71,,
2022	NUMBER	han_pijesak	F	20-24	68,,
2022	NUMBER	istocna_ilidza	_T	20-24	690,,
2022	NUMBER	istocna_ilidza	M	20-24	328,,
2022	NUMBER	istocna_ilidza	F	20-24	362,,
2022	NUMBER	istocni_drvar	_T	20-24	10,,
2022	NUMBER	istocni_drvar	M	20-24	4,,
2022	NUMBER	istocni_drvar	F	20-24	6,,
2022	NUMBER	istocni_mostar	_T	20-24	19,,
2022	NUMBER	istocni_mostar	M	20-24	9,,
2022	NUMBER	istocni_mostar	F	20-24	10,,
2022	NUMBER	istocni_stari_grad	_T	20-24	30,,
2022	NUMBER	istocni_stari_grad	M	20-24	13,,
2022	NUMBER	istocni_stari_grad	F	20-24	17,,
2022	NUMBER	istocno_novo_sarajevo	_T	20-24	613,,
2022	NUMBER	istocno_novo_sarajevo	M	20-24	303,,
2022	NUMBER	istocno_novo_sarajevo	F	20-24	310,,
2022	NUMBER	jezero	_T	20-24	49,,
2022	NUMBER	jezero	M	20-24	25,,
2022	NUMBER	jezero	F	20-24	24,,
2022	NUMBER	kalinovik	_T	20-24	64,,
2022	NUMBER	kalinovik	M	20-24	41,,
2022	NUMBER	kalinovik	F	20-24	23,,
2022	NUMBER	knezevo	_T	20-24	479,,
2022	NUMBER	knezevo	M	20-24	225,,
2022	NUMBER	knezevo	F	20-24	254,,
2022	NUMBER	kostajnica	_T	20-24	252,,
2022	NUMBER	kostajnica	M	20-24	125,,
2022	NUMBER	kostajnica	F	20-24	127,,
2022	NUMBER	kotor_varos	_T	20-24	1219,,
2022	NUMBER	kotor_varos	M	20-24	580,,
2022	NUMBER	kotor_varos	F	20-24	639,,
2022	NUMBER	kozarska_dubica	_T	20-24	929,,
2022	NUMBER	kozarska_dubica	M	20-24	437,,
2022	NUMBER	kozarska_dubica	F	20-24	492,,
2022	NUMBER	krupa_na_uni	_T	20-24	70,,
2022	NUMBER	krupa_na_uni	M	20-24	35,,
2022	NUMBER	krupa_na_uni	F	20-24	35,,
2022	NUMBER	kupres	_T	20-24	10,,
2022	NUMBER	kupres	M	20-24	2,,
2022	NUMBER	kupres	F	20-24	8,,
2022	NUMBER	laktasi	_T	20-24	1957,,
2022	NUMBER	laktasi	M	20-24	904,,
2022	NUMBER	laktasi	F	20-24	1053,,
2022	NUMBER	ljubinje	_T	20-24	154,,
2022	NUMBER	ljubinje	M	20-24	74,,
2022	NUMBER	ljubinje	F	20-24	80,,
2022	NUMBER	lopare	_T	20-24	689,,
2022	NUMBER	lopare	M	20-24	308,,
2022	NUMBER	lopare	F	20-24	381,,
2022	NUMBER	milici	_T	20-24	532,,
2022	NUMBER	milici	M	20-24	251,,
2022	NUMBER	milici	F	20-24	281,,
2022	NUMBER	modrica	_T	20-24	1395,,
2022	NUMBER	modrica	M	20-24	646,,
2022	NUMBER	modrica	F	20-24	749,,
2022	NUMBER	mrkonjic_grad	_T	20-24	830,,
2022	NUMBER	mrkonjic_grad	M	20-24	414,,
2022	NUMBER	mrkonjic_grad	F	20-24	416,,
2022	NUMBER	nevesinje	_T	20-24	703,,
2022	NUMBER	nevesinje	M	20-24	348,,
2022	NUMBER	nevesinje	F	20-24	355,,
2022	NUMBER	novi_grad	_T	20-24	1215,,
2022	NUMBER	novi_grad	M	20-24	531,,
2022	NUMBER	novi_grad	F	20-24	684,,
2022	NUMBER	novo_gorazde	_T	20-24	79,,
2022	NUMBER	novo_gorazde	M	20-24	43,,
2022	NUMBER	novo_gorazde	F	20-24	36,,
2022	NUMBER	osmaci	_T	20-24	324,,
2022	NUMBER	osmaci	M	20-24	143,,
2022	NUMBER	osmaci	F	20-24	181,,
2022	NUMBER	ostra_luka	_T	20-24	124,,
2022	NUMBER	ostra_luka	M	20-24	51,,
2022	NUMBER	ostra_luka	F	20-24	73,,
2022	NUMBER	pale	_T	20-24	985,,
2022	NUMBER	pale	M	20-24	461,,
2022	NUMBER	pale	F	20-24	524,,
2022	NUMBER	pelagicevo	_T	20-24	112,,
2022	NUMBER	pelagicevo	M	20-24	49,,
2022	NUMBER	pelagicevo	F	20-24	63,,
2022	NUMBER	petrovac	_T	20-24	31,,
2022	NUMBER	petrovac	M	20-24	14,,
2022	NUMBER	petrovac	F	20-24	17,,
2022	NUMBER	petrovo	_T	20-24	262,,
2022	NUMBER	petrovo	M	20-24	135,,
2022	NUMBER	petrovo	F	20-24	127,,
2022	NUMBER	prnjavor	_T	20-24	1959,,
2022	NUMBER	prnjavor	M	20-24	917,,
2022	NUMBER	prnjavor	F	20-24	1042,,
2022	NUMBER	republika_srpska	_T	20-24	60901,,
2022	NUMBER	republika_srpska	M	20-24	29076,,
2022	NUMBER	republika_srpska	F	20-24	31825,,
2022	NUMBER	ribnik	_T	20-24	299,,
2022	NUMBER	ribnik	M	20-24	147,,
2022	NUMBER	ribnik	F	20-24	152,,
2022	NUMBER	rogatica	_T	20-24	432,,
2022	NUMBER	rogatica	M	20-24	204,,
2022	NUMBER	rogatica	F	20-24	228,,
2022	NUMBER	rudo	_T	20-24	286,,
2022	NUMBER	rudo	M	20-24	128,,
2022	NUMBER	rudo	F	20-24	158,,
2022	NUMBER	samac	_T	20-24	746,,
2022	NUMBER	samac	M	20-24	354,,
2022	NUMBER	samac	F	20-24	392,,
2022	NUMBER	sekovici	_T	20-24	268,,
2022	NUMBER	sekovici	M	20-24	107,,
2022	NUMBER	sekovici	F	20-24	161,,
2022	NUMBER	sipovo	_T	20-24	532,,
2022	NUMBER	sipovo	M	20-24	263,,
2022	NUMBER	sipovo	F	20-24	269,,
2022	NUMBER	sokolac	_T	20-24	541,,
2022	NUMBER	sokolac	M	20-24	260,,
2022	NUMBER	sokolac	F	20-24	281,,
2022	NUMBER	srbac	_T	20-24	872,,
2022	NUMBER	srbac	M	20-24	414,,
2022	NUMBER	srbac	F	20-24	458,,
2022	NUMBER	srebrenica	_T	20-24	542,,
2022	NUMBER	srebrenica	M	20-24	226,,
2022	NUMBER	srebrenica	F	20-24	316,,
2022	NUMBER	stanari	_T	20-24	389,,
2022	NUMBER	stanari	M	20-24	195,,
2022	NUMBER	stanari	F	20-24	194,,
2022	NUMBER	teslic	_T	20-24	2126,,
2022	NUMBER	teslic	M	20-24	1030,,
2022	NUMBER	teslic	F	20-24	1096,,
2022	NUMBER	trnovo	_T	20-24	90,,
2022	NUMBER	trnovo	M	20-24	37,,
2022	NUMBER	trnovo	F	20-24	53,,
2022	NUMBER	ugljevik	_T	20-24	777,,
2022	NUMBER	ugljevik	M	20-24	370,,
2022	NUMBER	ugljevik	F	20-24	407,,
2022	NUMBER	visegrad	_T	20-24	440,,
2022	NUMBER	visegrad	M	20-24	226,,
2022	NUMBER	visegrad	F	20-24	214,,
2022	NUMBER	vlasenica	_T	20-24	529,,
2022	NUMBER	vlasenica	M	20-24	246,,
2022	NUMBER	vlasenica	F	20-24	283,,
2022	NUMBER	vukosavlje	_T	20-24	243,,
2022	NUMBER	vukosavlje	M	20-24	108,,
2022	NUMBER	vukosavlje	F	20-24	135,,
2022	NUMBER	berkovici	_T	25-29	54,,
2022	NUMBER	berkovici	M	25-29	15,,
2022	NUMBER	berkovici	F	25-29	39,,
2022	NUMBER	bileca	_T	25-29	625,,
2022	NUMBER	bileca	M	25-29	239,,
2022	NUMBER	bileca	F	25-29	386,,
2022	NUMBER	bratunac	_T	25-29	1049,,
2022	NUMBER	bratunac	M	25-29	485,,
2022	NUMBER	bratunac	F	25-29	564,,
2022	NUMBER	brod	_T	25-29	829,,
2022	NUMBER	brod	M	25-29	381,,
2022	NUMBER	brod	F	25-29	448,,
2022	NUMBER	cajnice	_T	25-29	230,,
2022	NUMBER	cajnice	M	25-29	84,,
2022	NUMBER	cajnice	F	25-29	146,,
2022	NUMBER	celinac	_T	25-29	986,,
2022	NUMBER	celinac	M	25-29	471,,
2022	NUMBER	celinac	F	25-29	515,,
2022	NUMBER	donji_zabar	_T	25-29	155,,
2022	NUMBER	donji_zabar	M	25-29	64,,
2022	NUMBER	donji_zabar	F	25-29	91,,
2022	NUMBER	foca	_T	25-29	973,,
2022	NUMBER	foca	M	25-29	427,,
2022	NUMBER	foca	F	25-29	546,,
2022	NUMBER	gacko	_T	25-29	510,,
2022	NUMBER	gacko	M	25-29	237,,
2022	NUMBER	gacko	F	25-29	273,,
2022	NUMBER	grad_banja_luka	_T	25-29	11351,,
2022	NUMBER	grad_banja_luka	M	25-29	5682,,
2022	NUMBER	grad_banja_luka	F	25-29	5669,,
2022	NUMBER	grad_bijeljina	_T	25-29	6145,,
2022	NUMBER	grad_bijeljina	M	25-29	2964,,
2022	NUMBER	grad_bijeljina	F	25-29	3181,,
2022	NUMBER	grad_derventa	_T	25-29	1500,,
2022	NUMBER	grad_derventa	M	25-29	695,,
2022	NUMBER	grad_derventa	F	25-29	805,,
2022	NUMBER	grad_doboj	_T	25-29	3233,,
2022	NUMBER	grad_doboj	M	25-29	1574,,
2022	NUMBER	grad_doboj	F	25-29	1659,,
2022	NUMBER	grad_gradiska	_T	25-29	2820,,
2022	NUMBER	grad_gradiska	M	25-29	1315,,
2022	NUMBER	grad_gradiska	F	25-29	1505,,
2022	NUMBER	grad_prijedor	_T	25-29	4718,,
2022	NUMBER	grad_prijedor	M	25-29	2275,,
2022	NUMBER	grad_prijedor	F	25-29	2443,,
2022	NUMBER	grad_trebinje	_T	25-29	1503,,
2022	NUMBER	grad_trebinje	M	25-29	683,,
2022	NUMBER	grad_trebinje	F	25-29	820,,
2022	NUMBER	grad_zvornik	_T	25-29	3213,,
2022	NUMBER	grad_zvornik	M	25-29	1467,,
2022	NUMBER	grad_zvornik	F	25-29	1746,,
2022	NUMBER	han_pijesak	_T	25-29	167,,
2022	NUMBER	han_pijesak	M	25-29	86,,
2022	NUMBER	han_pijesak	F	25-29	81,,
2022	NUMBER	istocna_ilidza	_T	25-29	820,,
2022	NUMBER	istocna_ilidza	M	25-29	382,,
2022	NUMBER	istocna_ilidza	F	25-29	438,,
2022	NUMBER	istocni_drvar	_T	25-29	10,,
2022	NUMBER	istocni_drvar	M	25-29	3,,
2022	NUMBER	istocni_drvar	F	25-29	7,,
2022	NUMBER	istocni_mostar	_T	25-29	15,,
2022	NUMBER	istocni_mostar	M	25-29	3,,
2022	NUMBER	istocni_mostar	F	25-29	12,,
2022	NUMBER	istocni_stari_grad	_T	25-29	58,,
2022	NUMBER	istocni_stari_grad	M	25-29	30,,
2022	NUMBER	istocni_stari_grad	F	25-29	28,,
2022	NUMBER	istocno_novo_sarajevo	_T	25-29	744,,
2022	NUMBER	istocno_novo_sarajevo	M	25-29	350,,
2022	NUMBER	istocno_novo_sarajevo	F	25-29	394,,
2022	NUMBER	jezero	_T	25-29	57,,
2022	NUMBER	jezero	M	25-29	29,,
2022	NUMBER	jezero	F	25-29	28,,
2022	NUMBER	kalinovik	_T	25-29	76,,
2022	NUMBER	kalinovik	M	25-29	30,,
2022	NUMBER	kalinovik	F	25-29	46,,
2022	NUMBER	knezevo	_T	25-29	457,,
2022	NUMBER	knezevo	M	25-29	205,,
2022	NUMBER	knezevo	F	25-29	252,,
2022	NUMBER	kostajnica	_T	25-29	316,,
2022	NUMBER	kostajnica	M	25-29	146,,
2022	NUMBER	kostajnica	F	25-29	170,,
2022	NUMBER	kotor_varos	_T	25-29	1338,,
2022	NUMBER	kotor_varos	M	25-29	641,,
2022	NUMBER	kotor_varos	F	25-29	697,,
2022	NUMBER	kozarska_dubica	_T	25-29	1068,,
2022	NUMBER	kozarska_dubica	M	25-29	488,,
2022	NUMBER	kozarska_dubica	F	25-29	580,,
2022	NUMBER	krupa_na_uni	_T	25-29	73,,
2022	NUMBER	krupa_na_uni	M	25-29	26,,
2022	NUMBER	krupa_na_uni	F	25-29	47,,
2022	NUMBER	kupres	_T	25-29	9,,
2022	NUMBER	kupres	M	25-29	2,,
2022	NUMBER	kupres	F	25-29	7,,
2022	NUMBER	laktasi	_T	25-29	2175,,
2022	NUMBER	laktasi	M	25-29	1014,,
2022	NUMBER	laktasi	F	25-29	1161,,
2022	NUMBER	ljubinje	_T	25-29	156,,
2022	NUMBER	ljubinje	M	25-29	65,,
2022	NUMBER	ljubinje	F	25-29	91,,
2022	NUMBER	lopare	_T	25-29	758,,
2022	NUMBER	lopare	M	25-29	356,,
2022	NUMBER	lopare	F	25-29	402,,
2022	NUMBER	milici	_T	25-29	670,,
2022	NUMBER	milici	M	25-29	299,,
2022	NUMBER	milici	F	25-29	371,,
2022	NUMBER	modrica	_T	25-29	1394,,
2022	NUMBER	modrica	M	25-29	662,,
2022	NUMBER	modrica	F	25-29	732,,
2022	NUMBER	mrkonjic_grad	_T	25-29	791,,
2022	NUMBER	mrkonjic_grad	M	25-29	321,,
2022	NUMBER	mrkonjic_grad	F	25-29	470,,
2022	NUMBER	nevesinje	_T	25-29	605,,
2022	NUMBER	nevesinje	M	25-29	278,,
2022	NUMBER	nevesinje	F	25-29	327,,
2022	NUMBER	novi_grad	_T	25-29	1344,,
2022	NUMBER	novi_grad	M	25-29	605,,
2022	NUMBER	novi_grad	F	25-29	739,,
2022	NUMBER	novo_gorazde	_T	25-29	117,,
2022	NUMBER	novo_gorazde	M	25-29	53,,
2022	NUMBER	novo_gorazde	F	25-29	64,,
2022	NUMBER	osmaci	_T	25-29	390,,
2022	NUMBER	osmaci	M	25-29	177,,
2022	NUMBER	osmaci	F	25-29	213,,
2022	NUMBER	ostra_luka	_T	25-29	122,,
2022	NUMBER	ostra_luka	M	25-29	52,,
2022	NUMBER	ostra_luka	F	25-29	70,,
2022	NUMBER	pale	_T	25-29	1330,,
2022	NUMBER	pale	M	25-29	673,,
2022	NUMBER	pale	F	25-29	657,,
2022	NUMBER	pelagicevo	_T	25-29	165,,
2022	NUMBER	pelagicevo	M	25-29	66,,
2022	NUMBER	pelagicevo	F	25-29	99,,
2022	NUMBER	petrovac	_T	25-29	21,,
2022	NUMBER	petrovac	M	25-29	5,,
2022	NUMBER	petrovac	F	25-29	16,,
2022	NUMBER	petrovo	_T	25-29	297,,
2022	NUMBER	petrovo	M	25-29	132,,
2022	NUMBER	petrovo	F	25-29	165,,
2022	NUMBER	prnjavor	_T	25-29	1989,,
2022	NUMBER	prnjavor	M	25-29	895,,
2022	NUMBER	prnjavor	F	25-29	1094,,
2022	NUMBER	republika_srpska	_T	25-29	67370,,
2022	NUMBER	republika_srpska	M	25-29	31653,,
2022	NUMBER	republika_srpska	F	25-29	35717,,
2022	NUMBER	ribnik	_T	25-29	267,,
2022	NUMBER	ribnik	M	25-29	115,,
2022	NUMBER	ribnik	F	25-29	152,,
2022	NUMBER	rogatica	_T	25-29	498,,
2022	NUMBER	rogatica	M	25-29	208,,
2022	NUMBER	rogatica	F	25-29	290,,
2022	NUMBER	rudo	_T	25-29	343,,
2022	NUMBER	rudo	M	25-29	158,,
2022	NUMBER	rudo	F	25-29	185,,
2022	NUMBER	samac	_T	25-29	837,,
2022	NUMBER	samac	M	25-29	402,,
2022	NUMBER	samac	F	25-29	435,,
2022	NUMBER	sekovici	_T	25-29	305,,
2022	NUMBER	sekovici	M	25-29	134,,
2022	NUMBER	sekovici	F	25-29	171,,
2022	NUMBER	sipovo	_T	25-29	498,,
2022	NUMBER	sipovo	M	25-29	209,,
2022	NUMBER	sipovo	F	25-29	289,,
2022	NUMBER	sokolac	_T	25-29	595,,
2022	NUMBER	sokolac	M	25-29	266,,
2022	NUMBER	sokolac	F	25-29	329,,
2022	NUMBER	srbac	_T	25-29	939,,
2022	NUMBER	srbac	M	25-29	439,,
2022	NUMBER	srbac	F	25-29	500,,
2022	NUMBER	srebrenica	_T	25-29	728,,
2022	NUMBER	srebrenica	M	25-29	302,,
2022	NUMBER	srebrenica	F	25-29	426,,
2022	NUMBER	stanari	_T	25-29	373,,
2022	NUMBER	stanari	M	25-29	196,,
2022	NUMBER	stanari	F	25-29	177,,
2022	NUMBER	teslic	_T	25-29	2248,,
2022	NUMBER	teslic	M	25-29	1051,,
2022	NUMBER	teslic	F	25-29	1197,,
2022	NUMBER	trnovo	_T	25-29	112,,
2022	NUMBER	trnovo	M	25-29	49,,
2022	NUMBER	trnovo	F	25-29	63,,
2022	NUMBER	ugljevik	_T	25-29	882,,
2022	NUMBER	ugljevik	M	25-29	402,,
2022	NUMBER	ugljevik	F	25-29	480,,
2022	NUMBER	visegrad	_T	25-29	449,,
2022	NUMBER	visegrad	M	25-29	209,,
2022	NUMBER	visegrad	F	25-29	240,,
2022	NUMBER	vlasenica	_T	25-29	612,,
2022	NUMBER	vlasenica	M	25-29	273,,
2022	NUMBER	vlasenica	F	25-29	339,,
2022	NUMBER	vukosavlje	_T	25-29	258,,
2022	NUMBER	vukosavlje	M	25-29	108,,
2022	NUMBER	vukosavlje	F	25-29	150,,
2022	NUMBER	berkovici	_T	30-34	78,,
2022	NUMBER	berkovici	M	30-34	30,,
2022	NUMBER	berkovici	F	30-34	48,,
2022	NUMBER	bileca	_T	30-34	546,,
2022	NUMBER	bileca	M	30-34	255,,
2022	NUMBER	bileca	F	30-34	291,,
2022	NUMBER	bratunac	_T	30-34	1167,,
2022	NUMBER	bratunac	M	30-34	520,,
2022	NUMBER	bratunac	F	30-34	647,,
2022	NUMBER	brod	_T	30-34	902,,
2022	NUMBER	brod	M	30-34	447,,
2022	NUMBER	brod	F	30-34	455,,
2022	NUMBER	cajnice	_T	30-34	254,,
2022	NUMBER	cajnice	M	30-34	107,,
2022	NUMBER	cajnice	F	30-34	147,,
2022	NUMBER	celinac	_T	30-34	983,,
2022	NUMBER	celinac	M	30-34	461,,
2022	NUMBER	celinac	F	30-34	522,,
2022	NUMBER	donji_zabar	_T	30-34	179,,
2022	NUMBER	donji_zabar	M	30-34	73,,
2022	NUMBER	donji_zabar	F	30-34	106,,
2022	NUMBER	foca	_T	30-34	1010,,
2022	NUMBER	foca	M	30-34	495,,
2022	NUMBER	foca	F	30-34	515,,
2022	NUMBER	gacko	_T	30-34	416,,
2022	NUMBER	gacko	M	30-34	178,,
2022	NUMBER	gacko	F	30-34	238,,
2022	NUMBER	grad_banja_luka	_T	30-34	12562,,
2022	NUMBER	grad_banja_luka	M	30-34	6485,,
2022	NUMBER	grad_banja_luka	F	30-34	6077,,
2022	NUMBER	grad_bijeljina	_T	30-34	6533,,
2022	NUMBER	grad_bijeljina	M	30-34	3227,,
2022	NUMBER	grad_bijeljina	F	30-34	3306,,
2022	NUMBER	grad_derventa	_T	30-34	1442,,
2022	NUMBER	grad_derventa	M	30-34	679,,
2022	NUMBER	grad_derventa	F	30-34	763,,
2022	NUMBER	grad_doboj	_T	30-34	3722,,
2022	NUMBER	grad_doboj	M	30-34	1777,,
2022	NUMBER	grad_doboj	F	30-34	1945,,
2022	NUMBER	grad_gradiska	_T	30-34	2683,,
2022	NUMBER	grad_gradiska	M	30-34	1260,,
2022	NUMBER	grad_gradiska	F	30-34	1423,,
2022	NUMBER	grad_prijedor	_T	30-34	4859,,
2022	NUMBER	grad_prijedor	M	30-34	2332,,
2022	NUMBER	grad_prijedor	F	30-34	2527,,
2022	NUMBER	grad_trebinje	_T	30-34	1634,,
2022	NUMBER	grad_trebinje	M	30-34	764,,
2022	NUMBER	grad_trebinje	F	30-34	870,,
2022	NUMBER	grad_zvornik	_T	30-34	3441,,
2022	NUMBER	grad_zvornik	M	30-34	1592,,
2022	NUMBER	grad_zvornik	F	30-34	1849,,
2022	NUMBER	han_pijesak	_T	30-34	134,,
2022	NUMBER	han_pijesak	M	30-34	48,,
2022	NUMBER	han_pijesak	F	30-34	86,,
2022	NUMBER	istocna_ilidza	_T	30-34	895,,
2022	NUMBER	istocna_ilidza	M	30-34	414,,
2022	NUMBER	istocna_ilidza	F	30-34	481,,
2022	NUMBER	istocni_drvar	_T	30-34	4,,
2022	NUMBER	istocni_drvar	M	30-34	1,,
2022	NUMBER	istocni_drvar	F	30-34	3,,
2022	NUMBER	istocni_mostar	_T	30-34	9,,
2022	NUMBER	istocni_mostar	M	30-34	1,,
2022	NUMBER	istocni_mostar	F	30-34	8,,
2022	NUMBER	istocni_stari_grad	_T	30-34	51,,
2022	NUMBER	istocni_stari_grad	M	30-34	18,,
2022	NUMBER	istocni_stari_grad	F	30-34	33,,
2022	NUMBER	istocno_novo_sarajevo	_T	30-34	838,,
2022	NUMBER	istocno_novo_sarajevo	M	30-34	402,,
2022	NUMBER	istocno_novo_sarajevo	F	30-34	436,,
2022	NUMBER	jezero	_T	30-34	61,,
2022	NUMBER	jezero	M	30-34	25,,
2022	NUMBER	jezero	F	30-34	36,,
2022	NUMBER	kalinovik	_T	30-34	101,,
2022	NUMBER	kalinovik	M	30-34	36,,
2022	NUMBER	kalinovik	F	30-34	65,,
2022	NUMBER	knezevo	_T	30-34	423,,
2022	NUMBER	knezevo	M	30-34	177,,
2022	NUMBER	knezevo	F	30-34	246,,
2022	NUMBER	kostajnica	_T	30-34	311,,
2022	NUMBER	kostajnica	M	30-34	144,,
2022	NUMBER	kostajnica	F	30-34	167,,
2022	NUMBER	kotor_varos	_T	30-34	1214,,
2022	NUMBER	kotor_varos	M	30-34	567,,
2022	NUMBER	kotor_varos	F	30-34	647,,
2022	NUMBER	kozarska_dubica	_T	30-34	1096,,
2022	NUMBER	kozarska_dubica	M	30-34	479,,
2022	NUMBER	kozarska_dubica	F	30-34	617,,
2022	NUMBER	krupa_na_uni	_T	30-34	66,,
2022	NUMBER	krupa_na_uni	M	30-34	23,,
2022	NUMBER	krupa_na_uni	F	30-34	43,,
2022	NUMBER	kupres	_T	30-34	5,,
2022	NUMBER	kupres	M	30-34	3,,
2022	NUMBER	kupres	F	30-34	2,,
2022	NUMBER	laktasi	_T	30-34	2176,,
2022	NUMBER	laktasi	M	30-34	1030,,
2022	NUMBER	laktasi	F	30-34	1146,,
2022	NUMBER	ljubinje	_T	30-34	148,,
2022	NUMBER	ljubinje	M	30-34	64,,
2022	NUMBER	ljubinje	F	30-34	84,,
2022	NUMBER	lopare	_T	30-34	765,,
2022	NUMBER	lopare	M	30-34	330,,
2022	NUMBER	lopare	F	30-34	435,,
2022	NUMBER	milici	_T	30-34	714,,
2022	NUMBER	milici	M	30-34	333,,
2022	NUMBER	milici	F	30-34	381,,
2022	NUMBER	modrica	_T	30-34	1327,,
2022	NUMBER	modrica	M	30-34	639,,
2022	NUMBER	modrica	F	30-34	688,,
2022	NUMBER	mrkonjic_grad	_T	30-34	719,,
2022	NUMBER	mrkonjic_grad	M	30-34	332,,
2022	NUMBER	mrkonjic_grad	F	30-34	387,,
2022	NUMBER	nevesinje	_T	30-34	584,,
2022	NUMBER	nevesinje	M	30-34	238,,
2022	NUMBER	nevesinje	F	30-34	346,,
2022	NUMBER	novi_grad	_T	30-34	1262,,
2022	NUMBER	novi_grad	M	30-34	544,,
2022	NUMBER	novi_grad	F	30-34	718,,
2022	NUMBER	novo_gorazde	_T	30-34	175,,
2022	NUMBER	novo_gorazde	M	30-34	69,,
2022	NUMBER	novo_gorazde	F	30-34	106,,
2022	NUMBER	osmaci	_T	30-34	377,,
2022	NUMBER	osmaci	M	30-34	171,,
2022	NUMBER	osmaci	F	30-34	206,,
2022	NUMBER	ostra_luka	_T	30-34	79,,
2022	NUMBER	ostra_luka	M	30-34	29,,
2022	NUMBER	ostra_luka	F	30-34	50,,
2022	NUMBER	pale	_T	30-34	1433,,
2022	NUMBER	pale	M	30-34	697,,
2022	NUMBER	pale	F	30-34	736,,
2022	NUMBER	pelagicevo	_T	30-34	178,,
